T_K,co_carb_mult,C_solid_tpd,ext_CO2_meth,ext_CO_carb,ext_CH4_crack,net_C_extent,Q_kW
550,1,0.0,0.009776311651445104,0.06376062849597729,-0.7461580622691201,-0.6823974337731428,-0.09373935030018841
550,5,2.1975219495658226e-22,0.009772685834387987,0.3187471778221432,-3.7300249990822003,-3.411277821260057,-0.42683943605528935
550,10,0.0,0.009768155992100819,0.6373544832783063,-7.458137300580288,-6.820782817301981,-0.8430514397229089
550,20,0.0,0.009759104398262415,1.2741497388534386,-14.908627696464622,-13.634477957611184,-1.674932090094884
550,50,0.0,0.00973201422821032,3.1811853700673725,-37.21429509665155,-34.03310972658417,-4.166233269759283
550,100,0.0,0.00968707855500675,6.348442294527474,-74.23819302176423,-67.88975072723676,-8.303973153266554
600,1,0.0,0.065918735346335,0.5161150751616567,-3.2847487000153226,-2.768633624853666,-0.7794531337808679
600,5,0.0,0.06571349764636934,2.576768400157061,-16.394683508366196,-13.817915108209135,-3.5958985617535206
600,10,0.0,0.06545809941124098,5.144041620174214,-32.71690087118211,-27.5728592510079,-7.104984389006651
600,20,7.032070238610632e-21,0.06495110874979501,10.250250464406609,-65.14515873947283,-54.89490827506623,-14.085107848783421
600,50,0.0,0.06346013563965083,25.344817970634836,-160.72231749267067,-135.37749952203583,-34.72463331992361
600,100,0.0,0.061072242481214824,49.77290917728993,-314.4684819801436,-264.6955728028537,-68.14427178554924
650,1,0.0,0.33207941533655394,3.042317793759241,-10.812645113480544,-7.770327319721303,-4.891130655641556
650,5,0.0,0.32560934331797836,15.07025749222812,-53.40396058677825,-38.33370309455013,-22.63445736819338
650,10,0.0,0.31774456343027807,29.792225862435583,-105.18491204263012,-75.39268618019453,-44.37642469849092
650,20,0.0,0.3027293336818067,58.224255090545256,-204.04211412277832,-145.81785903223306,-86.44783454296959
650,50,0.0,0.26289009869881286,135.98819836757542,-465.77554921650903,-329.7873508489336,-202.17083627274232
650,100,0.0,0.21084254193333263,243.86692617398845,-802.5806211752275,-558.7136950012391,-364.9721230003325
700,1,0.0,1.3065187600308636,13.863265027327998,-25.033444977140682,-11.170179949812685,-26.34193105075165
700,5,0.0,1.1744590861460698,65.86206431136586,-114.27531047786255,-48.41324616649669,-119.73555108258071
700,10,0.0,1.0297740833258056,123.56113577135517,-202.8826845465754,-79.32154877522024,-228.76087280614038
700,20,0.000967420396385817,0.7948750374241609,216.9074747404352,-318.2122343149152,-101.30475957447999,-423.5992393244969
700,50,1.5268788475327992,0.4455318540989368,386.3022802846541,-362.66484441181717,23.63743587283693,-719.8490299947379
700,100,4.094187807942421,0.3018311332290967,533.6389233806633,-296.5257653917829,237.1131579888804,-884.6395599074406
750,1,0.1452908560239826,3.90590039378947,49.423451344566445,-37.32727152831544,12.096179816251002,-122.83668517678296
750,5,1.8595644520855608,3.006951717608525,201.70923919688587,-46.88745482542891,154.82178437145697,-369.0614623947779
750,10,3.9800344604303093,2.67858389946993,332.0252344479542,-0.6594480496265888,331.3657863983276,-526.5356584490935
750,20,6.469169793388808,2.4724778840402624,477.3329558495927,61.27080681702925,538.603762666622,-692.1360940040196
750,50,8.192430422337079,2.3023504013045875,577.5624476668067,104.51485000508319,682.0772976718899,-805.7799873412192
750,100,8.323193315737988,2.231912977588008,585.1999531738388,107.76427259736984,692.9642257712087,-814.3628399585297
800,1,3.756698143765498,15.51755785874941,151.9562103768218,160.81526108812753,312.7714714649493,-110.19394843863628
800,5,9.168920005338864,17.57996178457466,452.35988285246503,311.0170220962373,763.3769049487023,-435.0138896220543
800,10,10.512576027542428,17.20898749768857,532.4645249102149,342.7811688323884,875.2456937426033,-527.9743233938764
800,20,10.753239718656433,16.794229201020812,546.9090273044649,348.37360683561036,895.2826341400753,-544.1261641747387
800,50,10.756802618575978,16.540545564140213,547.1039793456326,348.4752912043602,895.5792705499928,-543.785355376896
800,100,10.756095509610965,16.461440607091806,547.0477122249433,348.4726865437655,895.5203987687089,-543.529920550002
850,1,10.760007680680163,66.16964981880166,321.6746811311562,574.1714333206068,895.846114451763,-66.89856612443783
850,5,13.017511285614455,65.97032878427052,448.0430065989647,635.7561180046864,1083.799124603651,-202.53579937074767
850,10,13.01676119662235,65.62928398277145,447.2691752771095,636.4674991565192,1083.7366744336287,-199.86326319164948
850,20,13.01402517533273,65.61564129838412,446.538986617828,636.969894851887,1083.508881469715,-198.17872137955592
850,50,13.013140147753228,65.65666921844237,446.08845027193456,637.3467464438446,1083.435196715779,-197.17855916885057
850,100,13.012969594998538,65.67835003781883,445.9364761467129,637.4845208559126,1083.4209970026254,-196.84735434601853
900,1,13.820984233900177,129.5325926381749,251.92048442698237,898.7733990048866,1150.693883431869,238.61907145942652
900,5,13.81034267885924,133.89620538732635,242.6246388666765,907.183260463881,1149.8078993305576,252.30208161780536
900,10,13.80901834052596,134.79435428459985,241.1091662486347,908.5884726262275,1149.6976388748622,254.16109102908348
900,20,13.808782499073716,135.25635973950622,240.37525841573526,909.3027450039414,1149.6780034196765,255.03690168356331
900,50,13.808769059509785,135.53657152951317,239.9436682300172,909.7332162516916,1149.6768844817088,255.54402856070485
900,100,13.808787817020477,135.63096596487216,239.80083930265164,909.8776068733873,1149.678446176039,255.71020717973002
