scenario,path,charge_basis,chargeable_tpd,fee_usd_per_t,fee_label,gate_revenue_usd_y,annual_value_usd_y,simple_payback_y,gate_share_of_gross_revenue
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,1.0,"1.0 (Nairobi tipping fee KES 100/t, ACC 2022)",33000.0,-3043979.0660242215,,0.015051269737280248
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,8.0,8 (submitted Conservative),264000.0,-2812979.0660242215,,0.10893308878039973
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,13.2,"13.2 (Nairobi CCN disposal cost 2009, 1,020 KShs/t)",435600.0,-2641379.0660242215,,0.1678544117858474
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,15.0,15 (submitted Base),495000.0,-2581979.0660242215,,0.1864753706227676
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,18.6,"18.6 (Nairobi cost KES 1,850/t, ACC 2022)",613800.0,-2463179.0660242215,,0.221324292499052
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,25.0,25 (submitted Opportunity),825000.0,-2251979.0660242215,,0.2764276518220179
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,35.0,"35 (WaW 2.0 low-income operating cost, to be verified)",1155000.0,-1921979.0660242215,,0.3484682126480578
Conservative,Carbon Product Path,"submitted (100 t/d, undocumented)",100.0,52.9,52.9 (Nairobi Ruai landfill estimate 2009),1745700.0,-1331279.0660242215,,0.44701866596445683
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,1.0,"1.0 (Nairobi tipping fee KES 100/t, ACC 2022)",0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,8.0,8 (submitted Conservative),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,13.2,"13.2 (Nairobi CCN disposal cost 2009, 1,020 KShs/t)",0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,15.0,15 (submitted Base),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,18.6,"18.6 (Nairobi cost KES 1,850/t, ACC 2022)",0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,25.0,25 (submitted Opportunity),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,35.0,"35 (WaW 2.0 low-income operating cost, to be verified)",0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,no gate fee (0 t/d),0.0,52.9,52.9 (Nairobi Ruai landfill estimate 2009),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,1.0,"1.0 (Nairobi tipping fee KES 100/t, ACC 2022)",66000.0,-3010979.0660242215,,0.029656176364718758
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,8.0,8 (submitted Conservative),528000.0,-2548979.0660242215,,0.19646467380679192
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,13.2,"13.2 (Nairobi CCN disposal cost 2009, 1,020 KShs/t)",871200.0,-2205779.0660242215,,0.2874577688655036
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,15.0,15 (submitted Base),990000.0,-2086979.0660242215,,0.3143350047374161
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,18.6,"18.6 (Nairobi cost KES 1,850/t, ACC 2022)",1227600.0,-1849379.0660242215,,0.3624332928745439
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,25.0,25 (submitted Opportunity),1650000.0,-1426979.0660242215,,0.4331270188755866
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,35.0,"35 (WaW 2.0 low-income operating cost, to be verified)",2310000.0,-766979.066024222,,0.5168356352483126
Conservative,Carbon Product Path,municipal share 25 % of 800 t/d,200.0,52.9,52.9 (Nairobi Ruai landfill estimate 2009),3491400.0,414420.93397577805,33.782077236518816,0.6178478225317336
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,1.0,"1.0 (Nairobi tipping fee KES 100/t, ACC 2022)",132000.0,-2944979.0660242215,,0.05760403724167847
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,8.0,8 (submitted Conservative),1056000.0,-2020979.0660242215,,0.3284086494283199
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,13.2,"13.2 (Nairobi CCN disposal cost 2009, 1,020 KShs/t)",1742400.0,-1334579.0660242215,,0.44655098725111403
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,15.0,15 (submitted Base),1980000.0,-1096979.0660242215,,0.47831793812752543
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,18.6,"18.6 (Nairobi cost KES 1,850/t, ACC 2022)",2455200.0,-621779.066024222,,0.5320382212766693
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,25.0,25 (submitted Opportunity),3300000.0,223020.93397577805,62.77437615574024,0.6044502869193167
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,35.0,"35 (WaW 2.0 low-income operating cost, to be verified)",4620000.0,1543020.933975778,9.073110864366127,0.6814655764119154
Conservative,Carbon Product Path,municipal share 50 % of 800 t/d,400.0,52.9,52.9 (Nairobi Ruai landfill estimate 2009),6982800.0,3905820.9339757776,3.5843937130392836,0.7637897877995441
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,1.0,"1.0 (Nairobi tipping fee KES 100/t, ACC 2022)",198000.0,-2878979.0660242215,,0.08398705902458217
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,8.0,8 (submitted Conservative),1584000.0,-1492979.0660242215,,0.4231327471347679
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,13.2,"13.2 (Nairobi CCN disposal cost 2009, 1,020 KShs/t)",2613600.0,-463379.06602422195,,0.5475679717014784
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,15.0,15 (submitted Base),2970000.0,-106979.06602422195,,0.5790031183274027
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,18.6,"18.6 (Nairobi cost KES 1,850/t, ACC 2022)",3682800.0000000005,605820.933975778,23.109138715499963,0.6303675238461596
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,25.0,25 (submitted Opportunity),4950000.0,1873020.933975778,7.474556074652527,0.6962509017220976
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,35.0,"35 (WaW 2.0 low-income operating cost, to be verified)",6930000.0,3853020.9339757776,3.6335125710189073,0.7624176671219346
Conservative,Carbon Product Path,municipal share 75 % of 800 t/d,600.0,52.9,52.9 (Nairobi Ruai landfill estimate 2009),10474200.0,7397220.9339757785,1.8926026578031963,0.829067888416709
Conservative,Carbon Product Path,full intake 800 t/d,800.0,0.0,0 (no fee),0.0,-3076979.0660242215,,0.0
