case,config,y_CH4_biogas,CO2_bio_tpd,CO2_DAC_tpd,CO2_total_tpd,CO2_total_carbon_tpd,H2_electrolysis_tpd,value_type,mode,phi,P1_bar,P2_bar,P3_bar,pressure_order,recycle,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_X_CH4,S1_inlet_CH4_ratio_vs_fresh,S2_inlet_H2_to_CO2_ratio,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi1_RWGS_CO_formed_kmol_d,S2_xi2_CH4_formed_kmol_d,S2_methanation_to_RWGS_ratio,S3_CH4_formed_kmol_d,recycle_to_S2_total_kmol_d,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,H2_permeate_tpd,H2_stoich_available_tpd,H2_stoich_needed_for_all_CO2_tpd,H2_stoich_surplus_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,tracer_iterations,wall_s
submitted eq once-through h=0.35,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.35,True,1,once-through,0.9698161069695571,1.0,7.39066297093411,8097.950578294656,0.8137175990035082,578.9628414221502,197.6225935126161,0.3413389934096302,519.0011900018395,0.0,34.85150348488499,1.4761611489377178,36.32766463382271,34.851530918653594,1.1246733067955137,0.351460408373598,1.4761337151691116,0.12877713023156837,5.4086394697258715,4.951127291198389,0.06531727140099153,12.94562222438367,40.56646017402127,7.940370026788613,7.448142203804828,14.219453349028251,3.847940194051217,10.371513154977034,29.608890753490165,3030.936066508513,-196.44509421947726,-1478.5168102374107,1355.974162051625,9.218686318044627e-16,-6.286321424573996e-16,-5.9562429062983335e-15,4,0.3685319423675537
submitted eq once-through h=0.5,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9698161069695571,1.0,7.39066297093411,8097.950578294656,0.8137175990035082,578.9628414221502,197.6225935126161,0.3413389934096302,733.218253215206,0.0,34.85150348488499,0.0,34.85150348488499,34.85150348488499,0.0,0.0,0.0,0.0,0.0,1.0016669517866035,0.02127503130453307,16.38230656951571,45.97520016266508,6.711642224243293,5.7293401567729445,14.219453349028251,3.847940194051217,10.371513154977034,32.707538460047466,3030.936066508513,-196.44509421947726,-1789.745696996653,1044.7452752923828,1.3828029477066941e-15,8.800849994403594e-16,-2.2633723043933667e-15,4,0.3324429988861084
submitted eq once-through h=0.75,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.75,True,1,once-through,0.9698161069695571,1.0,7.39066297093411,8097.950578294656,0.8137175990035082,578.9628414221502,197.6225935126161,0.3413389934096302,756.3841672067572,0.0,34.85150348488499,0.0,34.85150348488499,34.85150348488499,0.0,0.0,0.0,0.0,0.0,0.014140780318105133,0.0010676140934335544,16.753957327682166,45.975200162665004,6.526324042338129,2.8646700783864723,14.219453349028251,3.847940194051217,10.371513154977034,33.48794500817541,3030.936066508513,-196.44509421947726,-1838.490196732613,996.0007755564227,9.218686318044627e-16,6.286321424573996e-16,-2.6207468787712667e-15,4,0.3259298801422119
submitted eq recycle h=0.35,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.35,True,29,direct,0.9698161069695568,1.3588156116737822,10.01088074746835,10868.732677222579,0.8524659898392344,585.9125619069521,238.56753945670818,0.40717259701729136,715.1060173901451,656.0662909287416,47.35676702556496,0.0,47.35676702556496,35.93348380706881,8.703453880758973,2.7198293377371776,11.42328321849615,0.9965612299098785,41.8555716562149,0.029625274055192382,0.0007734826818966843,0.04532407726405683,0.15518991690008482,10.72701659575551,10.669047261324778,14.219453349028246,3.847940194051217,10.371513154977029,34.31997129962909,4118.483245156893,-283.26231350248094,-1755.28790723315,2079.9330244212615,4.7893034393084424e-11,-8.836581445380872e-11,8.845675902572719e-11,34,9.990620136260986
submitted eq recycle h=0.5,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,30,direct,0.9698161069695571,1.3590555467451013,12.674127361035083,13265.77805969919,0.8840873619414994,535.5362518351236,308.2527364085918,0.5755963958598531,646.1189173240166,3051.697591989423,47.36512912353921,0.0,47.36512912353921,35.933484405332635,8.709824547205015,2.7218201710015686,11.431644718206583,0.9972906827542086,41.88620867567676,0.00010594541951171435,1.6512818645493107e-05,0.04535438485201274,0.12455069708152715,10.724250934384086,10.410269013026673,14.219453349028251,3.847940194051217,10.371513154977034,34.34838100299308,4119.210473018176,-456.44786679461316,-1588.6836224868648,2074.0789837366983,1.9774082152205726e-13,-9.083596159438083e-10,1.1552013991907493e-11,22,10.111950159072876
submitted eq recycle h=0.75,submitted,,32.0,10.0,42.0,11.462700811197708,2.52,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.75,True,54,direct,0.9698161069695574,1.3590565641345447,22.125666667790036,22274.673935151666,0.9417163000118804,411.90315118461456,486.8431897523647,1.1819360651945148,467.53142409932843,12060.587471355138,47.36516458109097,0.0,47.36516458109097,35.933484817653905,8.709851248333004,2.7218285151040638,11.431679763437069,0.9972937400817148,41.88633708343202,1.6745660120063836e-06,1.4522077987490706e-06,0.04535451336436365,0.12442077852472606,10.72424024265814,9.453240919062543,14.219453349028255,3.847940194051217,10.371513154977038,34.35849219120747,4119.213556660535,-898.030615311972,-1160.3992553813491,2060.783685967214,1.071672284472688e-14,-1.3443548687770616e-08,5.862289130694384e-11,13,18.506191968917847
"submitted kin once-through phi=0 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.0,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.35,True,1,once-through,0.8728806831856022,1.0,6.7828835873178015,7807.932668338708,0.7035036006698712,671.388834741407,0.0,0.0,3.6515911896395323,0.0,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.0,12.417740248555388,18.725665388047485,6.160309684546484,58.73819813357055,11.672852199513533,7.6027544467982535,13.050065193605231,3.847940194051217,9.202124999554014,12.140979454280414,2727.980709243213,274.069072042296,-8.901866643807095,2993.147914641702,4.6093431590223135e-16,-3.771792854744397e-16,-2.3824971625193333e-16,4,0.4451720714569092
"submitted kin recycle phi=0 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.35,True,301,direct,0.8728806831856024,1.1527376234677837,2.960758464885747,29365.08967043215,0.23374892562638439,819.9131292782677,0.0,0.0,19.759931252129547,20701.27914008214,36.15931308046537,0.12421202810698674,36.283525108572356,35.922689922535156,0.2749220465045252,0.08591313953266415,0.3608351860371893,0.03147907216462423,1.3221210309142173,5.914150916126212,22.124079023976968,0.01929317349066743,40.72818228515141,12.864995930195509,12.53455034347285,13.050065193605233,3.847940194051217,9.202124999554016,15.310738568635578,3144.6459996389785,334.69849194489655,-66.21372629322758,3413.1307652906476,-4.4146926485745074e-08,2.1667566959793157e-11,-1.0405341658571389e-07,468,122.51872277259827
"submitted kin once-through phi=0 (1.01,5,5) bar n=1",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.0,1.01325,5.0,5.0,1.0,False,1.0,0.0,0.35,True,1,once-through,0.8728806831856022,1.0,6.7828835873178015,7807.932668338708,0.8054959098686647,768.7252201705098,0.0,0.0,16.616307083427614,0.0,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.0,8.146933579933467,21.080724399993464,6.368302621630527,58.73819813357058,11.398801018725878,7.475204847331979,13.050065193605231,3.847940194051217,9.202124999554014,14.106987021357565,2727.980709243213,313.8029660990528,-41.89515250253819,2999.8885228397276,6.914014738533471e-16,1.6344435703892389e-15,1.3103734393856334e-15,4,0.36743807792663574
"submitted kin recycle phi=0 (1.01,5,5) bar n=1",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.0,1.01325,5.0,5.0,1.0,True,0.05,0.95,0.35,True,292,direct,0.8728806831856027,1.182900002765496,3.2676223294115467,27172.586418822993,0.2681590002513401,839.715246607966,0.0,0.0,98.77018923060359,18339.75851004072,37.10545285596491,0.477848121344036,37.58330097730895,35.92268992924389,1.2652274651924267,0.3953835828726331,1.66061104806506,0.144870835889116,6.0845751073428715,5.042638735607373,19.64099575154229,0.023103158244062685,35.96572883849501,12.605474314387783,12.307989072572862,13.050065193605237,3.847940194051217,9.20212499955402,17.616329397388096,3226.928388508012,342.78195660829334,-312.46611134015683,3257.244233776149,-4.037919684104822e-08,1.0954040808748679e-10,-9.582757948368227e-08,410,113.88530397415161
"submitted kin once-through phi=0.1 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.1,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.35,True,1,once-through,0.8728806831856022,1.0,6.7828835873178015,7807.932668338708,0.7161022285533695,637.0640534104863,46.34828495760871,0.07275294330214646,3.3970635624007173,0.0,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.0,11.891688977988403,17.769390217719916,6.899791833397608,58.73819813357053,11.36997937151106,7.404794469820493,13.050065193605231,3.847940194051217,9.202124999554014,13.184360187462946,2727.980709243213,158.5547694116179,-8.287876351751045,2878.24760230308,3.4570073692667354e-16,6.286321424573996e-16,-8.338740068817667e-16,4,0.43342089653015137
"submitted kin recycle phi=0.1 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.1,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.35,True,306,direct,0.8728806831856022,1.1566657387437045,2.977697184402492,29191.15116810253,0.23497017596982994,810.4959954966052,10.200112017398055,0.012585024570230315,19.849504767221163,20505.329120041566,36.282531015914486,0.12142222769841249,36.4039532436129,35.922689924815806,0.3666768143215887,0.11458650447549654,0.4812633187970853,0.04198515923288757,1.7633766877812778,5.879641510047228,21.86433457267907,0.019789356472888996,40.286926414737714,12.843014645409237,12.513149039301304,13.050065193605231,3.847940194051217,9.202124999554014,15.506030847745032,3155.3618223353756,308.51610976449473,-66.07756295318603,3397.8003691466843,-4.532840023828041e-08,6.6551524751966e-11,-1.0692392874252241e-07,468,137.91442608833313
"submitted kin once-through phi=0.1 (1.01,5,5) bar n=1",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.1,1.01325,5.0,5.0,1.0,False,1.0,0.0,0.35,True,1,once-through,0.8728806831856022,1.0,6.7828835873178015,7807.932668338708,0.8055336086846254,745.0742381177627,23.686959927052385,0.03179140911768921,15.98595945627386,0.0,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.0,8.145878931346793,20.43557993187611,6.738199852757801,58.73819813357029,11.259306315337419,7.382039525060258,13.050065193605231,3.847940194051217,9.202124999554014,14.522293795287665,2727.980709243213,252.2740253926203,-40.302661595202196,2939.952073040631,-9.218686318044627e-16,6.286321424573996e-16,-2.5016220206453003e-15,4,0.3718228340148926
"submitted kin recycle phi=0.1 (1.01,5,5) bar n=1",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,0.1,1.01325,5.0,5.0,1.0,True,0.05,0.95,0.35,True,297,direct,0.8728806831856024,1.1870340717563383,3.2768076170032945,27011.295987147383,0.26854359755849455,829.637394888703,10.273954280285977,0.012383668267103897,99.32541565132743,18155.302482037518,37.23513119029954,0.4615219546999123,37.69665314499946,35.92268993051106,1.351591020562591,0.4223721939258094,1.7739632144884003,0.15475961936958588,6.499904013522606,5.03394248430559,19.381278435906424,0.0236253564323796,35.55040012276623,12.585853363063352,12.288912751949129,13.050065193605233,3.847940194051217,9.202124999554016,17.790502280794463,3238.2060489657124,316.16814716235973,-311.7503350415095,3242.6238610865626,-3.9255857046303104e-08,1.469696687551143e-10,-9.320443057127175e-08,409,115.84897112846375
"submitted kin once-through phi=1 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.35,True,1,once-through,0.8728806831856022,1.0,6.7828835873178015,7807.932668338708,0.7226050931935409,501.48129963260527,188.13704920805708,0.37516264184903775,2.60394978389445,0.0,31.36820759930369,0.0,31.36820759930369,31.36820759930369,0.0,0.0,0.0,0.0,0.0,11.623851813192669,13.990569883805602,9.161785053918974,58.738198133570684,10.50496837517248,6.839262123675876,13.050065193605231,3.847940194051217,9.202124999554014,15.828192676929106,2727.980709243213,-207.3084348686123,-6.330781516356292,2514.3414928582442,1.1523357897555784e-15,-1.257264284914799e-16,1.1912485812596667e-15,4,0.4326789379119873
"submitted kin recycle phi=1 (1.01,1.01,1.01) bar",submitted,,32.0,10.0,42.0,11.462700811197708,2.52,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.35,True,93,wegstein,0.8728806831856025,1.1988153203966052,3.1777877121004523,27328.246890993127,0.2496077613457619,710.0727353960738,119.51386064479851,0.16831213858413321,20.94645335370069,18406.236188095823,37.604687843426476,0.08906463430807321,37.69375247773455,35.92268993066632,1.3493809882424537,0.42168155882576686,1.7710625470682204,0.1545065666669151,6.489275800010434,5.487715350786722,19.09663882901397,0.025113514155360724,35.561032709110684,12.606565967596186,12.282959460423895,13.050065193605235,3.847940194051217,9.202124999554018,17.606786438625388,3270.3450679871603,28.125557972638166,-64.6446431521663,3233.825982807632,-1.4074061695464602e-08,1.3169466205197047e-11,-3.092956982508592e-08,467,39.786646127700806
