case,config,y_CH4_biogas,H2_electrolysis_tpd,value_type,mode,phi,P2_bar,pressure_order,recycle,h_H2_to_CFR,heat_recovery_fraction,demand_definition,Q1_kW,Q2_kW,Q3_kW,exothermic_pool_kW,high_T_demand_kW,preheat_credit_kW,Q_fired_kW,H2_burned_tpd,H2_exportable_before_heat_tpd,H2_net_after_heat_tpd,self_sufficient_H2,H2_burned_share_of_exportable,C_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.0,Q1 only,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,7.940370026788613,5.371976284074983,True,0.32346020828356603,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.0,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,7.940370026788613,5.371976284074983,True,0.32346020828356603,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.25,Q1 only,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,418.740476114222,3073.171282816813,2.2135560308408073,7.940370026788613,5.726813995947806,True,0.2787724027183722,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.25,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,418.740476114222,3073.171282816813,2.2135560308408073,7.940370026788613,5.726813995947806,True,0.2787724027183722,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.5,Q1 only,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,837.480952228444,2580.535428564787,1.8587183189679846,7.940370026788613,6.081651707820628,True,0.23408459715317836,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.35,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.35,0.5,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1478.5168102374107,1674.961904456888,3030.936066508513,837.480952228444,2580.535428564787,1.8587183189679846,7.940370026788613,6.081651707820628,True,0.23408459715317836,36.32766463382271,0.1287771302315683,5.4086394697258715
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.0,Q1 only,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,6.711642224243293,4.143248481529663,True,0.3826773920451644,34.85150348488499,0.0,0.0
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.0,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,6.711642224243293,4.143248481529663,True,0.3826773920451644,34.85150348488499,0.0,0.0
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.25,Q1 only,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,496.54769780403257,2981.6333749464475,2.1476227425955536,6.711642224243293,4.564019481647739,True,0.31998468792601475,34.85150348488499,0.0,0.0
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.25,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,496.54769780403257,2981.6333749464475,2.1476227425955536,6.711642224243293,4.564019481647739,True,0.31998468792601475,34.85150348488499,0.0,0.0
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.5,Q1 only,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,993.0953956080651,2397.459612824056,1.7268517424774767,6.711642224243293,4.984790481765816,True,0.257291983806865,34.85150348488499,0.0,0.0
submitted eq once-through h=0.5,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.5,0.5,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1789.745696996653,1986.1907912161303,3030.936066508513,993.0953956080651,2397.459612824056,1.7268517424774767,6.711642224243293,4.984790481765816,True,0.257291983806865,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.0,Q1 only,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,6.526324042338129,3.9579302996244996,True,0.39354370485616796,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.0,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,0.0,3565.8071370688385,2.5683937427136296,6.526324042338129,3.9579302996244996,True,0.39354370485616796,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.25,Q1 only,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,508.7338227380226,2967.296757377047,2.1372963066887603,6.526324042338129,4.389027735649369,True,0.32748853609221795,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.25,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,508.7338227380226,2967.296757377047,2.1372963066887603,6.526324042338129,4.389027735649369,True,0.32748853609221795,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.5,Q1 only,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,1017.4676454760452,2368.786377685256,1.7061988706638915,6.526324042338129,4.8201251716742375,True,0.26143336732826805,34.85150348488499,0.0,0.0
submitted eq once-through h=0.75,submitted,,2.52,equilibrium,equilibrium,,1.01325,native,False,0.75,0.5,Q1 + Q2+,3030.936066508513,-196.44509421947728,-1838.490196732613,2034.9352909520903,3030.936066508513,1017.4676454760452,2368.786377685256,1.7061988706638915,6.526324042338129,4.8201251716742375,True,0.26143336732826805,34.85150348488499,0.0,0.0
