stage,design,parameter_set,n_points,n_measurements,y_range,cond_number,rel_se_k_ref,rel_se_Ea,rel_se_n,max_abs_sens_k_ref,max_abs_sens_Ea,max_abs_sens_n,wall_s,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2,max_abs_sens_k1_ref,max_abs_sens_Ea1,max_abs_sens_k2_ref,max_abs_sens_Ea2
Stage 3 CO2 methanation (priority 1),"single T (650 K) x tau 1/3/10 s, 1 atm",all parameters,3,6,0.001-0.011,3.661159343360941e+298,inf,inf,inf,0.0025744542409995245,0.0,0.0,2.498491048812866,,,,,,,,
Stage 3 CO2 methanation (priority 1),"single T (650 K) x tau 1/3/10 s, 1 atm","(k_ref, Ea) only, n fixed",3,6,0.001-0.011,3.661159343360941e+298,inf,inf,,0.0025744542409995245,0.0,0.0,2.498595952987671,,,,,,,,
Stage 3 CO2 methanation (priority 1),"two T (600/700 K) x tau 1/3/10 s, 1 atm",all parameters,6,12,0.000-0.051,1.525950525868542e+300,inf,inf,inf,0.009948437308378646,0.013149110045077017,0.0,4.964295148849487,,,,,,,,
Stage 3 CO2 methanation (priority 1),"two T (600/700 K) x tau 1/3/10 s, 1 atm","(k_ref, Ea) only, n fixed",6,12,0.000-0.051,367.73549552056903,12.39863733739978,9.37640360713961,,0.009948437308378646,0.013149110045077017,0.0,4.964395046234131,,,,,,,,
Stage 3 CO2 methanation (priority 1),"three T (600/650/700 K) x tau 1/3/10 s, 1 atm",all parameters,9,18,0.000-0.051,1.5394487343955573e+300,inf,inf,inf,0.009948437308378646,0.013149110045077017,0.0,7.429743766784668,,,,,,,,
Stage 3 CO2 methanation (priority 1),"three T (600/650/700 K) x tau 1/3/10 s, 1 atm","(k_ref, Ea) only, n fixed",9,18,0.000-0.051,56.46665100204539,4.815899537300599,3.7598512452808577,,0.009948437308378646,0.013149110045077017,0.0,7.429826974868774,,,,,,,,
Stage 3 CO2 methanation (priority 1),three T x tau 1/3/10 s x P 1/5 bar,all parameters,18,36,0.000-0.465,1411.4016554856053,1.3012128386036743,0.07100175475623287,0.8169025106772075,0.07920566121386863,0.12023837302309325,0.12639219181370925,14.91810417175293,,,,,,,,
Stage 3 CO2 methanation (priority 1),three T x tau 1/3/10 s x P 1/5 bar,"(k_ref, Ea) only, n fixed",18,36,0.000-0.465,1.1978660000415071,0.0769464746870323,0.07082926653373797,,0.07920566121386863,0.12023837302309325,0.12639219181370925,14.918192148208618,,,,,,,,
Stage 3 CO2 methanation (priority 1),three T x tau 0.3/1/3/10/30 s x P 1/5 bar,all parameters,30,60,0.000-0.608,331.7671540316422,0.5360324184902707,0.057026969339044324,0.33857285989374525,0.07920566121386863,0.12023837302309325,0.12639219181370925,24.790591955184937,,,,,,,,
Stage 3 CO2 methanation (priority 1),three T x tau 0.3/1/3/10/30 s x P 1/5 bar,"(k_ref, Ea) only, n fixed",30,60,0.000-0.608,1.3282143148016101,0.06504553109979026,0.05653360609531584,,0.07920566121386863,0.12023837302309325,0.12639219181370925,24.790667057037354,,,,,,,,
Stage 3 CO2 methanation (priority 1),four T (600-750 K) x tau 1/3/10 s x P 1/5/10 bar,all parameters,36,72,0.000-0.714,154.14224870278647,0.32362943382768505,0.05973898895133518,0.18525565732392102,0.07939390074454267,0.12241801395493772,0.18164057650346788,29.684293270111084,,,,,,,,
Stage 3 CO2 methanation (priority 1),four T (600-750 K) x tau 1/3/10 s x P 1/5/10 bar,"(k_ref, Ea) only, n fixed",36,72,0.000-0.714,1.8549132546033031,0.06400554546816448,0.050112478718599064,,0.07939390074454267,0.12241801395493772,0.18164057650346788,29.68436312675476,,,,,,,,
Stage 3 CO2 methanation (priority 1),four T (600-750 K) x tau 0.3/1/3/10/30 s x P 1/5/10 bar,all parameters,60,120,0.000-0.804,107.38395999042082,0.21518545058845484,0.03915441326104404,0.11904229882364825,0.07939390074454267,0.19555149734881708,0.18164057650346788,50.514206886291504,,,,,,,,
Stage 3 CO2 methanation (priority 1),four T (600-750 K) x tau 0.3/1/3/10/30 s x P 1/5/10 bar,"(k_ref, Ea) only, n fixed",60,120,0.000-0.804,1.9788789379126346,0.04888716128415819,0.03478952899293414,,0.07939390074454267,0.19555149734881708,0.18164057650346788,50.51429295539856,,,,,,,,
Stage 2 RWGS + CO2 methanation (priority 2/3),single T (950 K) x tau 1/3/10 s,all parameters,3,6,0.082-0.786,1.6128522778281543e+302,,,,,,,0.7702562808990479,inf,inf,inf,inf,0.17418209306452326,0.0,0.12761324318752154,0.0
Stage 2 RWGS + CO2 methanation (priority 2/3),two T (900/1000 K) x tau 1/3/10 s,all parameters,6,12,-0.164-0.838,67.98159128595928,,,,,,,1.525611162185669,0.052473212549383697,0.09872404378897537,0.24815167247822684,0.3537806588195156,0.17525824661188683,0.09531018998280572,0.15702215586685317,0.1104440741347086
Stage 2 RWGS + CO2 methanation (priority 2/3),three T (900/950/1000 K) x tau 1/3/10 s,all parameters,9,18,-0.164-0.838,24.414650145372757,,,,,,,2.2411000728607178,0.04353277614385869,0.09817116512398034,0.11390252171608588,0.1908049764166289,0.17525824661188683,0.09531018998280572,0.15702215586685317,0.1104440741347086
Stage 2 RWGS + CO2 methanation (priority 2/3),three T x tau 0.3/1/3/10/30 s,all parameters,15,30,-0.181-0.848,8.912491273971664,,,,,,,3.7913811206817627,0.04050299748339008,0.09163642460930746,0.06412700385920246,0.11218169595854921,0.17525824661188683,0.09531018998280572,0.15702215586685317,0.1104440741347086
Stage 1 CH4 pyrolysis (priority 4),single T (1200 K) x tau 1/3/10 s,all parameters,3,3,0.289-0.894,4.127687535369043e+302,inf,inf,,0.30119502905160966,0.0,,0.977431058883667,,,,,,,,
Stage 1 CH4 pyrolysis (priority 4),two T (1150/1250 K) x tau 1/3/10 s,all parameters,6,6,0.148-0.971,1.7893456427235144,0.036183300368255365,0.047947854951836,,0.28958961654835247,0.22461869963456838,,1.9702458381652832,,,,,,,,
Stage 1 CH4 pyrolysis (priority 4),three T (1150/1200/1250 K) x tau 1/3/10 s,all parameters,9,9,0.148-0.971,2.7200133004336697,0.02915345624267823,0.04790384977654841,,0.30119502905160966,0.22461869963456838,,2.943664073944092,,,,,,,,
Stage 1 CH4 pyrolysis (priority 4),three T x tau 0.3/1/3/10/30 s,all parameters,15,15,0.049-0.979,2.6487584505808335,0.027686421676383303,0.04503827869783073,,0.30119502905160966,0.22461869963456838,,4.8780739307403564,,,,,,,,
