parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack
"P3 (k_meth, Ea_meth, n)",2,600/725,12,11.283711155117281,192.4833525624594,0.6985017161019089,0.06980357161376173,0.43787426118221046,,,,
"P3 (k_meth, Ea_meth, n)",2,600/750,12,11.253758319774176,113.31145997298063,0.5155211563473154,0.0947570069733744,0.36406832295991975,,,,
"P3 (k_meth, Ea_meth, n)",2,600/775,12,11.19976406773684,139.3337385569732,0.5210780629666435,0.1263316169493,0.4161978280612598,,,,
"P3 (k_meth, Ea_meth, n)",2,625/750,12,11.132997445855477,118.86715699485919,0.5425218809502442,0.11632280242241796,0.36416073587929404,,,,
"P3 (k_meth, Ea_meth, n)",2,600/800,12,11.129611572038849,423.4549151451907,0.740212675821718,0.188354328079531,0.6313378323825544,,,,
"P3 (k_meth, Ea_meth, n)",2,625/775,12,11.121164516173241,147.09687064469026,0.5875155116283275,0.15358689359228175,0.4204634514060867,,,,
"P3 (k_meth, Ea_meth, n)",2,625/725,12,11.097246398862513,220.85286235853079,0.698457203674302,0.08590966601070654,0.43701839965098127,,,,
"P3 (k_meth, Ea_meth, n)",2,625/800,12,11.091869725918068,423.7979373357958,0.8719418306306213,0.22571078928230268,0.6422397944013345,,,,
"P3 (k_meth, Ea_meth, n)",2,650/800,12,10.796887900176488,522.7925081531238,1.0408708943342522,0.2733932623540923,0.647250378338464,,,,
"P3 (k_meth, Ea_meth, n)",2,650/775,12,10.74776673690359,189.90770070898816,0.6895783175375247,0.1933763393690445,0.42451694049104244,,,,
"P3 (k_meth, Ea_meth, n)",2,650/750,12,10.694386430623153,144.59020926991272,0.5914963840639501,0.1511206334178145,0.3630733698439791,,,,
"P3 (k_meth, Ea_meth, n)",2,650/725,12,10.557239140689724,256.8184990543483,0.6999927101076361,0.11702174910604049,0.43370642523409775,,,,
"P3 (k_meth, Ea_meth, n)",2,675/800,12,10.351691733622557,831.7678560304529,1.220462435661528,0.3249675548510847,0.6237949344580467,,,,
"P3 (k_meth, Ea_meth, n)",2,600/700,12,10.209101356357335,865.9838294401369,1.343524268009184,0.07105463019708902,0.8444903389649457,,,,
"P3 (k_meth, Ea_meth, n)",2,675/775,12,10.127280089915136,305.00665559880383,0.8438342623642849,0.2521942418977184,0.423154274230423,,,,
"P3 (k_meth, Ea_meth, n)",2,675/750,12,9.956450688515442,205.38512873148207,0.6848619358059109,0.21079219840422214,0.3571839841789757,,,,
"P3 (k_meth, Ea_meth, n)",2,700/800,12,9.927044357283165,1028.5295135615556,1.3177415997211517,0.3567301490028874,0.5350451570767591,,,,
"P3 (k_meth, Ea_meth, n)",2,625/700,12,9.895617918870881,1028.3342370161874,1.3380217167268278,0.09125582761714487,0.8397427087450096,,,,
"P3 (k_meth, Ea_meth, n)",2,625/825,12,9.76720323472672,2132.4902423080252,1.8136165814004543,0.4591015389820124,1.346569812181847,,,,
"P3 (k_meth, Ea_meth, n)",2,725/825,12,9.711042827999263,837.4420190956561,1.2002215161397214,0.3158691505853626,0.37780333432330304,,,,
"P3 (k_meth, Ea_meth, n)",2,600/825,12,9.687051353419431,2278.683240235608,1.6031149452920268,0.4049175464012284,1.3908374047633012,,,,
"P3 (k_meth, Ea_meth, n)",2,650/825,12,9.67892293010931,2141.8268861897286,1.9778945635586158,0.5018405620539083,1.2384202756333262,,,,
"P3 (k_meth, Ea_meth, n)",2,700/825,12,9.649711281301963,1801.4463468919307,1.665452273805977,0.4278769663684652,0.6965974323193072,,,,
"P3 (k_meth, Ea_meth, n)",2,675/725,12,9.641911969852632,287.83084981624745,0.709277234348327,0.18277635393934868,0.42179097284349193,,,,
"P3 (k_meth, Ea_meth, n)",2,675/825,12,9.606715654358506,2309.6056550411467,1.941101460135079,0.4943879271910682,1.0057123712590719,,,,
"P3 (k_meth, Ea_meth, n)",2,725/800,12,9.604432820392427,700.377629834963,1.1592057499794595,0.32366995919853847,0.34350632216923815,,,,
"P3 (k_meth, Ea_meth, n)",2,725/850,12,9.550909550691676,715.2022172951042,1.1840175769445747,0.28663214347402605,0.4059012981107168,,,,
"P3 (k_meth, Ea_meth, n)",2,700/775,12,9.331249997497258,497.20324246888595,1.0665759721156973,0.33878979505131535,0.4016616799048663,,,,
"P3 (k_meth, Ea_meth, n)",2,700/850,12,9.183418427584927,2114.278317418757,1.9131660919768607,0.44689656700038816,0.8380531106938798,,,,
"P3 (k_meth, Ea_meth, n)",2,650/700,12,9.146017291789377,1122.527981168906,1.3112291992960179,0.1396763799646313,0.8187237969253122,,,,
