parameter_set,n_T,kind,temperatures,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack
"P3 (k_meth, Ea_meth, n)",2,D-optimal,600/725,11.283711155117281,192.4833525624594,0.6985017161019089,0.06980357161376173,0.43787426118221046,,,,
"P3 (k_meth, Ea_meth, n)",3,D-optimal,600/700/825,13.943947192536033,93.63185731153281,0.34222538656801005,0.06979513833843294,0.22593373257973134,,,,
"P3 (k_meth, Ea_meth, n)",4,D-optimal,600/700/725/825,14.675130224301821,81.77177539313698,0.28881564587548725,0.05717981707612871,0.17954518950375356,,,,
"P3 (k_meth, Ea_meth, n)",3,K2 three T 600/650/700,600/650/700,10.830011005850364,1411.4016554856817,1.3012128386037036,0.0710017547562327,0.8169025106772377,,,,
"P3 (k_meth, Ea_meth, n)",4,K2 four T 600-750,600/650/700/750,13.322898565807716,182.14395479896126,0.45402741441510436,0.06358643426261616,0.2877300104371901,,,,
P7 (all three reactions + n),2,D-optimal,700/800,29.567388194326995,39768.68480116801,1.6094959081356552,0.40117462638511153,0.6897709753904873,0.3010820494146201,0.08229308629752981,0.5098374311891255,0.10342993652605123
P7 (all three reactions + n),3,D-optimal,600/725/800,33.94648131915054,3919.3543973927835,0.44947912789326183,0.0691005623697145,0.304258655836757,0.2548871186798588,0.07478858451545964,0.41559354096010087,0.0974959956489626
P7 (all three reactions + n),4,D-optimal,600/700/800/825,37.12242606657987,6755.76114047234,0.42502109315939873,0.07193879195046436,0.2886324524029916,0.18475755290412194,0.04752768394113607,0.3056067871638197,0.06251701874847924
P7 (all three reactions + n),3,K2 three T 600/650/700,600/650/700,13.173793359632471,99272.63893630604,5.55835457005269,0.1311142018302976,3.7418696755509018,2.020549421629431,0.9245879851756932,7.821922897466435,2.073021088529935
P7 (all three reactions + n),4,K2 four T 600-750,600/650/700/750,27.179758359010073,42269.670025755484,0.7471600764698724,0.06768102830096663,0.5141440417472666,0.8276402349360165,0.32094069959301474,2.4645277347356074,0.7221659053558439
