stage,feed,parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/950,6,13.859934086150696,101.03714907279802,,,,,,,,0.1021204617907599,0.12605078248263388,0.5109257866684123,0.4000567643361543
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/925,6,13.2774934116222,125.16344537818661,,,,,,,,0.13927895155612638,0.16523718746139202,0.5254528336777529,0.4383023573805399
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/1025,6,13.109141338808474,500.7822129460701,,,,,,,,0.08022003687370151,0.0807693016333715,1.2875815251726328,0.870169007699603
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/1000,6,13.04970654469274,408.0774428276321,,,,,,,,0.09394953282280502,0.09830533191253678,1.1295397912616039,0.7695563728919487
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/975,6,12.986528090675588,334.5697629246876,,,,,,,,0.09017341198355963,0.10589024780464208,0.9853396199477868,0.6818048975046609
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/950,6,12.741671984156138,117.39442722087452,,,,,,,,0.10212046180823436,0.16973883173695584,0.5109257871531915,0.5432036284301897
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/1025,6,12.524988766450855,464.3780709562459,,,,,,,,0.07716823326173164,0.095306524591265,1.130065343112461,1.044159510111312
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/1000,6,12.35288727801884,380.87988419960834,,,,,,,,0.08835934361074356,0.11958100712354566,1.0190148802589838,0.949271458950726
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/975,6,12.126427553744804,334.6883826334189,,,,,,,,0.0860441460723872,0.13379596455047676,0.924797704921167,0.8751411134443524
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/900,6,12.095344502095582,254.05009343464675,,,,,,,,0.22249511863704835,0.24228347530188152,0.6943435593737224,0.5792456241582784
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/925,6,11.688090290657396,190.1206308579411,,,,,,,,0.15993504683099433,0.25041247052827653,0.597655491962705,0.6665721187637498
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/1025,6,11.427331873133554,505.9679234931775,,,,,,,,0.07655235871866549,0.11712711271556035,0.9177216231671986,1.2927036204984932
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/1000,6,11.091969191246964,422.13102048711016,,,,,,,,0.08273326405104893,0.15316823819545788,0.8592950920848388,1.226623522536771
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/1050,6,10.820737961893144,7334.808281467378,,,,,,,,0.07120463347351567,0.06686109541903483,4.658172563774732,3.1281849791808556
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/950,6,10.75148235935305,194.2720127257921,,,,,,,,0.10212046174826839,0.26065335389990507,0.5109257869129036,0.8699105876867158
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/975,6,10.607371974425568,407.8037036319379,,,,,,,,0.08051212882436956,0.18267081165902554,0.8266980939962608,1.2107245788969125
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/1050,6,10.319069917747747,6741.5060691962235,,,,,,,,0.0711873715036837,0.07704479684261177,3.993954959183762,3.679999090170556
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,925/1025,6,10.094999148906927,672.8680359643797,,,,,,,,0.0817712546520776,0.14978296879734537,0.6319878591240556,1.6692548827981886
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/875,6,9.691148437733903,1073.5604299472402,,,,,,,,0.4905274738145077,0.4731715890223666,1.360252338721257,1.0506696744272108
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,925/1000,6,9.501519262488406,622.5843974726677,,,,,,,,0.08072549398799775,0.20905663412705103,0.6195217175408941,1.6950734781445067
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,875/900,6,9.35519025639001,711.7127379417202,,,,,,,,0.3575351396399795,0.4896505379676687,1.0994301164503226,1.1705811937616302
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/1050,6,9.334105547652262,7081.063546403515,,,,,,,,0.074802155908574,0.09198222563349251,3.111359541686642,4.416760866656718
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,900/925,6,8.547177479717966,597.1668918594452,,,,,,,,0.22619855591736718,0.5127613046866382,0.8391321233430978,1.4444608860254493
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,925/975,6,8.545816495802564,746.8074610067265,,,,,,,,0.07483742772794949,0.2802752016224627,0.644762768091543,1.89370684462657
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,950/1025,6,8.375896064084053,1288.5930716233615,,,,,,,,0.1021204617280068,0.20314594834511893,0.5109257871887757,2.311751777218506
S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,925/1050,6,8.16507805359907,8645.127732985484,,,,,,,,0.08377069255883104,0.11282778443315826,1.8881635983126677,5.44899802752657
