stage,feed,T_K,Y_CH4_min,X_COx_min,Y_Csolid_min,Y_CH4_max,X_COx_max,Y_Csolid_max,trace_F,F_k_meth,F_Ea_meth,F_k_carb,F_Ea_carb,F_k_crack,F_Ea_crack,F_n,X_CO2_min,X_CO2_max,F_k1_ref,F_Ea1,F_k2_ref,F_Ea2
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",600.0,4.1080615094994544e-05,5.1971426558328204e-05,1.089081146149644e-05,0.0022259654032233565,0.002791976231346638,0.0005660108281238584,0.2818331651132809,0.000472126429705246,0.0011227185108010184,0.035093390312767585,0.10098465864221495,0.020162607369876892,0.12279253976422584,0.0012051240836893542,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",625.0,7.810697140711976e-05,0.00013068205116295584,5.2575079756611286e-05,0.004039766948821287,0.0066387468907253,0.002598979941903159,0.4967558587320317,0.0016570520041515908,0.0009076972203212271,0.20337427590398097,0.13479989573392642,0.06318112573545803,0.08860708154001566,0.004228730594177759,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",650.0,0.00013928364620839504,0.000306363327817083,0.00016707968160769568,0.006460562452080924,0.014215961866015148,0.007755399413934009,1.1150076489222807,0.003679536341386474,0.0,0.9408631935824717,0.0,0.16107752421301733,0.0,0.009387394785405092,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",675.0,0.00023248821347076078,0.0006744264224473051,0.0004419382089772974,0.00881741470300669,0.027175748416146117,0.018358333713139316,5.989969374708829,0.005217772148940363,0.002450448855509774,3.3350449690836785,1.8952002964795307,0.33543941702373065,0.4033068982381628,0.013309572879276319,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",700.0,0.00035995940132636204,0.0014022038014002147,0.0010422444000738034,0.009890182716500223,0.04587506948059905,0.0359848867640973,29.803601253981242,0.009284432772765083,0.01621911014313967,8.560328163032228,18.09336302778813,0.566626575447394,2.5340982997578694,0.02368164503972039,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",725.0,0.0005052980920904653,0.0027656114586487313,0.0022603133665581006,0.00854313562144565,0.0677261402743291,0.05918300465288365,90.79836351257568,0.025917028874789222,0.09497372596756541,15.41238274411668,68.31529268610598,0.6632185586400134,6.220484149936414,0.06609461893424055,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",750.0,0.0006072604858004157,0.005190671510787337,0.004583411024986494,0.006939312082724463,0.08824785075267949,0.08395949623226744,187.5042168279923,0.04871184258221693,0.296568281564777,21.70313964567687,159.78904662567814,0.3344020697973641,5.208137494610197,0.1242108680827449,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",775.0,-0.002575544092404973,0.009286158996462901,0.008770558508646333,0.005067374678107201,0.1066473365536269,0.10922288064603192,341.27177890896667,0.04837241265786721,0.4309598871069046,27.859110290767163,300.04375699499326,0.5364148143791285,12.229847303326274,0.12331720573601862,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",800.0,-0.009561504127216633,0.015832003946175566,0.015891960455361728,0.004234194396711676,0.12347290429551583,0.13303440842273226,486.79263333515087,0.04169430336751323,0.5021169595979585,29.417803007031434,427.9297305064308,0.9084456183209167,27.886532467146107,0.10631047325616055,,,,,,
S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",825.0,-0.012411959444949053,0.025626405919201956,0.027164876726003158,0.0013905116719695573,0.13093368224025626,0.14334564168520542,510.7688609505083,0.031931849742951386,0.49211302570320475,24.602347722644545,458.0274974890743,0.6824848379104701,26.85109774775767,0.081388277675231,,,,,,
