kind,stage,feed,parameter_set,n_T,temperatures,n_points,logdet_F,cond_number,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",2,750/850,12,-14.05468821313625,91210.27527476277,188.03721108899174,3.204277286157853,117.39869149952587,,,,,,,,
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",3,725/750/850,18,-13.381279606464163,97704.51597145491,186.14159530620606,2.564156369351788,116.33326610010187,,,,,,,,
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",4,725/750/825/850,24,-12.968958807776884,112185.43526204553,175.08556037023666,2.462645354511804,109.41821852790106,,,,,,,,
K2 a priori 600/650/700,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",3,600/650/700,18,-23.147345981240512,236242.81212835276,1695.3324671105463,11.606863380392879,1061.3523784331082,,,,,,,,
K2b (old inlet) 600/725/800,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",3,600/725/800,18,-17.952949012035944,598452.3040893233,721.5514602930019,4.5724201712631425,451.6874332627809,,,,,,,,
K2b (old inlet) 600/700/800/825,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)","P3 (k_meth, Ea_meth, n)",4,600/700/800/825,24,-16.46541772485146,328894.3361007141,427.4984050110878,4.061968308131349,267.4675866434368,,,,,,,,
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),2,700/850,12,-8.838777661582293,24145961.556050226,192.79552989118915,6.617502273686645,118.61145631506812,1.0381648339266423,0.24565908427102245,5.739242703284348,0.9496695468032187,,,,
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),3,675/775/850,18,-4.773584737013905,37407221.593488544,186.4379619180355,3.3984050467439344,116.3413502595929,0.6214962524304055,0.16706616398379695,2.339807854869371,0.4437457727901639,,,,
D-optimal,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),4,700/775/800/850,24,-3.2827418243287836,57870084.60610215,182.34705056038467,3.626503560461406,113.59482621876874,0.5583015849812314,0.14855851933455103,2.502461717473415,0.47153047353556077,,,,
K2 a priori 600/650/700,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),3,600/650/700,18,-25.84447919814528,221584163.23403406,2342.299186773546,27.004990534786252,1455.2968350608176,3.233680441843146,2.0525398934657897,7.078337870642675,2.914757674049111,,,,
K2b (old inlet) 600/725/800,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),3,600/725/800,18,-11.982013853750082,509079135.40275973,823.8347770241728,6.62515025386416,514.5340164023563,1.0292894709995954,0.30952917708757627,5.203589839309468,0.9620276127941135,,,,
K2b (old inlet) 600/700/800/825,S3,"S3 kinetic-loop inlet (X4, H2/CO2 0.42)",P7 (all three reactions + n),4,600/700/800/825,24,-7.891119530840648,251427997.04421958,430.695876118818,5.7290793480451185,269.479685339775,0.7977298220780805,0.21013340204024628,3.732374672968999,0.6599669830017082,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",2,625/725,12,2.993095687924661,357.9610940274683,3.0625854137025494,0.32537809167266585,1.9338817832953004,,,,,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",3,600/700/725,18,4.165124619916437,340.1786415103407,2.668992344499093,0.22383415030288217,1.6831758235051517,,,,,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",4,600/650/700/725,24,4.9700347847121265,435.04113550273433,2.3497879422506815,0.2204318192025725,1.523278456162587,,,,,,,,
K2 a priori 600/650/700,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",3,600/650/700,18,3.5741132077744737,972.9075350234812,3.7563102742011174,0.2611617256666145,2.440199630212675,,,,,,,,
K2b (old inlet) 600/725/800,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",3,600/725/800,18,3.800260072839091,148.39982178517735,2.2608516567453636,0.25032417850689664,1.4519245136874543,,,,,,,,
K2b (old inlet) 600/700/800/825,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)","P3 (k_meth, Ea_meth, n)",4,600/700/800/825,24,4.493482387715064,211.09855791954982,2.272736473094902,0.21704188715295208,1.437626255559971,,,,,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),2,700/825,12,16.528831847279292,223280.00807316153,5.552926450872052,0.8202824325499709,3.002704661325202,0.7256046429137034,0.1657645354983011,0.9190043637510071,0.19602977830445398,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),3,700/775/825,18,20.175450027005578,151937.2128317881,3.7396922766597642,0.6084413437951828,2.0985951931083333,0.31146496523669703,0.07934088774327006,0.603286489803164,0.1367518027449728,,,,
D-optimal,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,625/700/775/825,24,22.99880086566136,109091.38295623171,3.0503999531899293,0.24697275189787934,1.9606553986149076,0.3089808886009714,0.07864431770221177,0.5607642857169534,0.12404635795588555,,,,
K2 a priori 600/650/700,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),3,600/650/700,18,7.605867199956594,4426.4536530839105,5.458926374947073,0.5204681481045246,3.3214007222609223,1.3192904769027416,0.8849756466073232,2.5533718368747014,1.2123921014615837,,,,
K2b (old inlet) 600/725/800,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),3,600/725/800,18,18.732630416609823,79402.24513382402,3.3089904708006515,0.2830149212760182,2.001987573629243,0.6270796648255375,0.16472993755184426,1.4210345426184245,0.2707605938801187,,,,
K2b (old inlet) 600/700/800/825,S3,"S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",P7 (all three reactions + n),4,600/700/800/825,24,22.42587078661013,124137.56268496548,2.8964962146337845,0.21767156746262303,1.8487932248853205,0.47192837618762434,0.11534316631249537,0.6309161628386888,0.12760899300411768,,,,
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",2,850/950,6,13.859934086150696,101.03714907279802,,,,,,,,0.1021204617907599,0.12605078248263388,0.5109257866684123,0.4000567643361543
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",3,850/925/1050,9,15.648451628953591,128.94556848663072,,,,,,,,0.058685264645385496,0.06568579109353002,0.520313142154572,0.43308838449762477
D-optimal,S2,"S2 equilibrium-loop inlet (X4, H2/CO2 1.64)","P4 (k1, Ea1, k2, Ea2)",4,850/875/950/1050,12,16.725355279150698,155.78933316400878,,,,,,,,0.051980442864277034,0.05956479428845336,0.47467294493009765,0.3970013199138498
