source,design,n_points,rel_se_k_meth,rel_se_Ea_meth,rel_se_n,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,max_rel_se_6,stage,criterion,rank,series_1,T_1,series_2,T_2,logdet_F,max_rel_se,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
"K2b, old inlet (submitted design case, H2/CO2 ~3, CO/CO2 1.7)",600/700/800/825,24,0.4250210931593987,0.0719387919504643,0.2886324524029916,0.1847575529041219,0.047527683941136,0.3056067871638197,0.0625170187484792,0.4250210931593987,S3,,,,,,,,,,,,
"K2c, S3 kinetic-loop inlet (X4, H2/CO2 0.42)",700/775/800/850,24,182.34705056038467,3.626503560461406,113.59482621876874,0.5583015849812314,0.148558519334551,2.502461717473415,0.4715304735355607,182.34705056038467,S3,,,,,,,,,,,,
"K2c, S3 equilibrium-loop inlet (X4, H2/CO2 1.18)",625/700/775/825,24,3.0503999531899293,0.2469727518978793,1.9606553986149076,0.3089808886009714,0.0786443177022117,0.5607642857169534,0.1240463579558855,3.0503999531899293,S3,,,,,,,,,,,,
K2d D-optimal (two series),"H2/CO2=4, CO/CO2=0.01 @ 600/700/725/800 + H2/CO2=2, CO/CO2=1 @ 775/800/825/850",48,0.09631202349103511,0.02801766558350675,0.07635814681965238,0.2408139459072911,0.05994464001304633,0.30336585427807755,0.06318472457196218,0.30336585427807755,S3,,,,,,,,,,,,
K2d minimax SE (two series),"H2/CO2=2, CO/CO2=1 @ 750/775/800/850 + H2/CO2=4, CO/CO2=1 @ 625/700/725/750",48,0.24027977272241077,0.0712882340801182,0.14907363196180853,0.14738640228037225,0.039161479847413264,0.2465256350278164,0.05829515505106049,0.2465256350278164,S3,,,,,,,,,,,,
,,24,,,,,,,,,S2,minimax SE,1.0,H2/CO2=3,850/925/950/975,H2/CO2=4,850/900/925/950,23.2837402748105,0.08529562632782531,0.042253210357219864,0.06407767057612777,0.08529562632782531,0.08472038140391994
,,24,,,,,,,,,S2,minimax SE,2.0,H2/CO2=3,850/900/925/950,H2/CO2=4,850/925/950/975,23.22971210943375,0.08562747219641215,0.04208109769814319,0.06386659421506635,0.08562747219641215,0.08318689543089391
,,24,,,,,,,,,S2,minimax SE,3.0,H2/CO2=3,850/900/925/950,H2/CO2=4,850/900/925/950,23.06795756221654,0.0864021868828331,0.05034548621405563,0.07375221765872869,0.0849302962470811,0.0864021868828331
,,24,,,,,,,,,S2,minimax SE,4.0,H2/CO2=3,850/925/950/1000,H2/CO2=4,850/900/925/950,23.435279469001287,0.0866594577271272,0.03964789503574847,0.058605785947031294,0.0866594577271272,0.0856666068944728
,,24,,,,,,,,,S2,minimax SE,5.0,H2/CO2=3,850/925/950/1025,H2/CO2=4,850/900/925/950,23.63188993535148,0.08680077171006975,0.03744335915513232,0.05320013344558892,0.08680077171006975,0.08572656301643342
