criterion,rank,series_1,T_1,series_2,T_2,n_points,logdet_F,max_rel_se,rel_se_k1_ref,rel_se_Ea1,rel_se_k2_ref,rel_se_Ea2
D-optimal,1,H2/CO2=3,850/950/1025/1050,H2/CO2=4,850/875/925/950,24,24.076441948242888,0.10033568128669353,0.033363639608063766,0.04106240796221279,0.10033568128669353,0.08913687300754619
D-optimal,2,H2/CO2=3,850/875/1025/1050,H2/CO2=4,850/875/925/950,24,24.065779374254845,0.11135796231501788,0.03453414273368672,0.03996038156034324,0.11135796231501788,0.09719366414231567
D-optimal,3,H2/CO2=3,850/925/1025/1050,H2/CO2=4,850/875/925/950,24,24.05601861155261,0.10122343896061688,0.03375318568553704,0.04126797973868446,0.10122343896061688,0.09112059771523176
D-optimal,4,H2/CO2=3,850/875/950/1050,H2/CO2=4,850/925/950/1050,24,24.03800639371599,0.1016799711305612,0.03272866755013512,0.03880861400043467,0.1016799711305612,0.08983647130279312
D-optimal,5,H2/CO2=3,850/875/925/1050,H2/CO2=4,850/925/950/1050,24,24.027167238876356,0.10244730977417936,0.03300048163342592,0.03888416946423815,0.10244730977417936,0.0918909082446993
D-optimal,6,H2/CO2=3,850/900/1025/1050,H2/CO2=4,850/875/925/950,24,24.0227895734442,0.10597466517588944,0.03413957678933778,0.0409385070271785,0.10597466517588944,0.0952272482807219
D-optimal,7,H2/CO2=3,850/925/950/1050,H2/CO2=4,850/875/950/1050,24,24.018358155080268,0.10979814461470498,0.03268528075631884,0.03863615211892292,0.10979814461470498,0.0942657209207489
D-optimal,8,H2/CO2=3,850/875/1025/1050,H2/CO2=4,850/900/925/950,24,24.00938005231777,0.10214421531143801,0.03414453947792945,0.04105401948187084,0.10214421531143801,0.09432056007976117
D-optimal,9,H2/CO2=3,850/875/950/1050,H2/CO2=4,850/875/925/950,24,24.00887409911331,0.10047760813445043,0.03739962675677623,0.04518684903273609,0.10047760813445043,0.08969243363386496
D-optimal,10,H2/CO2=3,850/950/1025/1050,H2/CO2=4,850/875/900/950,24,24.00680105570622,0.10907818346716382,0.03369992077259449,0.04064252217834327,0.10907818346716382,0.09667511717514055
D-optimal,11,H2/CO2=3,850/875/900/1050,H2/CO2=4,850/925/950/1050,24,24.00283201008658,0.10722834467079737,0.03326670261000264,0.03850303583780481,0.10722834467079737,0.09599872491088907
D-optimal,12,H2/CO2=3,850/875/950/1050,H2/CO2=4,850/875/950/1050,24,24.00177260810421,0.12294014544563203,0.03318035183260775,0.037272680898459525,0.12294014544563203,0.1026252055995505
D-optimal,13,H2/CO2=3,850/925/950/1050,H2/CO2=4,850/875/925/1050,24,23.989938234300453,0.11196369419660475,0.03294979300532761,0.03872829257692712,0.11196369419660475,0.09864726913686435
D-optimal,14,H2/CO2=3,850/875/950/1050,H2/CO2=4,850/900/950/1050,24,23.981820954832806,0.11048509650470803,0.032938932089107927,0.038339290264093474,0.11048509650470803,0.09739649992983576
D-optimal,15,H2/CO2=3,850/900/950/1050,H2/CO2=4,850/875/950/1050,24,23.97981057600623,0.11559914585522517,0.03291799462269003,0.038221979180381276,0.11559914585522517,0.09923918740647787
D-optimal,16,H2/CO2=3,850/950/1000/1050,H2/CO2=4,850/875/925/950,24,23.979678580271703,0.10014983641620077,0.034036674509596326,0.0430485341121858,0.10014983641620077,0.08904783077476351
D-optimal,17,H2/CO2=3,850/925/950/1050,H2/CO2=4,850/875/925/950,24,23.97593424634868,0.09289034627086219,0.036156431412899495,0.04643485843213032,0.09289034627086219,0.08565908058087612
D-optimal,18,H2/CO2=3,850/925/1025/1050,H2/CO2=4,850/875/900/950,24,23.97426946585987,0.11048991124260976,0.034140908128548066,0.040918314219857053,0.11048991124260976,0.09914740422528469
D-optimal,19,H2/CO2=3,850/875/925/1050,H2/CO2=4,850/875/950/1050,24,23.97316637831057,0.12445319194639262,0.03353434147728901,0.03746650318569663,0.12445319194639262,0.10531617479359859
D-optimal,20,H2/CO2=3,850/875/1025/1050,H2/CO2=4,850/925/950/1050,24,23.964705447959474,0.1131559073229654,0.03206037940584055,0.03648711168194531,0.1131559073229654,0.09703938295385714
minimax SE,1,H2/CO2=3,850/925/950/975,H2/CO2=4,850/900/925/950,24,23.2837402748105,0.08529562632782531,0.042253210357219864,0.06407767057612777,0.08529562632782531,0.08472038140391994
minimax SE,2,H2/CO2=3,850/900/925/950,H2/CO2=4,850/925/950/975,24,23.22971210943375,0.08562747219641215,0.04208109769814319,0.06386659421506635,0.08562747219641215,0.08318689543089391
minimax SE,3,H2/CO2=3,850/900/925/950,H2/CO2=4,850/900/925/950,24,23.06795756221654,0.0864021868828331,0.05034548621405563,0.07375221765872869,0.0849302962470811,0.0864021868828331
minimax SE,4,H2/CO2=3,850/925/950/1000,H2/CO2=4,850/900/925/950,24,23.435279469001287,0.0866594577271272,0.03964789503574847,0.058605785947031294,0.0866594577271272,0.0856666068944728
minimax SE,5,H2/CO2=3,850/925/950/1025,H2/CO2=4,850/900/925/950,24,23.63188993535148,0.08680077171006975,0.03744335915513232,0.05320013344558892,0.08680077171006975,0.08572656301643342
minimax SE,6,H2/CO2=3,850/925/950/975,H2/CO2=4,850/925/950/975,24,23.284868606009727,0.08708514297685609,0.0376678336281363,0.059293232818580476,0.08708514297685609,0.08185747657505049
minimax SE,7,H2/CO2=3,850/925/950/1050,H2/CO2=4,850/900/925/950,24,23.82899975435751,0.08737093416715085,0.035626840925186004,0.048076291262865944,0.08737093416715085,0.08628581298940997
minimax SE,8,H2/CO2=3,850/875/925/950,H2/CO2=4,850/900/925/950,24,23.18793885840565,0.0873799653559153,0.05143419008643092,0.07132597511715788,0.0873799653559153,0.08554172229100328
minimax SE,9,H2/CO2=3,850/925/950,H2/CO2=4,850/900/925/950,21,22.817607327895374,0.087626959132687,0.051484876755248245,0.07380502650163372,0.087626959132687,0.08664080133989124
minimax SE,10,H2/CO2=3,850/900/950/975,H2/CO2=4,850/900/925/950,24,23.263602718134898,0.08816415532159785,0.043687597564511266,0.06420515480124837,0.08816415532159785,0.08703956096797663
minimax SE,11,H2/CO2=3,850/875/925/950,H2/CO2=4,850/925/950/975,24,23.36493904255724,0.08846642775305413,0.042901297327231955,0.061377012510994616,0.08846642775305413,0.08250330497349337
minimax SE,12,H2/CO2=3,850/925/950/1000,H2/CO2=4,850/925/950/975,24,23.389083345160543,0.08861284659235699,0.03625127771922495,0.05548715347436444,0.08861284659235699,0.08281446130866219
minimax SE,13,H2/CO2=3,850/925/950/1025,H2/CO2=4,850/925/950/975,24,23.54939830831017,0.08871849433325033,0.03496899742605011,0.05130316422815719,0.08871849433325033,0.0828494097877796
minimax SE,14,H2/CO2=3,875/925/950/975,H2/CO2=4,850/925/950/975,24,22.926430651311154,0.08896789546627591,0.0373968401709539,0.0657544466528715,0.0867847650390215,0.08896789546627591
minimax SE,15,H2/CO2=3,850/900/925/950,H2/CO2=4,850/925/950/1000,24,23.34237743319057,0.0890830632291329,0.0393871128935745,0.058227765498402216,0.0890830632291329,0.08564787996880824
minimax SE,16,H2/CO2=3,850/900/925/975,H2/CO2=4,850/900/925/950,24,23.163966917385203,0.08911393314359264,0.04607473828400348,0.06703693760506022,0.08911393314359264,0.08898567073350268
minimax SE,17,H2/CO2=3,850/900/925/950,H2/CO2=4,850/925/950/1025,24,23.54619960586305,0.08914429438782978,0.03717951002498484,0.05273040092511717,0.08914429438782978,0.08560458289111664
minimax SE,18,H2/CO2=3,850/925/950/1050,H2/CO2=4,850/925/950/975,24,23.718678337273513,0.08916874946703993,0.03387876208124351,0.04704809573122948,0.08916874946703993,0.08329362560344601
minimax SE,19,H2/CO2=3,850/925/950,H2/CO2=4,850/925/950/975,21,22.9416841096243,0.08925207459862834,0.04313206295903516,0.06425329471911823,0.08925207459862834,0.08342834895487525
minimax SE,20,H2/CO2=3,850/900/925/950,H2/CO2=4,850/875/925/950,24,23.22327407711829,0.08965740851694513,0.051524711004577575,0.0711043800884327,0.08965740851694513,0.08531283456494813
