criterion,rank,series_1,T_1,series_2,T_2,n_points,logdet_F,max_rel_se,rel_se_k_meth,rel_se_Ea_meth,rel_se_k_carb,rel_se_Ea_carb,rel_se_k_crack,rel_se_Ea_crack,rel_se_n
D-optimal,1,"H2/CO2=4, CO/CO2=0.01",600/700/725/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.30146281814355,0.30336585427807755,0.09631202349103511,0.02801766558350675,0.2408139459072911,0.05994464001304633,0.30336585427807755,0.06318472457196218,0.07635814681965238
D-optimal,2,"H2/CO2=4, CO/CO2=0.01",600/675/725/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.25918968767921,0.30337513776557773,0.10279009491080243,0.029540822271974222,0.2408144200343335,0.05994526843913147,0.30337513776557773,0.06318503813387048,0.07961534554087385
D-optimal,3,"H2/CO2=4, CO/CO2=0.01",600/700/725/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.25774670421804,0.2786738688658806,0.09567826119126002,0.02785303449876832,0.18792544537989264,0.049630350767977824,0.2786738688658806,0.06545132813321194,0.07574256344194355
D-optimal,4,"H2/CO2=4, CO/CO2=0.01",600/675/700/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.229226039665974,0.3033955647477629,0.10589722741180982,0.029498841600859645,0.2408255358359445,0.05994914311576158,0.3033955647477629,0.06318672149232969,0.07980442889394823
D-optimal,5,"H2/CO2=4, CO/CO2=0.01",600/675/725/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.21661926800449,0.2786865140211364,0.10203628592681768,0.02934587618338364,0.18792033113860013,0.04962963639800227,0.2786865140211364,0.06545110475844994,0.0789260384696013
D-optimal,6,"H2/CO2=4, CO/CO2=0.01",600/700/725/825,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.19023465512461,0.3033392861314834,0.10007996380888767,0.026549172637090862,0.2409617173169386,0.059957184646567824,0.3033392861314834,0.06318793457257627,0.07785438592349034
D-optimal,7,"H2/CO2=4, CO/CO2=0.01",600/675/700/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.18636128150278,0.2787036763047835,0.10512147104697071,0.02930607762731519,0.18791706241642797,0.04963081744587548,0.2787036763047835,0.06545196606040839,0.07912313528803752
D-optimal,8,"H2/CO2=4, CO/CO2=0.01",600/650/725/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.18493032484483,0.30338681088795716,0.11295426445598061,0.032625059931282854,0.24081835318100914,0.05994565119624104,0.30338681088795716,0.06318534836061707,0.08769924248651326
D-optimal,9,"H2/CO2=4, CO/CO2=0.01",600/700/750/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.16791365035346,0.30337405393854733,0.10327202800677533,0.030809224448614395,0.24082076446649636,0.05994740693481807,0.30337405393854733,0.06318627045531644,0.08463731733207665
D-optimal,10,"H2/CO2=4, CO/CO2=0.01",600/650/700/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.148752622172324,0.3034089989857161,0.11622082981520149,0.03250342536424531,0.2408298566496848,0.059949659857069966,0.3034089989857161,0.06318706507004034,0.0879934640647032
D-optimal,11,"H2/CO2=4, CO/CO2=0.01",600/700/725/825,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.1465124173244,0.2786360332328808,0.09942187522117728,0.026392812974975154,0.18802354707541097,0.04963731911154641,0.2786360332328808,0.06544376806153154,0.07722881872383647
D-optimal,12,"H2/CO2=4, CO/CO2=0.01",600/650/725/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.14602698821351,0.2787111131915044,0.11190422223721702,0.03234512170789992,0.1879246470764941,0.049628515170523635,0.2787111131915044,0.065451017238773,0.08677939927157348
D-optimal,13,"H2/CO2=4, CO/CO2=0.01",600/700/800/825,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.13331794073311,0.3033508805439407,0.12709874638604707,0.03422101552211578,0.24080975353526185,0.059925998776630275,0.3033508805439407,0.06317483766706185,0.10369302477066415
D-optimal,14,"H2/CO2=4, CO/CO2=0.01",600/675/725/825,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.132581928273126,0.3033436004615828,0.10759470803770724,0.02804190068654312,0.2409576021017756,0.05995644678247957,0.3033436004615828,0.0631877218767368,0.08177988979916914
D-optimal,15,"H2/CO2=4, CO/CO2=0.01",600/700/750/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.12853797424507,0.27868414722509866,0.10239981060355816,0.030567286472420713,0.18793448390088988,0.04963061595741305,0.27868414722509866,0.06545113125292037,0.08378349907456033
D-optimal,16,"H2/CO2=4, CO/CO2=0.01",600/675/750/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.12163879419408,0.3033833103999642,0.11097872902843635,0.03275539740289741,0.24082199050768394,0.05994813327407133,0.3033833103999642,0.06318666681026662,0.08855635793787267
D-optimal,17,"H2/CO2=4, CO/CO2=0.01",600/725/750/800,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.11581165474254,0.30336023362191206,0.10292338068727479,0.03145732366149647,0.24081107911074454,0.059943799448596444,0.30336023362191206,0.06318463537367046,0.08754426874489231
D-optimal,18,"H2/CO2=4, CO/CO2=0.01",600/650/700/800,"H2/CO2=2, CO/CO2=1",750/775/800/850,48,43.10957476633868,0.27873137982585494,0.11514278618404693,0.03222697258430648,0.1879214058037516,0.04962990077715133,0.27873137982585494,0.06545203492169988,0.0870801744236652
D-optimal,19,"H2/CO2=4, CO/CO2=0.01",600/700/800/850,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.10648841452647,0.3034213029215759,0.12487846872410861,0.03261244898697437,0.24079692280350581,0.05994324489126146,0.3034213029215759,0.06317148429777932,0.10134321279703346
D-optimal,20,"H2/CO2=4, CO/CO2=0.01",600/700/750/825,"H2/CO2=2, CO/CO2=1",775/800/825/850,48,43.106370482186854,0.3033513060643552,0.1048127281002719,0.02887784505371381,0.24094514771780992,0.05995532736244695,0.3033513060643552,0.06318693068843717,0.08447807018286854
minimax SE,1,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",625/700/725/750,48,37.96932535134825,0.2465256350278164,0.24027977272241077,0.0712882340801182,0.14738640228037225,0.039161479847413264,0.2465256350278164,0.05829515505106049,0.14907363196180853
minimax SE,2,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/725/750,48,38.386585904020876,0.24706488648758873,0.22360593451916277,0.05625321300485169,0.14807170506399533,0.03926734867152464,0.24706488648758873,0.058444090808706745,0.14736746726925423
minimax SE,3,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/675/725/750,48,38.35044637538172,0.24782666449704494,0.2324605212573299,0.05800901896131856,0.1511283165989456,0.040052297987860176,0.24782666449704494,0.05813343947911524,0.15141718648149244
minimax SE,4,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",625/700/725/775,48,38.61231406882681,0.24808121133948785,0.2460304746084967,0.07006754485739697,0.1525846739120732,0.04053749940310203,0.24808121133948785,0.05316361741419222,0.15536690866509145
minimax SE,5,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/675/700/775,48,38.90514495408061,0.24835751170865217,0.24476028033804115,0.05671640587881394,0.16159130630894947,0.04270340494012801,0.24835751170865217,0.053434203343929704,0.160196977322407
minimax SE,6,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/675/700/750,48,38.24916781920884,0.24841598361782294,0.24841598361782294,0.05720366912156543,0.15401029259226304,0.04077564991874161,0.24638949136179902,0.05868631631981059,0.15792773124845763
minimax SE,7,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/725/775,48,39.01422316911482,0.2485700570503468,0.22281755884990004,0.055653595263451365,0.15319870652218745,0.04060628204513125,0.2485700570503468,0.05324914937960033,0.15192623241455874
minimax SE,8,"H2/CO2=2, CO/CO2=1",750/775/800/825,"H2/CO2=4, CO/CO2=1",600/700/725/850,48,39.20778944837668,0.24862920724050216,0.24736020919561122,0.054328404269256385,0.1527368380723741,0.041017336169825225,0.24862920724050216,0.05085811404966485,0.17026174003566968
minimax SE,9,"H2/CO2=2, CO/CO2=1",775/800/825/850,"H2/CO2=4, CO/CO2=1",625/700/725/750,48,38.360427565301016,0.24894816036026468,0.24537304944071925,0.0712033962309318,0.1586227107731185,0.03953921494735055,0.24894816036026468,0.05310511274582879,0.15309490846453913
minimax SE,10,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/750/850,48,39.46386867546451,0.24915881937473575,0.23827830082247664,0.056028209946172323,0.14044270120293564,0.037054444794537754,0.24915881937473575,0.04968367405284515,0.16768143694348636
minimax SE,11,"H2/CO2=2, CO/CO2=1",775/800/825/850,"H2/CO2=4, CO/CO2=1",600/700/725/750,48,38.77201609369585,0.2494188613794232,0.22719402285085502,0.05638236954582359,0.15942144485196705,0.03967479330215287,0.2494188613794232,0.05320402629486424,0.15090866188611332
minimax SE,12,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/725/850,48,39.26009764220581,0.2494637506266019,0.2494637506266019,0.05471733960451799,0.1408311545945276,0.0368781923616334,0.24825459274845357,0.05024281356468861,0.17140409144277413
minimax SE,13,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/725/825,48,39.733001301866864,0.24951070063714,0.23089528349120916,0.05580572836557617,0.14955742923640494,0.039421064261560286,0.24951070063714,0.04918678189949088,0.16209769416451447
minimax SE,14,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/675/725/775,48,38.972818178057224,0.24987499487196246,0.23279452800137723,0.05763464398829889,0.1573643147257523,0.04166616461158081,0.24987499487196246,0.05312736226899541,0.1565152328438288
minimax SE,15,"H2/CO2=2, CO/CO2=1",675/775/800/850,"H2/CO2=4, CO/CO2=1",625/700/725/750,48,37.66225963262154,0.250113099434976,0.24699768234936753,0.07226213946527599,0.1598290084508471,0.041281554345919645,0.250113099434976,0.059157642880513124,0.15141521678582137
minimax SE,16,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",625/700/750/775,48,38.74427720081018,0.25025621998521336,0.2410135291527821,0.07110074928367292,0.15431671898949767,0.041411468192794794,0.25025621998521336,0.05314017639985489,0.15417952436911456
minimax SE,17,"H2/CO2=2, CO/CO2=1",675/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/725/750,48,38.11180695372255,0.250443998579888,0.22935985286386046,0.05636797629843027,0.16064062393754402,0.04141387306264255,0.250443998579888,0.0592544700463638,0.14841519176685383
minimax SE,18,"H2/CO2=2, CO/CO2=1",750/775/800/850,"H2/CO2=4, CO/CO2=1",600/700/750/775,48,39.13467816525523,0.2505404304158628,0.21565198142276018,0.0567140325103803,0.15468694309602124,0.04141687590777441,0.2505404304158628,0.05321489451801322,0.15056780692334235
minimax SE,19,"H2/CO2=2, CO/CO2=1",750/775/800/825,"H2/CO2=4, CO/CO2=1",600/700/750/850,48,39.39222441448394,0.25062159165652553,0.23665804783214273,0.05565693823266472,0.15335414114584472,0.04143351482944725,0.25062159165652553,0.050481041364161004,0.16663082041322846
minimax SE,20,"H2/CO2=2, CO/CO2=1",750/775/800/825,"H2/CO2=4, CO/CO2=1",625/700/725/750,48,37.82592748262657,0.2506442730353403,0.23941191703526143,0.07109461658818149,0.1675498312914335,0.04546045877372939,0.2506442730353403,0.05918408968793422,0.14844631685063028
