feed_case,species,n_in_kmol_d,n_out_kmol_d,delta_n_kmol_d,delta_n_predicted_from_xi,closure_residual_kmol_d
A_eq_chain,CO2,954.3502465404804,177.7781112533754,-776.572135287105,-776.56797067047,-0.004164616634966478
A_eq_chain,H2,7053.281028408566,5683.85588357449,-1369.4251448340765,-1369.411274763238,-0.01387007083849312
A_eq_chain,CO,0.0,578.9535359728807,578.9535359728807,578.9535359728807,0.0
A_eq_chain,H2O,0.0,974.1904695478596,974.1904695478596,974.1824053680593,0.008064179800271631
A_eq_chain,CH4,90.30897372444424,287.92340842203356,197.61443469758933,197.61443469758933,0.0
B_kin_chain,CO2,954.3502465404804,173.42100494850308,-780.9292415919773,-780.8852937196765,-0.0439478723008051
B_kin_chain,H2,4740.366989121612,5016.843662729952,276.4766736083393,276.6257967571264,-0.14912314878711186
B_kin_chain,CO,0.0,1133.3889905452775,1133.3889905452775,1133.3889905452775,0.0
B_kin_chain,H2O,0.0,428.46902775642087,428.46902775642087,428.3815968940755,0.08743086234534303
B_kin_chain,CH4,1246.7756153313662,894.2719185057653,-352.50369682560097,-352.50369682560097,0.0
