feed_case,phi_meth_to_rwgs_inlet_rate_ratio,k2_uncalibrated_mol_m3_s,tau_s,X_CO2_kinetic,X_CO2_gibbs_equilibrium,X_CO2_rwgs_only_equilibrium,approach_to_gibbs,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,CO_out_kmol_d,CH4_out_kmol_d,H2O_out_kmol_d,H2_out_kmol_d,CO2_out_kmol_d,Q_RWGS_kW,Q_meth_kW,Q2_total_kinetic_kW,Q2_gibbs_equilibrium_kW
A_eq_chain,0.0,0.0,3.0,0.7210503722053712,0.8137181690916715,0.8177359176484592,0.8861180683850988,688.1346004823008,0.0,688.1346004823008,90.30897372444424,688.1346004823008,6365.1464279262655,266.2156460581793,280.90489688739103,-0.0,280.90489688739103,-196.44502096811826
A_eq_chain,0.01,0.12451962043106053,3.0,0.723019133770618,0.8137181690916715,0.8177359176484592,0.8885375320766181,683.4396459067937,6.573842660681042,683.4396459067937,96.8828163851253,696.5873312281554,6343.546011859052,264.33675797300646,278.98835943963087,-14.396682262925518,264.59167717670533,-196.44502096811826
A_eq_chain,0.1,1.2451962043106053,3.0,0.738712196429824,0.8137181690916715,0.8177359176484592,0.9078231560866161,644.3422010864075,60.64796569885457,644.3422010864075,150.95693942329882,765.6381324841167,6166.346964526751,249.360079755218,263.02830787685014,-132.81873892137838,130.20956895547175,-196.44502096811826
A_eq_chain,1.0,12.451962043106052,3.0,0.7696859008171124,0.8137181690916715,0.8177359176484592,0.945887569004744,460.41109528732846,274.13883391621346,460.41109528732846,364.44780764065774,1008.6887631197574,5496.314597456386,219.80031733693747,187.94539782892994,-600.3626632907218,-412.4172654617919,-196.44502096811826
A_eq_chain,10.0,124.51962043106052,3.0,0.7302934658428897,0.8137181690916715,0.8177359176484592,0.8974771531255026,404.41879997223845,292.5369492018247,404.41879997223845,382.845922926269,989.4926983758897,5478.714431629028,257.3944973664167,165.08866321487346,-640.654442950714,-475.5657797358406,-196.44502096811826
B_kin_chain,0.0,0.0,3.0,0.6341405139925659,0.8182836903147935,0.756497637044892,0.7749641371302564,605.1921558701123,0.0,605.1921558701123,1246.7756153313662,605.1921558701123,4135.174833251501,349.1580906703682,247.0467841939657,-0.0,247.0467841939657,1234.5743847839083
B_kin_chain,0.01,0.2583511477157961,3.0,0.6340367100244793,0.8182836903147935,0.756497637044892,0.7748372814085608,602.7655256678939,2.327564859682116,602.7655256678939,1249.1031801910485,607.4206553872594,4128.291204014988,349.2571560129035,246.05620428959787,-5.097355300518058,240.95884898907983,1234.5743847839083
B_kin_chain,0.1,2.5835114771579613,3.0,0.629694256764338,0.8182836903147935,0.756497637044892,0.7695304992845388,585.5482977825071,15.400571405663142,585.5482977825071,1262.1761867370294,616.3494405938326,4093.2164057164528,353.4013773523099,239.02792287424458,-33.72717368502684,205.30074918921775,1234.5743847839083
B_kin_chain,1.0,25.83511477157961,3.0,0.5761410975813801,0.8182836903147935,0.756497637044892,0.7040847867317737,562.7426831469804,-12.90228462808703,562.7426831469804,1233.8733307032792,536.9381138908049,4229.233444486987,404.50984802158735,229.71839415245645,28.255938245585213,257.97433239804167,1234.5743847839083
B_kin_chain,10.0,258.3511477157961,3.0,0.5552390633719848,0.8182836903147935,0.756497637044892,0.6785410364935717,575.6933703334807,-45.8008333155261,575.6933703334807,1200.9747820158402,484.09170370243476,4347.8769520502265,424.4577095225212,235.0050218648182,100.30359390325471,335.3086157680729,1234.5743847839083
