stage1_case,tau1_s,T3_K,value_type,X_CH4_stage1,CH4_into_stage3_kmol_d,CO_into_stage3_kmol_d,CO2_into_stage3_kmol_d,H2_into_stage3_kmol_d,CO_origin_CO2_fraction,CH4_origin_CO2_fraction,ext_CO2_methanation_kmol_d,ext_CO_carbon_kmol_d,ext_CH4_cracking_kmol_d,C_stage3_kmol_d,C_stage3_tpd,C_stage3_submitted_window_tpd,C_stage1_tpd,tracer_CH4_fraction,tracer_CO2_fraction,tracer_C3_from_CH4_tpd,tracer_C3_from_CO2_tpd,reaction_CH4_fraction,reaction_CO2_fraction,reaction_C3_from_CH4_tpd,reaction_C3_from_CO2_tpd,CO2_fixed_fraction_of_fresh_CO2_tracer,Q3_kW
submitted tau1 = 3 s,3.0,650.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,0.33207941533655394,3.042317793759241,-10.81264511348046,0.0,0.0,0.0,20.961398953169837,0.0,1.0,0.0,0.0,,,,,0.0,-4.891130655642263
submitted tau1 = 3 s,3.0,700.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,1.3065187600308636,13.863265027327998,-25.03344497714018,0.0,0.0,0.0,20.961398953169837,0.0,1.0000000000000002,0.0,0.0,,,,,0.0,-26.341931050752002
submitted tau1 = 3 s,3.0,750.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,3.90590039378947,49.423451344566445,-37.32727152831544,12.09648289268026,0.1452908560239826,0.1452908560239826,20.961398953169837,0.0,1.0000000000000002,0.0,0.14529085602398262,0.0,1.0,0.0,0.1452908560239826,0.012675097991046802,-122.83668517678225
submitted tau1 = 3 s,3.0,775.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,7.413125518268075,88.61579520096865,27.065999085560122,115.6817942865291,1.3894540311755008,,20.961398953169837,0.16988735080140466,0.8301126491985954,0.23605066441673814,1.1534033667587626,0.23396939209398118,0.7660306079060188,0.3250897150166635,1.0643643161588374,0.10062230409364113,-127.7153480009093
submitted tau1 = 3 s,3.0,800.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,15.517557858749406,151.95621037682173,160.81526108812753,312.77147146494855,3.756698143765497,3.756698143765498,20.961398953169837,0.4645490925014239,0.5354509074985762,1.7451707134880452,2.011527430277452,0.5141621783307346,0.48583782166926537,1.9315521009294951,1.8251460428360018,0.17548459681617326,-110.19394843863523
submitted tau1 = 3 s,3.0,825.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,33.994805305171944,239.64212818623236,356.28998664633895,595.9321148325704,7.157740631254002,,20.961398953169837,0.5408253277837131,0.45917467221628705,3.871087423088747,3.286653208165256,0.5978700891903427,0.4021299108096573,4.27939902960917,2.8783416016448324,0.28672590014340976,-90.08464890699068
submitted tau1 = 3 s,3.0,850.0,kinetic (uncalibrated),0.583291225067477,1246.7756153313662,605.6697083644306,348.68053817604994,1447.144048265017,1.0,0.0,66.16964981880183,321.67468113115655,574.1714333206066,895.8461144517662,10.760007680680163,10.760007680680165,20.961398953169837,0.5670636678629688,0.43293633213703125,6.101609421640209,4.658398259039954,0.6409264091880178,0.35907359081198215,6.896373085613829,3.8636345950663338,0.4063962181137318,-66.89856612443853
design case tau1* = 8.905 s,8.905,650.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,1.4283100050397537,5.123432957800595,-24.84806999489662,0.0,0.0,,31.36820759930369,0.0,1.0,0.0,0.0,,,,,0.0,-8.904653927503162
design case tau1* = 8.905 s,8.905,700.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,5.6088165338692395,23.344195067850748,-69.60861978231243,0.0,0.0,,31.36820759930369,0.0,1.0,0.0,0.0,,,,,0.0,-42.85825619161147
design case tau1* = 8.905 s,8.905,750.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,16.96038310998246,84.0571443943395,-152.0379203296755,0.0,0.0,,31.36820759930369,0.0,1.0,0.0,0.0,,,,,0.0,-173.77407898784708
design case tau1* = 8.905 s,8.905,775.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,25.504031052698462,143.1934716621422,-188.92540945857863,0.0,0.0,,31.36820759930369,0.0,1.0,0.0,0.0,,,,,0.0,-341.2528067543577
design case tau1* = 8.905 s,8.905,800.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,34.25329635812913,223.73131616046433,-243.14020538947508,3.266947676351137,0.0392393085406535,,31.36820759930369,0.0,1.0,0.0,0.0392393085406535,0.0,1.0,0.0,0.0392393085406535,0.0034232166735366,-558.8479448669165
design case tau1* = 8.905 s,8.905,825.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,41.7061175155372,309.5926992137179,-155.65265377723932,157.47156685709683,1.89139098952059,,31.36820759930369,0.0,1.0,0.0,1.89139098952059,0.0,1.0,0.0,1.89139098952059,0.16500395680509466,-701.8836561789467
design case tau1* = 8.905 s,8.905,850.0,kinetic (uncalibrated),0.8728806831856021,380.33579798610594,671.9037411875855,282.4465053528954,2030.4700089185867,1.0,0.0,51.20831585622789,381.68554722719614,-20.933659898685324,360.75188732851154,4.332990918702752,,31.36820759930369,0.0,1.0000000000000002,0.0,4.332990918702753,0.0,1.0,0.0,4.332990918702752,0.37800785260572545,-731.1980577306539
