case_id,chain,value_type,stage1_basis,tau1_s,V1_ratio_vs_3s,X_CH4_stage1,approach_stage1,CH4_into_stage2_kmol_d,H2_into_stage2_kmol_d,phi_k2_definition,k2_uncalibrated_mol_m3_s,phi_effective_at_inlet,tau2_s,X_CO2_stage2,xi1_RWGS_kmol_d,xi2_CO2_methanation_kmol_d,stage2_character,X_CO2_stage2_gibbs_ref_same_feed,xi2_gibbs_ref_same_feed_kmol_d,Q2_gibbs_ref_same_feed_kW,stage2_character_at_equilibrium,CO_out_stage2_kmol_d,CH4_out_stage2_kmol_d,T3_K,tau3_s,C_stage1_tpd,C_stage3_tpd,C_total_tpd,CFR_share_of_carbon,water_recovered_stage2_tpd,H2O_out_stage3_tpd,H2_membrane_permeate_tpd,H2_out_stage3_tpd,H2_surplus_total_tpd,CH4_out_stage3_tpd,CO_out_stage3_tpd,CO2_out_stage3_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,closure_max_per_stage_rel
kin_tau1-3s_phi-0_T3-650,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,0.0,0.0,0.0,3.0,0.634140513992566,605.1921558701123,0.0,reforming (xi2<0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),605.1921558701123,1246.7756153313662,650.0,3.0,20.961398953169837,0.0,20.961398953169837,0.0,10.35740985360007,0.5839619388089196,5.418733101492767,2.905521899166392,8.324255000659157,20.033500622843302,16.90189178014837,15.357581850770515,1822.937820147157,247.04678419396578,-4.887879543604674,2065.0967247975177,2.5351387374622726e-15,2.640254998321078e-15,7.147491487558e-16,2.2798474219598573e-15
kin_tau1-3s_phi-0_T3-800,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,0.0,0.0,0.0,3.0,0.634140513992566,605.1921558701123,0.0,reforming (xi2<0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),605.1921558701123,1246.7756153313662,800.0,3.0,20.961398953169837,3.7548611793541333,24.71626013252397,0.1519186624198511,10.35740985360007,3.840521637348422,5.418733101492767,3.134592548921495,8.55332565041426,17.672005864257358,12.698373268773551,14.682103593082525,1822.937820147157,247.04678419396578,-110.10323814219652,1959.8813661989261,2.074204421560041e-15,1.382990713406279e-15,1.1912485812596665e-15,2.2798474219598573e-15
kin_tau1-3s_phi-0.1_T3-650,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,0.1,1.2451962043106057,0.048197819724045,3.0,0.6328430833799278,594.5031722594839,9.450780385587677,methanation (xi2>0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),594.5031722594839,1256.226395716954,650.0,3.0,20.961398953169837,0.0,20.961398953169837,0.0,10.497961952269963,0.5905209880028288,5.383202735147037,2.8866605138575694,8.269863249004606,20.18441711602532,16.603642350304305,15.412195391223115,1822.937820147157,221.9862499683359,-4.778128009697244,2040.1459421057957,6.914014738533471e-16,2.1373492843551583e-15,-3.097246311275133e-15,3.9439884191617784e-15
kin_tau1-3s_phi-0.1_T3-800,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,0.1,1.2451962043106057,0.048197819724045,3.0,0.6328430833799278,594.5031722594839,9.450780385587677,methanation (xi2>0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),594.5031722594839,1256.226395716954,800.0,3.0,20.961398953169837,3.769371993340222,24.73077094651006,0.15241627531519175,10.497961952269963,3.796480703584777,5.383202735147037,3.1377042900060106,8.520907025153049,17.75802361974583,12.48038859766222,14.735467155074225,1822.937820147157,221.9862499683359,-101.46770354981246,1943.4563665656804,1.8437372636089254e-15,2.640254998321078e-15,0.0,2.2798474219598573e-15
kin_tau1-3s_phi-1_T3-650,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,1.0,12.451962043106056,0.4819781972404499,3.0,0.5973583964044731,562.315723385094,7.773409496541035,methanation (xi2>0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),562.315723385094,1254.5490248279073,650.0,3.0,20.961398953169837,0.0,20.961398953169837,0.0,9.889684015895718,0.5574754843398587,5.434173275404065,2.914539080763431,8.348712356167496,20.15624363092476,15.70488079286688,16.901604766635554,1822.937820147157,212.52037641313058,-4.5689420834121,2030.8892544768755,1.6132701056578099e-15,2.640254998321078e-15,-1.1912485812596666e-16,2.2798474219598573e-15
kin_tau1-3s_phi-1_T3-800,kinetic,kinetic,kinetic tau1=3.00 s,3.0,1.0,0.583291225067477,0.601445182107897,1246.7756153313662,4740.366989121612,1.0,12.451962043106056,0.4819781972404499,3.0,0.5973583964044731,562.315723385094,7.773409496541035,methanation (xi2>0),0.8182836903147935,-352.50369682560097,1234.5743847839083,reforming (xi2<0),562.315723385094,1254.5490248279073,800.0,3.0,20.961398953169837,3.6355469237855766,24.59694587695542,0.14780481048225086,9.889684015895718,3.6885571134300963,5.434173275404065,3.1528318843408805,8.587005159744946,17.813926020487237,11.79579162050788,16.14809019297888,1822.937820147157,212.52037641313058,-96.51770914040954,1938.940487419878,1.3828029477066941e-15,1.6344435703892389e-15,2.6207468787712663e-15,2.6755134647064184e-15
kin_tau1-taustar_phi-0_T3-650,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,0.0,0.0,0.0,3.0,0.703503218069945,671.3884696070735,0.0,reforming (xi2<0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),671.3884696070735,380.3417321684257,650.0,3.0,31.36813632383979,0.0,31.36813632383979,0.0,11.490310115972855,0.68490778899502,7.60273937296526,4.070089741539507,11.672829114504768,6.160404643690706,18.725655391431246,12.417756621565545,2727.9745106713017,274.0689229900293,-8.901831324292642,2993.1416023370384,-1.0371022107800206e-15,-8.800849994403594e-16,-3.573745743779e-16,1.2159186250452572e-15
kin_tau1-taustar_phi-0_T3-800,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,0.0,0.0,0.0,3.0,0.703503218069945,671.3884696070735,0.0,reforming (xi2<0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),671.3884696070735,380.3417321684257,800.0,3.0,31.36813632383979,0.03793974277603294,31.406076066615825,0.0012080383011095837,11.490310115972855,5.155137323503508,7.60273937296526,2.697825120662172,10.300564493627434,9.630084522532947,13.383428244916207,11.154399232831178,2727.9745106713017,274.0689229900293,-558.1629777950601,2443.880455866271,-1.1523357897555784e-15,-1.5087171418977588e-15,7.147491487558e-16,2.092717430837373e-15
kin_tau1-taustar_phi-0.1_T3-650,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,0.1,1.2451962043106057,0.08623965749216833,3.0,0.7161017433947747,637.0638754098171,46.347999947053665,methanation (xi2>0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),637.0638754098171,426.6897321154794,650.0,3.0,31.36813632383979,0.0,31.36813632383979,0.0,12.48929294592019,0.7316352394561163,7.404780644678873,3.9651775472542017,11.369958191933074,6.89988225645836,17.769385426123748,11.891709616268743,2727.9745106713017,158.55532092126387,-8.287846348374686,2878.241985244191,-4.6093431590223135e-16,8.800849994403594e-16,9.529988650077333e-16,2.854421101437534e-15
kin_tau1-taustar_phi-0.1_T3-800,kinetic,kinetic,kinetic tau1=8.90 s,8.9049072265625,2.9683024088541665,0.8728786998087906,0.9000455792968085,380.3417321684257,6473.234755447472,0.1,1.2451962043106057,0.08623965749216833,3.0,0.7161017433947747,637.0638754098171,46.347999947053665,methanation (xi2>0),0.8033116324690109,36.59086938403584,217.86438528140422,methanation (xi2>0),637.0638754098171,426.6897321154794,800.0,3.0,31.36813632383979,0.06751194212304752,31.435648265962836,0.0021476236644417013,12.48929294592019,4.947409785398044,7.404780644678873,2.680619791074422,10.085400435753296,10.133884276745507,12.716556694973166,10.711807595246883,2727.9745106713017,158.55532092126387,-524.4155875206844,2362.1142440718813,-1.1523357897555784e-15,-8.800849994403594e-16,-4.764994325038667e-16,1.427210550718767e-15
