case_id,value_type,stream,species,kmol_d,t_d
kin_tau1-3s_phi-0_T3-650,kinetic,stage1_out,H2,3490.366989121612,7.03657985006917
kin_tau1-3s_phi-0_T3-650,kinetic,stage1_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-650,kinetic,stage1_out,C(s),1745.183494560806,20.961398953169837
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_feed,H2,4740.366989121612,9.556579850069172
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_out,H2,4135.174833251501,8.336512463835026
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_out,CO,605.1921558701123,16.951432285921843
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_out,H2O,605.1921558701123,10.902536688000072
kin_tau1-3s_phi-0_T3-650,kinetic,stage2_out,CO2,349.15809067036815,15.366098412312233
kin_tau1-3s_phi-0_T3-650,kinetic,recovered_water,H2O,574.9325480766066,10.35740985360007
kin_tau1-3s_phi-0_T3-650,kinetic,membrane_permeate,H2,2687.8636416134755,5.418733101492767
kin_tau1-3s_phi-0_T3-650,kinetic,cfr_feed,H2,1447.311191638025,2.9177793623422583
kin_tau1-3s_phi-0_T3-650,kinetic,cfr_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-650,kinetic,cfr_feed,CO,605.1921558701123,16.951432285921843
kin_tau1-3s_phi-0_T3-650,kinetic,cfr_feed,CO2,349.15809067036815,15.366098412312233
kin_tau1-3s_phi-0_T3-650,kinetic,cfr_feed,H2O,30.259607793505666,0.5451268344000045
kin_tau1-3s_phi-0_T3-650,kinetic,stage3_out,H2,1441.2311007769802,2.905521899166392
kin_tau1-3s_phi-0_T3-650,kinetic,stage3_out,CH4,1248.737806073883,20.033500622843302
kin_tau1-3s_phi-0_T3-650,kinetic,stage3_out,CO,603.4234837610987,16.90189178014837
kin_tau1-3s_phi-0_T3-650,kinetic,stage3_out,CO2,348.9645720368678,15.357581850770515
kin_tau1-3s_phi-0_T3-650,kinetic,stage3_out,H2O,32.415317169520925,0.5839619388089196
kin_tau1-3s_phi-0_T3-800,kinetic,stage1_out,H2,3490.366989121612,7.03657985006917
kin_tau1-3s_phi-0_T3-800,kinetic,stage1_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-800,kinetic,stage1_out,C(s),1745.183494560806,20.961398953169837
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_feed,H2,4740.366989121612,9.556579850069172
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_feed,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_feed,CO2,954.3502465404804,42.0
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_out,H2,4135.174833251501,8.336512463835026
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_out,CH4,1246.7756153313662,20.002021196761106
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_out,CO,605.1921558701123,16.951432285921843
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_out,H2O,605.1921558701123,10.902536688000072
kin_tau1-3s_phi-0_T3-800,kinetic,stage2_out,CO2,349.15809067036815,15.366098412312233
