P1 recycle analysis summary (see P1_recycle_summary.md)
                                                                                                case  C_solid_tpd  C_from_CO2_tpd  S3_out_CO_kmol_d  S3_out_CO2_kmol_d  S3_out_CH4_kmol_d  S3_out_carbon_kmol_d  H2_surplus_kmol_d  H2_surplus_tpd                                                                          note  C_solid_extra_tpd  H2_required_for_methanation_kmol_d  H2_required_tpd  H2_returned_by_cracking_kmol_d  H2_remaining_kmol_d  H2_remaining_tpd  C_from_biogasCO2_tpd  C_from_DACCO2_tpd  H2_available_kmol_d  H2_required_kmol_d  water_tpd
0                         once-through design case (kinetic, tau1*=8.905 s, phi=0, h=0.35, T3=650 K)    31.368208        0.000000        668.535001         282.163654         383.987389           1334.686045        5790.105258       11.672852                                                            all values kinetic                NaN                                 NaN              NaN                             NaN                  NaN               NaN                   NaN                NaN                  NaN                 NaN        NaN
1                 Tier-1a single-pass bound: all S3-outlet carbon -> CH4 -> Stage 1 at X_CH4 = 0.873    45.361283       10.005570               NaN                NaN                NaN                   NaN                NaN             NaN  stoichiometric; S3-outlet carbon origin fractions from net-conversion tracer          13.993075                          3134.25962         6.318667                     2330.043333          4985.888970         10.051552                   NaN                NaN                  NaN                 NaN        NaN
2  Tier-1b full-recycle asymptote (p->0, r->1): all fresh carbon -> solid; CO2 + 2H2 -> C + 2H2O net    47.399122       11.462701               NaN                NaN                NaN                   NaN                NaN             NaN                                    stoichiometric asymptote, no reactor model                NaN                                 NaN              NaN                             NaN          5325.217727         10.735639              8.733486           2.729214           7233.91822         1908.700493  34.385239

===== Tier 2 EQUILIBRIUM =====
 T3_K  phi  h_H2_to_CFR  r_CH4  purge_p  converged  iterations       method  C_total_tpd  C_from_CO2_total_tpd  C_from_CO2_total_tpd_mixing_tracer_upper  fresh_CO2_carbon_fixed_fraction  purge_carbon_tpd  H2_net_exportable_tpd  water_total_tpd  Q1_kW  Q2_kW  Q3_kW  S1_inlet_CH4_ratio_vs_fresh  S2_inlet_ratio_vs_once  closure_C_rel
  550  NaN         0.35      0        1       True           1 once-through        36.03                 1.181                                     1.079                           0.1031             11.37                  7.571            30.74   3031 -196.4  -1553                            1                     NaN      2.305e-16
  550  NaN         0.35    0.9      0.2       True          22       direct        47.12                 11.21                                     11.21                           0.9776            0.2813                  10.64            34.22   4098 -224.3  -1787                        1.352                   1.315      3.122e-13
  550  NaN         0.35    0.9      0.1       True          19       direct        47.26                 11.33                                     11.33                           0.9887            0.1422                  10.69             34.3   4110 -213.5  -1798                        1.356                   1.328      6.125e-13
  550  NaN         0.35    0.9     0.05       True          20       direct        47.33                  11.4                                      11.4                           0.9943           0.07152                  10.71            34.34   4116 -208.2  -1803                        1.358                   1.335      2.838e-13
  550  NaN         0.35    0.9     0.02       True          20       direct        47.37                 11.44                                     11.44                           0.9977           0.02871                  10.73            34.37   4120 -205.2  -1806                        1.359                   1.339      2.828e-13
  550  NaN         0.35    0.9     0.01       True          19       direct        47.38                 11.45                                     11.45                           0.9989           0.01437                  10.73            34.38   4121 -204.1  -1807                         1.36                   1.341      2.652e-13
  550  NaN         0.35   0.95      0.2       True          21       direct        47.26                 11.34                                     11.34                           0.9893            0.1349                  10.69            34.22   4110   -288  -1726                        1.356                    1.32       2.74e-13
  550  NaN         0.35   0.95      0.1       True          19       direct        47.33                  11.4                                      11.4                           0.9946           0.06778                  10.71             34.3   4116 -285.5  -1728                        1.358                   1.332      1.507e-13
  550  NaN         0.35   0.95     0.05       True          19       direct        47.37                 11.43                                     11.43                           0.9973           0.03398                  10.72            34.34   4119 -284.6  -1729                        1.359                   1.339      1.756e-13
  550  NaN         0.35   0.95     0.02       True          19       direct        47.39                 11.45                                     11.45                           0.9989           0.01361                  10.73            34.37   4121 -284.1  -1730                         1.36                   1.343      1.699e-13
  550  NaN         0.35   0.95     0.01       True          18       direct        47.39                 11.46                                     11.46                           0.9995           0.00681                  10.73            34.38   4122   -284  -1730                         1.36                   1.345      1.597e-13
  550  NaN         0.35   0.99      0.2       True          21       direct        47.37                 11.44                                     11.44                           0.9979           0.02616                  10.73            34.22   4120   -336  -1680                        1.359                   1.324      1.261e-13
  550  NaN         0.35   0.99      0.1       True          18       direct        47.39                 11.45                                     11.45                            0.999           0.01309                  10.73            34.31   4121 -339.4  -1677                         1.36                   1.336      1.596e-13
  550  NaN         0.35   0.99     0.05       True          19       direct        47.39                 11.46                                     11.46                           0.9995          0.006544                  10.73            34.35   4122 -341.5  -1675                         1.36                   1.342      7.386e-14
