case,config,h_H2_to_CFR,item,name,kW,basis,source
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,A_upgrading_low,biogas CH4/CO2 separation (low: 0.2 kWh/Nm3),1016.0874468048938,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,A_upgrading_base,biogas CH4/CO2 separation (base: 0.25 kWh/Nm3),1270.1093085061173,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,A_upgrading_high,biogas CH4/CO2 separation (high: 0.45 kWh/Nm3),2286.196755311011,"raw biogas 121,930 Nm3/d",SGC 2013:270 p.28/34/52; Kamusoko & Mukumba 2026 Tab.3
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,B1_H2membrane_feed_compression,"H2 membrane, feed 1 atm -> 4 bar (whole Stage 2 stream)",795.2929522331791,"feed 13,225 kmol/d",T3 compression model; assumption 4 bar feed
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,B2_H2membrane_permeate_vacuum,"H2 membrane, permeate vacuum 0.25 bar -> 1 atm",117.32351478442084,"permeate 1,884 kmol/d",assumption 0.25 bar permeate
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,B_H2membrane_base,H2 membrane driving force (cheaper of B1/B2),117.32351478442084,B2,
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,C_CH4separation_base,CH4 separation at Stage 3 outlet (0.25 kWh/Nm3 feed),1912.6889827121138,"feed 8,192 kmol/d = 183,618 Nm3/d","assumption, same sources as A"
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,C_alt_feed_compression_4bar,CH4 separation alt.: feed 1 atm -> 4 bar,488.0716872050081,,T3 compression model
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,D_recycle_blower,"recycle blower, dP 0.3 bar",89.4402242080474,"7,784 kmol/d","assumption dP, eta 0.70"
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,D_feed_blower,"fresh biogas/CO2 blower, dP 0.3 bar",62.54179119572104,"5,440 kmol/d",assumption
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,E_condenser_fans,"air-cooled condensers, 1.5 % of 8,095 kW duty",121.42541614568007,"latent 1,926 + sensible 6,169 kW",assumption 1-2 % of duty
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,F_solids_handling,"solid carbon handling, 10.0 kWh/t",25.215963180319076,60.5 t/d,assumption 5-20 kWh/t
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.35,G_other,other (5 % of B-F),116.43179461131513,,assumption
