ISO_A3,Country or region,GHI_avg,PVOUT_min,PVOUT_p10,PVOUT_avg,PVOUT_p90,PVOUT_max,PVOUT_avg_kWh_kWp_yr,PVOUT_p90_kWh_kWp_yr,capacity_factor_avg,capacity_factor_p90,PV_MWp_for_5MW_cont_LHV_avg,PV_MWp_for_5MW_cont_LHV_p90site,PV_MWp_for_HHV_basis_avg,land_ha_at_1ha_per_MWp,land_ha_at_2ha_per_MWp
NAM,Namibia,6.4047,5.015,5.12,5.3791,5.584,5.74,1963.3715,2038.1599999999999,0.22412916666666668,0.23266666666666666,22.306093956238037,21.48759133237823,26.382896395307764,22.306093956238037,44.612187912476074
EGY,Arab Republic of Egypt,6.2591,4.737,4.884,5.2467,5.474,5.78,1915.0455,1998.01,0.2186125,0.22808333333333333,22.868986219909665,21.91938436244063,27.048666399832282,22.868986219909665,45.73797243981933
SAU,Saudi Arabia,6.208,4.51,4.902,5.1588,5.383,5.624,1882.962,1964.795,0.21495,0.22429166666666667,23.25864735985113,22.289933122793983,27.50954446770567,23.25864735985113,46.51729471970226
SDN,Sudan,6.3227,4.317,4.706,4.9432,5.196,5.52,1804.268,1896.54,0.20596666666666666,0.2165,24.273084236931545,23.09213048498846,28.709386227544915,24.273084236931545,48.54616847386309
ERI,Eritrea,6.0715,4.148,4.501,4.8948,5.145,5.389,1786.602,1877.925,0.20395,0.21437499999999998,24.513097572934548,23.32103206997085,28.99326591484841,24.513097572934548,49.026195145869096
TCD,Chad,6.2617,4.582,4.636,4.8374,5.161,5.541,1765.6509999999998,1883.7649999999999,0.2015583333333333,0.21504166666666666,24.80396700706992,23.248732803720216,29.33729648158102,24.80396700706992,49.60793401413984
NER,Niger,6.2647,4.52,4.675,4.837,5.066,5.321,1765.5049999999999,1849.09,0.20154166666666665,0.21108333333333332,24.8060181930949,23.684703908409006,29.339722555302878,24.8060181930949,49.6120363861898
DJI,Djibouti,6.0575,4.425,4.558,4.7972,4.971,5.095,1750.978,1814.415,0.19988333333333333,0.207125,25.0118214791962,24.13733856366929,29.583139748186444,25.0118214791962,50.0236429583924
SOM,Somalia,6.0283,4.195,4.324,4.7617,5.25,5.44,1738.0205,1916.25,0.1984041666666667,0.21875,25.198292626582944,22.85461142857143,29.803691538736167,25.198292626582944,50.39658525316589
MRT,Mauritania,6.0378,4.583,4.629,4.7491,4.938,5.289,1733.4215000000002,1802.37,0.1978791666666667,0.20575,25.265147080499464,24.298645200486032,29.882764734370724,25.265147080499464,50.53029416099893
AUS,Australia,5.7587,3.694,4.264,4.7071,5.161,5.307,1718.0914999999998,1883.7649999999999,0.19612916666666666,0.21504166666666666,25.490580187376523,23.248732803720216,30.14939941790062,25.490580187376523,50.981160374753046
ETH,Ethiopia,5.8501,3.982,4.298,4.6954,5.026,5.351,1713.8210000000001,1834.49,0.19564166666666669,0.20941666666666667,25.55409762746518,23.87320135296459,30.22452570601014,25.55409762746518,51.10819525493036
MLI,Mali,6.0178,4.48,4.55,4.6763,4.813,5.066,1706.8495,1756.745,0.19484583333333336,0.20054166666666665,25.658471441096598,24.929713276542703,30.34797553621453,25.658471441096598,51.316942882193196
KEN,Kenya,5.78,4.042,4.187,4.5042,4.918,5.152,1644.033,1795.0700000000002,0.187675,0.20491666666666666,26.63885040628747,24.39746034973567,31.50753474534879,26.63885040628747,53.27770081257494
JPN,Japan,3.6144,2.809,3.053,3.4456,3.801,4.108,1257.644,1387.365,0.14356666666666668,0.15837500000000002,34.82316867889483,31.567142857142862,41.187670652426284,34.82316867889483,69.64633735778966
DEU,Germany,2.9777,2.749,2.8,2.9608,3.169,3.326,1080.692,1156.685,0.12336666666666667,0.13204166666666667,40.52509794650095,37.862641211738726,47.9317204809511,40.52509794650095,81.0501958930019
