case,value_type,mode,P1_bar,P2_bar,P3_bar,phi,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_inlet_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,S2_inlet_total_kmol_d,recycle_to_S2_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_formed_kmol_d,S3_CH4_formed_kmol_d,S3_COx_conversion,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,purge_carbon_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,W_S1out_to_S2_kW,n_st_S1out,W_freshCO2_kW,W_solarH2_kW,W_freshCH4_to_S1_kW,W_compression_total_kW,W_compression_excl_solarH2_kW,W_compression_share_of_5MW,wall_s
eq uniform 1 atm,equilibrium,equilibrium,1.01325,1.01325,1.01325,,0.05,0.95,0.35,True,29,direct,4065.520748011067,1.3588156116737822,0.9698161069695568,10868.732677222579,656.0662909287416,0.8524659898392344,238.56753945670818,715.1060173901451,0.9807775043539648,47.35676702556496,0.0,47.35676702556496,11.423283218496147,0.9965612299098782,11.424008309920795,0.042354656817626374,0.15518991690008482,10.72701659575551,34.31997129962909,4118.483245156893,-283.26231350248094,-1755.28790723315,2079.9330244212615,4.7893034393084424e-11,-8.836581445380872e-11,8.845675902572719e-11,4.243511096312257,1,0.5054785633026356,0.6623649195128956,1.5848090136837572,6.996163592811545,6.3337986732986495,0.0013992327185623089,7.392631769180298
eq uniform 1 bar,equilibrium,equilibrium,1.0,1.0,1.0,,0.05,0.95,0.35,True,29,direct,4063.865780416937,1.3582624732339357,0.970193361945334,10857.942340603016,647.0026151346606,0.8519240451916971,234.4059672320746,719.1913337237153,0.9788574942012984,47.355907381879604,0.0,47.355907381879604,11.422385667075872,0.9964829279952545,11.423180285253302,0.04321430206566914,0.15833970690267532,10.727335568406861,34.31713458423209,4118.407819577194,-272.1772921438125,-1765.9730834594486,2080.257443973933,8.086159180514948e-11,-1.2989715130382778e-10,1.519260069358097e-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.309804916381836
eq uniform 2 bar,equilibrium,equilibrium,2.0,2.0,2.0,,0.05,0.95,0.35,True,25,direct,4182.015629265059,1.3977515987562361,0.9428997971120636,11635.814857785046,1306.2571191803945,0.8842009212051248,474.42502581223204,479.969280330488,0.9997092486467763,47.361420138235324,0.0,47.361420138235324,11.430713298546603,0.9972094261921365,11.430724657485461,0.03770154189938515,0.1381406342061478,10.723037750180723,34.355374544646004,4118.938914681203,-888.1037609520495,-1167.5808547414551,2063.2542989876983,4.685397321146182e-13,-2.363940997368213e-10,6.036533060675236e-12,250.20292813962416,1,28.712809595296644,38.52104464321329,90.31192934587592,407.74871172401004,369.2276670807968,0.081549742344802,6.532240152359009
eq uniform 5 bar,equilibrium,equilibrium,5.0,5.0,5.0,,0.05,0.95,0.35,True,23,direct,4515.796592643088,1.509310931995272,0.8730368214743098,12778.64373461498,2116.150035706689,0.9413596469352,747.8775369785634,206.63015543363508,0.9999899063853749,47.35095264079326,0.0,47.35095264079326,11.428249614823395,0.9969944957177407,11.428248792840154,0.04816903932066535,0.17649415131655663,10.719469938970944,34.36966809794514,4118.19397732778,-1576.2593714423995,-498.8089047169774,2043.1257011684033,3.00759641126206e-14,-9.3264681876765e-10,1.739270578582364e-11,614.1017435355793,2,67.51500202902557,90.94006166111424,212.47373085686365,985.0305380825828,894.0904764214686,0.19700610761651655,6.062255859375
eq uniform 10 bar,equilibrium,equilibrium,10.0,10.0,10.0,,0.05,0.95,0.35,True,21,direct,5022.95117750883,1.6788167862661283,0.7846716969296252,13640.333801552046,2471.979768169781,0.9715959105352268,860.3107661291326,94.44246399792405,0.9999973759956333,47.33492235248705,0.0,47.33492235248705,11.424381506247313,0.9966570439566074,11.424380221029534,0.06419932761053103,0.23523005651584883,10.714088080486286,34.37572251010689,4117.098829013221,-1856.2691148309946,-227.11892218388346,2033.7107919983428,-3.1481813776122403e-13,-3.1004298195827414e-09,3.768050299868264e-11,924.719223804565,3,96.18648434770743,129.38674217714924,302.64973217917105,1452.9421825085926,1323.5554403314434,0.2905884365017185,5.565803050994873
eq uniform 20 bar,equilibrium,equilibrium,20.0,20.0,20.0,,0.05,0.95,0.35,True,22,direct,5907.929570579303,1.974602377100078,0.6668511091366087,14717.555017935316,2666.481237210375,0.9866906171272821,912.1130657290187,43.31081892132761,0.9999985717723417,47.30694659424372,0.0,47.30694659424372,11.417629579865574,0.996068009444327,11.417627786466277,0.09217507115353633,0.33773480196453093,10.704697059304614,34.37853924688097,4115.323606933899,-1983.9304960577876,-103.62169949333014,2027.7714113827815,-3.104540116582617e-10,-3.821214656520113e-09,2.333870395432314e-11,1362.808060494889,3,128.4680672227535,174.25969833350942,404.68191988351055,2070.2177459346626,1895.958047601153,0.41404354918693254,5.841292142868042
"eq split S1=1 bar, S2=S3=1 bar",equilibrium,equilibrium,1.0,1.0,1.0,,0.05,0.95,0.35,True,29,direct,4063.865780416937,1.3582624732339357,0.970193361945334,10857.942340603016,647.0026151346606,0.8519240451916971,234.4059672320746,719.1913337237153,0.9788574942012984,47.355907381879604,0.0,47.355907381879604,11.422385667075872,0.9964829279952545,11.423180285253302,0.04321430206566914,0.15833970690267532,10.727335568406861,34.31713458423209,4118.407819577194,-272.1772921438125,-1765.9730834594486,2080.257443973933,8.086159180514948e-11,-1.2989715130382778e-10,1.519260069358097e-10,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.310801982879639
"eq split S1=1 bar, S2=S3=5 bar",equilibrium,equilibrium,1.0,5.0,5.0,,0.05,0.95,0.35,True,21,direct,4064.664452281356,1.3585294126656204,0.9701933619453342,12492.64443242611,2280.131171291891,0.9578241332417564,810.5972271083937,143.77704193369698,0.9999959290200808,47.365214242116515,0.0,47.365214242116515,11.431691606267,0.9972947732439797,11.431691635118625,0.03390743799670609,0.12423881765024049,10.724256752768174,34.373038788530394,4119.217210592899,-1732.9806461995595,-346.5195181064881,2039.7170462868519,1.5095598845798078e-14,-1.9640977629881852e-09,2.8651077002450623e-11,582.3433434001099,2,67.51500202902557,90.94006166111424,0.0,740.7984070902497,649.8583454291355,0.14815968141804994,5.572468996047974
"eq split S1=1 bar, S2=S3=10 bar",equilibrium,equilibrium,1.0,10.0,10.0,,0.05,0.95,0.35,True,19,direct,4064.6644918124466,1.358529425878064,0.970193361945334,12787.9327847309,2575.4194457129006,0.9863188305527072,909.9909163791285,44.383391119799626,0.9999990722897295,47.365214702769194,0.0,47.365214702769194,11.431692038712718,0.997294810970317,11.43169205639669,0.03390697734386275,0.12423712979152908,10.724256670898612,34.37846884891646,4119.217250654546,-1980.137838958376,-106.6383644087032,2032.4410472874665,1.17538250555069e-14,-3.650781921679919e-09,2.2987285622851536e-11,828.558496636848,3,96.18648434770743,129.38674217714924,0.0,1054.1317231617045,924.7449809845552,0.2108263446323409,5.04294490814209
"eq split S1=1 bar, S2=S3=20 bar",equilibrium,equilibrium,1.0,20.0,20.0,,0.05,0.95,0.35,True,19,direct,4064.664496841927,1.3585294275590631,0.9701933619453342,12885.036213656434,2672.522864729401,0.9962870625610717,942.4918370036238,11.88247538812766,0.9999994947866961,47.36521476137734,0.0,47.36521476137734,11.43169209052893,0.9972948154907362,11.431692109995257,0.03390691873539043,0.12423691504669032,10.724256702308965,34.38027084960679,4119.217255751529,-2060.7026909071633,-28.475009341957392,2030.039555502408,4.8398103169734294e-15,-1.787829184516702e-09,3.43079591402784e-12,1115.75975794018,3,128.4680672227535,174.25969833350942,0.0,1418.487523496443,1244.2278251629334,0.28369750469928856,5.067687273025513
