case,value_type,mode,P1_bar,P2_bar,P3_bar,phi,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_inlet_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,S2_inlet_total_kmol_d,recycle_to_S2_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_formed_kmol_d,S3_CH4_formed_kmol_d,S3_COx_conversion,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,purge_carbon_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,W_S1out_to_S2_kW,n_st_S1out,W_freshCO2_kW,W_solarH2_kW,W_freshCH4_to_S1_kW,W_compression_total_kW,W_compression_excl_solarH2_kW,W_compression_share_of_5MW,wall_s
"kin once-through (1,1,1) bar phi=0",kinetic,kinetic,1.0,1.0,1.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7006887668325084,0.0,3.570624460385602,0.00374141933040939,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931918,58.71048051903986,11.681362353302264,12.090765287487093,2728.6383640944473,272.97247652093074,-8.711034866976561,2992.8998057484014,-6.914014738533471e-16,1.5087171418977588e-15,-5.956242906298334e-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106071949005127
"kin recycle (1,1,1) bar phi=0",kinetic,kinetic,1.0,1.0,1.0,0.0,0.05,0.95,0.35,True,301,direct,3447.8124149357013,1.1523594702669469,0.8730911863828246,29372.452101415824,20710.034808158,0.23312807522072243,0.0,19.495135658272773,0.0016036065865246973,36.15616838232929,0.12260706539016841,36.27877544771946,0.35605949231714656,0.03106244315208144,3.5074850195394838,11.120344136562393,40.74558530563437,12.866620705828115,15.296345832372161,3144.3722597979468,334.53560363330416,-65.33498113514088,3413.57288229611,-4.421665570718613e-08,2.1418628631380026e-11,-1.0422979975989696e-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.68378615379333
"kin once-through (1,1,1) bar phi=0.1",kinetic,kinetic,1.0,1.0,1.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.713052487522663,44.47665637621054,3.332236260387731,0.003662306826364925,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.0233493493192,58.71048051903995,11.390153147920904,13.096848261317973,2728.6383640944473,162.22953802420156,-8.135679558409585,2882.7322225602393,-2.3046715795111567e-16,1.257264284914799e-16,-5.956242906298334e-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31684303283691406
"kin recycle (1,1,1) bar phi=0.1",kinetic,kinetic,1.0,1.0,1.0,0.1,0.05,0.95,0.35,True,306,direct,3458.9752911417772,1.156090429078907,0.8730911863828246,29207.129890091288,20523.803511797192,0.23429850418046094,9.69196479899938,19.578755484251815,0.0016130542806922499,36.27323009658886,0.11999824167518962,36.39322833826405,0.47051238074338775,0.041047253042123595,3.5893617366160058,11.005891219225656,40.32622318432286,12.845710691991462,15.482121958016984,3154.552697147113,309.66160183116205,-65.20730639356825,3399.006992584707,-4.478190141774788e-08,6.328867247975512e-11,-1.0564374487768192e-07,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.32231283187866
"kin once-through (1,1,1) bar phi=1",kinetic,kinetic,1.0,1.0,1.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.7214919754372979,185.73257196842235,2.559127049601557,0.0033295188677850973,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319208,58.71048051903997,10.52451577348629,15.764677667799425,2728.6383640944473,-201.49475051924423,-6.228840498953219,2520.9147730762497,-1.1523357897555784e-16,0.0,-7.147491487558001e-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.34506988525390625
"kin recycle (1,1,1) bar phi=1",kinetic,kinetic,1.0,1.0,1.0,1.0,0.05,0.95,0.35,True,375,direct,3577.3712705466705,1.1956618186120882,0.8730911863828237,27456.721552018986,18551.628708198405,0.2480414794689194,112.36959642363087,20.583176592289874,0.0017230180675328333,37.514813005395176,0.09022679810434311,37.605039803499515,1.682323831277189,0.14676504769571905,4.456261157126503,9.794080017197558,35.88607671941116,12.623444863697792,17.456881487897334,3262.5287087478814,46.3173640713501,-63.876877669717295,3244.9691951495142,-3.922890045517335e-08,4.4232720037872686e-10,-9.336772704591568e-08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,98.664968252182
"kin once-through (1,5,5) bar phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055242606889389,0.0,137.06783671666915,0.14362424823961395,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931923,58.710480519040054,10.42831590520829,18.24434588315267,2728.6383640944473,313.8140109366329,-293.3600666324912,2749.092308398589,3.4570073692667354e-16,1.8858964273721986e-15,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.43140673637390137
"kin recycle (1,5,5) bar phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,314,direct,3570.344811533202,1.193313371071399,0.8730911863828241,26606.688490225944,17714.756844854983,0.27221969278640323,-1.1368683772161603e-13,126.79954363841568,0.01036504111054748,37.44112865002767,0.46226920286495554,37.90339785289263,1.9806818870638188,0.172793647822416,4.669698995885377,9.495722098349002,34.79287601583892,12.53726361267838,18.22039310912847,3256.1206446922924,333.3233236141148,-368.1179909648641,3221.3259773415434,-3.647474485956845e-08,-4.580276653158859e-11,-8.734300962254339e-08,485.5512601097068,2,67.51500202902557,90.94006166111424,0.0,644.0063237998465,553.0662621387323,0.1288012647599693,84.82162404060364
"kin once-through (1,5,5) bar phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8438311519567141,565.1190403089155,67.55081535043598,0.17354933075496437,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319183,58.710480519039876,7.4740753465194345,26.87466726755206,2728.6383640944473,-1139.5587910162205,-142.89106718785692,1446.18850589037,-6.914014738533471e-16,-3.771792854744397e-16,3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.4420759677886963
"kin recycle (1,5,5) bar phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,26,direct,4503.431494592018,1.5051781555779111,0.8730911863828243,13359.492515485434,2719.8044279458145,0.922007962796572,884.1196034692496,59.80519166103795,0.2228923609543333,47.22612712669593,0.0,47.22612712669593,11.303411172482603,0.9861036555573799,11.338944862015518,0.1729945617928353,0.6338620989044117,10.7426030061538,34.17043872476867,4107.086860106811,-1930.8952136467822,-126.63214996346491,2049.559496496564,1.767176073737565e-10,-2.5331323094534827e-10,2.7142634661458947e-10,612.4469630925898,2,67.51500202902557,90.94006166111424,0.0,770.9020267827296,679.9619651216154,0.15418040535654592,8.48747205734253
