stage,feed,P_bar,P_label,X_CH4,C_solid_tpd,H2_out_kmol_d,Q_kW,X_CO2,xi1_CO_kmol_d,xi2_CH4_formed_kmol_d,H2O_out_kmol_d,CH4_formed_kmol_d,COx_conversion
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),1.01325,1 atm,0.9698161069695571,34.85150348488499,5803.281028408566,3030.936066508513,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),1.01325,1 atm,,,,-196.44502096811826,0.8137181690916715,578.9535359728807,197.61443469758933,974.1904695478596,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),1.01325,1 atm,,,,217.85633269576073,0.8033117407895152,730.0381154910558,36.59398500261915,803.2430720509735,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,1.01325,1 atm,,1.4760297024500493,,-1478.505597373587,,,,755.8851053972386,519.0036475437762,0.8482511306752447
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),1.01325,1 atm,,4.164617405695324,,-1595.8058540319284,,,,930.674339835254,435.984299830963,0.820167093835687
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),1.0,1 bar,0.9701933619453345,34.86506350214343,5805.538751031466,3032.1148531561275,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),1.0,1 bar,,,,-187.11022360478225,0.8136447359227632,582.4872701905517,194.01071775259993,970.5165752441375,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),1.0,1 bar,,,,229.17409710285787,0.8035447438187355,734.5815704954124,32.27307209306292,799.1443522184387,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,1.0,1 bar,,1.483654953371175,,-1477.7229588492494,,,,755.7509714487923,518.293554053636,0.8481516081322773
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),1.0,1 bar,,4.172194632235164,,-1594.9633116529078,,,,930.4861872004133,435.2487266823766,0.8200572947841469
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),2.0,2 bar,0.9428997971121206,33.88400355283626,5642.194567683284,2946.831839324384,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),2.0,2 bar,,,,-714.2922346020428,0.8277596478198147,390.93770164974427,399.02291770492707,1189.007193959405,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),2.0,2 bar,,,,-388.04384567156757,0.8028658573157932,496.477672367203,269.7157910510789,1035.9523509958,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,2.0,2 bar,,1.137422515976795,,-1513.0288472356317,,,,761.6593009467314,550.4304226924842,0.8525326319203803
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),2.0,2 bar,,3.8271937995817575,,-1632.9993258958516,,,,938.7938010350713,468.5913865447019,0.824901841190418
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),5.0,5 bar,0.8730368214961344,31.372563226283404,5224.055091624856,2728.52590551809,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),5.0,5 bar,,,,-1374.0654881112603,0.8804835666714363,179.41198169158704,660.846220721361,1501.1670176493221,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),5.0,5 bar,,,,-1137.4107841315674,0.8439963391864167,241.14124573242088,564.273893635969,1369.794450410284,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,5.0,5 bar,,0.8201140508653572,,-1544.9479517879897,,,,766.7225505889107,579.6792028773882,0.8562855753789864
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),5.0,5 bar,,3.509189411271955,,-1667.4352712653806,,,,945.9483229483149,499.03762080042884,0.8290712706908296
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),10.0,10 bar,0.784671696974758,28.195406873729944,4695.102790380185,2452.381262166929,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),10.0,10 bar,,,,-1737.8205667239145,0.9314621183507463,80.41439550126495,808.4769972591353,1697.4673941434023,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),10.0,10 bar,,,,-1565.5605835771678,0.8961889470147858,118.33384618641914,736.8600040821632,1592.2218804854738,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,10.0,10 bar,,0.6558368308637555,,-1561.2284726198689,,,,769.1372474458558,594.704275320564,0.8580806956354422
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),10.0,10 bar,,3.343586916755832,,-1685.0130362863501,,,,949.3766012069046,514.7263579371128,0.831074008732091
Stage 1 pyrolysis 1200 K,fresh CH4 (same for both chains),20.0,20 bar,0.6668511090989484,23.957707708217605,3989.646272282146,2084.1277486427207,,,,,,
Stage 2 RWGS 950 K,Feed A (eq chain),20.0,20 bar,,,,-1954.1581829138102,0.9710654471446237,29.005276409165628,897.666817294692,1824.467449581241,,
Stage 2 RWGS 950 K,kinetic design case (tau1*=8.905 s),20.0,20 bar,,,,-1851.5931993821869,0.946515119231379,48.723469648923256,854.4684278633438,1757.88986460013,,
Stage 3 methanation/CFR 650 K,Feed A chain CFR feed,20.0,20 bar,,0.5363267732142786,,-1572.8058196859956,,,,770.6568732874598,605.5041491865736,0.8592235554447717
Stage 3 methanation/CFR 650 K,kinetic design case CFR feed (phi=0),20.0,20 bar,,3.2221668404552,,-1697.5088840363258,,,,951.5486752586071,526.044260890697,0.8323557480106603
