case,value_type,mode,P1_bar,P2_bar,P3_bar,phi,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_inlet_CH4_kmol_d,S1_inlet_CH4_ratio_vs_fresh,S1_X_CH4,S2_inlet_total_kmol_d,recycle_to_S2_total_kmol_d,S2_X_CO2_per_pass,S2_xi2_CH4_formed_kmol_d,S3_CH4_formed_kmol_d,S3_COx_conversion,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_CO2_total_tpd,fresh_CO2_carbon_fixed_fraction,C_from_CO2_total_tpd_mixing_tracer_upper,purge_carbon_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,W_S1out_to_S2_kW,n_st_S1out,W_freshCO2_kW,W_solarH2_kW,W_freshCH4_to_S1_kW,W_compression_total_kW,W_compression_excl_solarH2_kW,W_compression_share_of_5MW,pressure_order_n,variant,factor_meth_at_P2,factor_rwgs_at_P2,wall_s
"kin once-through (1,5,5) n=0.5 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055242606889389,0.0,16.344843005229336,0.0171266713289826,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319165,58.71048051903981,11.403486746263019,14.098081540804795,2728.6383640944473,313.8140109366329,-41.330194171036965,3001.122180860043,-1.0371022107800206e-15,0.0,-7.147491487558001e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V1,0.0007592061830132707,1.0,0.4126291275024414
"kin recycle (1,5,5) n=0.5 V1 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,292,direct,3538.3133557355036,1.182607524293014,0.8730911863828239,27172.1323524823,18340.198544652998,0.26815636799188514,0.0,98.74886905795375,0.00841904224785106,37.105224438900784,0.47786052184564104,37.583084960746426,1.6603689986297028,0.14484971962346935,4.440555215231676,9.816034807488052,35.96652034324716,12.605536860991194,17.615855630963107,3226.9082604526793,342.7913446914447,-312.42661784865766,3257.272987295466,-4.033572681711696e-08,1.095224292082125e-10,-9.572337787303317e-08,481.19512238444366,2,67.51500202902557,90.94006166111424,0.0,639.6501860745834,548.7101244134692,0.1279300372149167,0.5,V1,0.0007592061830132707,1.0,108.18807339668274
"kin once-through (1,5,5) n=0.5 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8055211845851812,10.778045469762446,16.059765278054954,0.017020176367882667,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931921,58.710480519039976,11.340036127413256,14.286789101698835,2728.6383640944473,285.80921836014926,-40.60865598236225,2973.8389264722346,0.0,-1.1315378564233193e-15,-3.5737457437790004e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V1,0.0007592061830132707,1.0,0.4115738868713379
"kin recycle (1,5,5) n=0.5 V1 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,294,direct,3543.813274489198,1.1844457575547958,0.8730911863828242,27100.37005091452,18258.134393741875,0.26832152811007726,4.570872425309233,98.99440061136835,0.008440724977798797,37.16290042721323,0.4706174091770127,37.63351783639025,1.7108018735971173,0.14924945715462323,4.476633625054534,9.765601935701495,35.78173137859355,12.596813279314356,17.693293801651336,3231.924134252924,330.9497918499275,-312.10721144216467,3250.766714660687,-4.025434851794368e-08,1.2767468522738388e-10,-9.554921983207502e-08,481.9430872512335,2,67.51500202902557,90.94006166111424,0.0,640.3981509413733,549.4580892802591,0.12807963018827465,0.5,V1,0.0007592061830132707,1.0,108.92437887191772
"kin once-through (1,5,5) n=0.5 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.8068015627775601,99.86315041512796,13.780018982097943,0.016126655445803717,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319194,58.71048051903992,10.81261719407562,15.870219514907943,2728.6383640944473,54.846473094797844,-34.839413829546686,2748.6454233596987,-4.6093431590223135e-16,3.771792854744397e-16,1.0721237231337001e-15,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V1,0.0007592061830132707,1.0,0.41610217094421387
"kin recycle (1,5,5) n=0.5 V1 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,0.05,0.95,0.35,True,318,direct,3598.909014665874,1.2028603608809294,0.8730911863828239,26383.959332181323,17438.524329676486,0.2704983420869529,50.25760942425825,101.5562568612105,0.00866690237008938,37.74067282873598,0.3963613352534066,38.137034163989384,2.2143181961051774,0.1931759567467773,4.83683653213633,9.262085781485492,33.93681901235493,12.509184816088865,18.47117654328385,3282.170927348201,212.6981016038146,-308.94585088170936,3185.923178070306,-3.6596408702718e-08,2.8986592695353317e-10,-8.708097317374572e-08,489.43586665535474,2,67.51500202902557,90.94006166111424,0.0,647.8909303454946,556.9508686843803,0.1295781860690989,0.5,V1,0.0007592061830132707,1.0,119.18220281600952
"kin once-through (1,5,5) n=0.5 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.4828221191023101,0.0,1.4310792087148911,0.001499532497533096,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319183,58.710480519039876,12.113776910613828,8.315219486952662,2728.6383640944473,188.0965641367944,-3.3549839615535735,2913.379944269688,-6.914014738533471e-16,-8.800849994403594e-16,-5.956242906298334e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V2,0.0007592061830132707,0.09122626874768583,0.4034461975097656
"kin recycle (1,5,5) n=0.5 V2 phi=0",kinetic,kinetic,1.0,5.0,5.0,0.0,0.05,0.95,0.35,True,301,direct,3435.985288158566,1.148406499540164,0.8730911863828242,29810.72823404579,21170.464227714456,0.17629348917462073,0.0,9.1378517479219,0.00048314212622491137,36.03214087277542,0.0,36.03214087277542,0.10942492032292016,0.009546172592764954,3.3310488525034216,11.366978639416581,41.649268415792555,13.000820004551302,14.099293994843123,3133.5860322207022,315.7938019542779,-23.153272544250488,3426.22656163073,-4.573756690593008e-08,7.927051316387808e-12,-1.0984436576999694e-07,467.2789532805294,2,67.51500202902557,90.94006166111424,0.0,625.7340169706691,534.7939553095549,0.12514680339413384,0.5,V2,0.0007592061830132707,0.09122626874768583,109.23410987854004
"kin once-through (1,5,5) n=0.5 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.5055799712543247,35.37467319110044,1.35096145386143,0.0014700733001410393,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.023349349319183,58.710480519039876,11.85662771305976,9.338989409456536,2728.6383640944473,105.05178116198469,-3.1734226158417598,2830.51672264059,-6.914014738533471e-16,-1.6344435703892389e-15,-9.529988650077333e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V2,0.0007592061830132707,0.09122626874768583,0.40026187896728516
"kin recycle (1,5,5) n=0.5 V2 phi=0.1",kinetic,kinetic,1.0,5.0,5.0,0.1,0.05,0.95,0.35,True,305,direct,3443.4168887121623,1.150890357200192,0.8730911863828241,29697.65788690459,21043.473815075595,0.17746873172348698,6.55240288800934,9.093470513907903,0.00048412844365863794,36.110073825218585,0.0,36.110073825218585,0.18735787121668893,0.016345002308152574,3.386800125081221,11.289045716454117,41.36371767008819,12.985242800851049,14.237771985574646,3140.3635815228063,299.2507738213151,-23.040689821749087,3416.5736655223723,-4.511559965555562e-08,3.6098194969188235e-11,-1.084778773749425e-07,468.2896184134254,2,67.51500202902557,90.94006166111424,0.0,626.7446821035652,535.804620442451,0.12534893642071304,0.5,V2,0.0007592061830132707,0.09122626874768583,110.6733980178833
"kin once-through (1,5,5) n=0.5 V2 phi=1",kinetic,kinetic,1.0,5.0,5.0,1.0,1.0,0.0,0.35,True,1,once-through,2991.959109892165,1.0,0.8730911863828243,7808.562485297292,0.0,0.6420899321036488,257.0633408176002,0.8989697598119619,0.001289239411257026,31.375772330793286,0.0,31.375772330793286,0.0,0.0,0.0,16.02334934931921,58.710480519039976,10.256453123812864,15.651792613992862,2728.6383640944473,-417.7600981749778,-2.1391525759110626,2308.7391133435585,0.0,3.771792854744397e-16,8.338740068817667e-16,406.89333739197235,2,67.51500202902557,90.94006166111424,0.0,565.3484010821121,474.4083394209979,0.11306968021642243,0.5,V2,0.0007592061830132707,0.09122626874768583,0.39392995834350586
