case,config,y_CH4_biogas,h_H2_to_CFR,recycle,dTmin_K,Q1_kW,Q2_kW,Q3_kW,reaction_demand_Q1_plus_Q2pos_kW,exothermic_pool_kW,hot_streams_total_kW,cold_streams_total_kW,Q_H_min_kW,Q_C_min_kW,process_heat_recovered_kW,pinch_T_shifted_K,area_target_m2_U50,hot_utility_without_integration_kW,equivalent_recovery_fraction_F1b_convention,share_of_Q1_covered_by_process_heat
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,True,20.0,3052.894142247264,1532.5621609990835,-3863.551552537045,4585.4563032463475,3863.551552537045,12556.038171244898,11719.974424936912,4749.480133367957,5585.5438796759445,6970.494291568955,640.0,2709.024721823482,11719.974424936912,-0.04245415853553226,0.0
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,True,30.0,3052.894142247264,1532.5621609990835,-3863.551552537045,4585.4563032463475,3863.551552537045,12556.038171244898,11719.974424936912,4878.502978466419,5714.566724774409,6841.471446470493,635.0,1921.0294432071032,11719.974424936912,-0.07584903973330948,0.0
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,True,20.0,3097.646934250734,1382.1426088627738,-3872.257188987023,4479.7895431135075,3872.257188987023,11855.29727124247,10625.475037756423,4588.820596720553,5818.6428302066015,6036.65444103587,640.0,2480.2911476867853,10625.475037756423,-0.028156976224910295,0.0
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,True,30.0,3097.646934250734,1382.1426088627738,-3872.257188987023,4479.7895431135075,3872.257188987023,11855.29727124247,10625.475037756423,4697.1876865457025,5927.009920031751,5928.287351210721,635.0,1724.204861431203,10625.475037756423,-0.0561424855896687,0.0
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,True,20.0,3604.098297741658,912.1499595644888,-4074.208496623253,4516.248257306147,4074.208496623253,11232.038740079457,9383.501202909669,4566.022448908663,6414.559986078452,4817.478754001006,940.0,1842.4278928695198,9383.501202909669,-0.012216898483170287,0.0
2b_y0.55 eq recycle h=0.75,2b_y0.55,0.55,0.75,True,30.0,3604.098297741658,912.1499595644888,-4074.208496623253,4516.248257306147,4074.208496623253,11232.038740079457,9383.501202909669,4622.553778896001,6471.0913160657865,4760.947424013668,935.0,1433.8318085802953,9383.501202909669,-0.026092312575058705,0.0
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,True,20.0,3094.326520805335,1127.7220157491217,-3197.2309814347586,4222.048536554456,3197.2309814347586,9807.501968600978,9185.363502347613,4288.927849896131,4911.066316149495,4896.4356524514815,940.0,2044.9822387831848,9185.363502347613,-0.020917886048903062,0.0
2b_y0.60 eq recycle h=0.35,2b_y0.60,0.6,0.35,True,30.0,3094.326520805335,1127.7220157491217,-3197.2309814347586,4222.048536554456,3197.2309814347586,9807.501968600978,9185.363502347613,4349.50060735354,4971.6390736069025,4835.862894994073,935.0,1551.843541680618,9185.363502347613,-0.039863266538812614,0.0
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,True,20.0,3275.2825049817966,842.1915835563433,-3170.825900152088,4117.47408853814,3170.825900152088,9363.154385346897,8448.530665387996,4163.551402335632,5078.175122294535,4284.979263052364,940.0,1666.0117088570257,8448.530665387996,-0.014531644198844831,0.0
2b_y0.60 eq recycle h=0.5,2b_y0.60,0.6,0.5,True,30.0,3275.2825049817966,842.1915835563433,-3170.825900152088,4117.47408853814,3170.825900152088,9363.154385346897,8448.530665387996,4215.3522513466805,5129.975971305585,4233.178414041316,935.0,1290.064833154714,8448.530665387996,-0.030868349726752915,0.0
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,True,20.0,4968.097124845858,285.37850772139655,-4284.603583076706,5253.475632567255,4284.603583076706,11400.53485875671,10421.798701026935,5281.671847833779,6260.408005563549,5140.126853193156,940.0,1857.600424691195,10421.798701026935,-0.00658082240744346,0.0
2b_y0.60 eq recycle h=0.75,2b_y0.60,0.6,0.75,True,30.0,4968.097124845858,285.37850772139655,-4284.603583076706,5253.475632567255,4284.603583076706,11400.53485875671,10421.798701026935,5339.418304555819,6318.154462285594,5082.380396471116,935.0,1481.7512549681603,10421.798701026935,-0.02005848856776852,0.0
2b_y0.65 eq recycle h=0.35,2b_y0.65,0.65,0.35,True,20.0,3226.425522580808,612.3895291764026,-2488.5916008039194,3838.8150517572103,2488.5916008039194,7819.964147440353,7591.174566196004,3873.074322362547,4101.863903606896,3718.100243833457,940.0,1404.304700489734,7591.174566196004,-0.013766529869452792,0.0
