case,config,y_CH4_biogas,h_H2_to_CFR,dTmin_K,CO2_carbon_fixed_fraction,C_total_tpd,Q_H_min_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,boundary,power_source,aux_power_kW,H2_for_aux_tpd,H2_net_final_tpd,self_sufficient,bottoming_heat_source_650K_kW,bottoming_power_eta0.20_kW,aux_residual_eta0.20_kW,H2_net_final_with_bottoming_eta0.20_tpd,bottoming_power_eta0.25_kW,aux_residual_eta0.25_kW,H2_net_final_with_bottoming_eta0.25_tpd
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,20.0,0.8383980770666222,60.51831163276578,4749.480133367957,3.80683372648612,4.0246989337204635,-0.21786520723434366,excl. upgrading (submitted boundary),fuel cell 0.50,2445.0676868376177,3.5223063916028106,-3.740171598837154,False,3863.551552537045,772.7103105074091,1672.3573763302086,-2.627023492463936,965.8878881342613,1479.1797987033565,-2.348736465870631
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,20.0,0.8383980770666222,60.51831163276578,4749.480133367957,3.80683372648612,4.0246989337204635,-0.21786520723434366,excl. upgrading (submitted boundary),H2 engine 0.40,2445.0676868376177,4.402882989503512,-4.620748196737855,False,3863.551552537045,772.7103105074091,1672.3573763302086,-3.229313063771334,965.8878881342613,1479.1797987033565,-2.881454280529703
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,20.0,0.8383980770666222,60.51831163276578,4749.480133367957,3.80683372648612,4.0246989337204635,-0.21786520723434366,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3715.176995343735,5.3519956715636035,-5.569860878797947,False,3863.551552537045,772.7103105074091,2942.466684836326,-4.456712772424728,965.8878881342613,2749.289107209474,-4.178425745831426
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,20.0,0.8383980770666222,60.51831163276578,4749.480133367957,3.80683372648612,4.0246989337204635,-0.21786520723434366,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3715.176995343735,6.689994589454503,-6.907859796688847,False,3863.551552537045,772.7103105074091,2942.466684836326,-5.516424663722324,965.8878881342613,2749.289107209474,-5.1685658804806955
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,30.0,0.8383980770666222,60.51831163276578,4878.502978466419,3.80683372648612,4.134032606567123,-0.3271988800810033,excl. upgrading (submitted boundary),fuel cell 0.50,2445.0676868376177,3.5223063916028106,-3.849505271683814,False,3863.551552537045,772.7103105074091,1672.3573763302086,-2.736357165310596,965.8878881342613,1479.1797987033565,-2.4580701387172907
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,30.0,0.8383980770666222,60.51831163276578,4878.502978466419,3.80683372648612,4.134032606567123,-0.3271988800810033,excl. upgrading (submitted boundary),H2 engine 0.40,2445.0676868376177,4.402882989503512,-4.730081869584515,False,3863.551552537045,772.7103105074091,1672.3573763302086,-3.3386467366179935,965.8878881342613,1479.1797987033565,-2.990787953376363
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,30.0,0.8383980770666222,60.51831163276578,4878.502978466419,3.80683372648612,4.134032606567123,-0.3271988800810033,incl. upgrading (base 0.25 kWh/Nm3),fuel cell 0.50,3715.176995343735,5.3519956715636035,-5.679194551644606,False,3863.551552537045,772.7103105074091,2942.466684836326,-4.566046445271388,965.8878881342613,2749.289107209474,-4.287759418678085
2b_y0.55 eq recycle h=0.35,2b_y0.55,0.55,0.35,30.0,0.8383980770666222,60.51831163276578,4878.502978466419,3.80683372648612,4.134032606567123,-0.3271988800810033,incl. upgrading (base 0.25 kWh/Nm3),H2 engine 0.40,3715.176995343735,6.689994589454503,-7.017193469535506,False,3863.551552537045,772.7103105074091,2942.466684836326,-5.625758336568984,965.8878881342613,2749.289107209474,-5.277899553327355
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,20.0,0.883728046473538,61.88607401501757,4588.820596720553,3.347766374270134,3.888556398605087,-0.540790024334953,excl. upgrading (submitted boundary),fuel cell 0.50,1863.2277161371344,2.684121559861418,-3.224911584196371,False,3872.257188987023,774.4514377974047,1088.7762783397297,-2.1092552512349236,968.0642972467557,895.1634188903787,-1.8303411679945623
2b_y0.55 eq recycle h=0.5,2b_y0.55,0.55,0.5,20.0,0.883728046473538,61.88607401501757,4588.820596720553,3.347766374270134,3.888556398605087,-0.540790024334953,excl. upgrading (submitted boundary),H2 engine 0.40,1863.2277161371344,3.355151949826772,-3.895941974161725,False,3872.257188987023,774.4514377974047,1088.7762783397297,-2.5013715579599163,968.0642972467557,895.1634188903787,-2.1527289539094645
