kind,stream,T_in_K,T_out_K,duty_kW
hot,Stage 1 gas 1200->950 K,1200.0,950.0,574.9263566582845
hot,Stage 1 solid C 1200->313 K,1200.0,313.15,584.0641819349065
hot,Stage 2 gas 950->313 K (condensing),950.0,313.15,3463.3008585056596
hot,Stage 3 exotherm @650 K,650.0,649.5,3170.825900152088
hot,Stage 3 gas 650->313 K (condensing),650.0,313.15,1475.4728600675044
hot,Stage 3 solid C 650->313 K,650.0,313.15,94.56422802845415
cold,fresh CH4 298->1200 K,298.15,1200.0,1876.2185194691842
cold,recycled CH4 313->1200 K,313.15,1200.0,149.7493158678039
cold,Stage 1 endotherm @1200 K,1200.0,1200.5,3275.2825049817966
cold,fresh CO2 298->950 K,298.15,950.0,708.6802649864694
cold,recycle to Stage 2 313->950 K,313.15,950.0,751.9394705148407
cold,Stage 2 endotherm @950 K,950.0,950.5,842.1915835563433
cold,CFR feed 313->650 K,313.15,650.0,844.4690060115572
