kind,stream,T_in_K,T_out_K,duty_kW
hot,Stage 1 gas 1200->950 K,1200.0,950.0,532.035031277894
hot,Stage 1 solid C 1200->313 K,1200.0,313.15,540.4911458751058
hot,Stage 2 exotherm @950 K,950.0,949.5,196.44509421947726
hot,Stage 2 gas 950->313 K (condensing),950.0,313.15,2030.3482866408644
hot,Stage 3 exotherm @650 K,650.0,649.5,1478.5168102374107
hot,Stage 3 gas 650->313 K (condensing),650.0,313.15,627.5903606033357
hot,Stage 3 solid C 650->313 K,650.0,313.15,6.651336185832698
cold,fresh CH4 298->1200 K,298.15,1200.0,1876.2185194691842
cold,Stage 1 endotherm @1200 K,1200.0,1200.5,3030.936066508513
cold,fresh CO2 298->950 K,298.15,950.0,339.0734101472667
cold,electrolytic H2 298->950 K,298.15,950.0,277.4782962935497
cold,CFR feed 313->650 K,313.15,650.0,382.25010453413233
