case,y_CH4_biogas,raw_biogas_Nm3_d,Q_H_min_kW,Q_C_min_kW,Q3_kW,plateau_650K_kW,H2_exportable_tpd,H2_fired_tpd,H2_after_heat_tpd,aux_excl_upgrading_kW,upgrading_membrane_el_kW,upgrading_amine_el_kW,upgrading_amine_heat_kW,CO2_carbon_fixed_fraction,C_total_tpd,option,power_source,reboiler,heat_to_amine_kW,heat_available_at_reboiler_kW,heat_to_power_kW,bottoming_power_kW,electricity_demand_kW,residual_electricity_kW,H2_net_final_tpd,heat_shortfall_kW
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,ref: upgrading outside boundary,fuel cell 0.50,,0.0,,0.0,0.0,1863.2277161371344,1863.2277161371344,-3.224911584196371,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"ref: upgrading outside boundary, bottoming eta 0.20",fuel cell 0.50,,0.0,,3872.257188987023,774.4514377974047,1863.2277161371344,1088.7762783397297,-2.1092552512349236,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"ref: upgrading outside boundary, bottoming eta 0.25",fuel cell 0.50,,0.0,,3872.257188987023,968.0642972467557,1863.2277161371344,895.1634188903787,-1.8303411679945623,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading , no bottoming",fuel cell 0.50,,0.0,,0.0,0.0,3133.3370246432514,3133.3370246432514,-5.054600864157164,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading, all plateau to power eta 0.20",fuel cell 0.50,,0.0,,3872.257188987023,774.4514377974047,3133.3370246432514,2358.885586845847,-3.938944531195717,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(i) membrane upgrading, all plateau to power eta 0.25",fuel cell 0.50,,0.0,,3872.257188987023,968.0642972467557,3133.3370246432514,2165.2727273964956,-3.660030447955355,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 120 C (base), no bottoming",fuel cell 0.50,120 C (base),2794.2404787134583,4007.6173358232973,0.0,0.0,2523.6845565603153,2523.6845565603153,-4.176350009775984,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.20 on remaining heat",fuel cell 0.50,120 C (base),2794.2404787134583,4007.6173358232973,1213.376857109839,242.6753714219678,2523.6845565603153,2281.0091851383477,-3.8267576379796315,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 120 C (base), bottoming eta 0.25 on remaining heat",fuel cell 0.50,120 C (base),2794.2404787134583,4007.6173358232973,1213.376857109839,303.34421427745974,2523.6845565603153,2220.3403422828555,-3.7393595450305432,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 160 C (conservative), no bottoming",fuel cell 0.50,160 C (conservative),2794.2404787134583,3980.672839077114,0.0,0.0,2523.6845565603153,2523.6845565603153,-4.176350009775984,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.20 on remaining heat",fuel cell 0.50,160 C (conservative),2794.2404787134583,3980.672839077114,1186.4323603636558,237.28647207273116,2523.6845565603153,2286.398084487584,-3.8345207582906564,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 160 C (conservative), bottoming eta 0.25 on remaining heat",fuel cell 0.50,160 C (conservative),2794.2404787134583,3980.672839077114,1186.4323603636558,296.60809009091395,2523.6845565603153,2227.0764664694016,-3.749063445419325,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(ii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), no bottoming",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,0.0,0.0,2777.7064182615386,2777.7064182615386,-4.542287865768142,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.20 on remaining heat",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,1234.3099381444172,246.86198762888344,2777.7064182615386,2530.844430632655,-4.186664354177914,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"(iii) amine upgrading, reboiler 90 C (vacuum option, +0.05 kWh/Nm3), bottoming eta 0.25 on remaining heat",fuel cell 0.50,"90 C (vacuum option, +0.05 kWh/Nm3)",2794.2404787134583,4028.5504168578755,1234.3099381444172,308.5774845361043,2777.7064182615386,2469.1289337254343,-4.097758476280356,0.0
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,ref: upgrading outside boundary,H2 engine 0.40,,0.0,,0.0,0.0,1863.2277161371344,1863.2277161371344,-3.895941974161725,
2b_y0.55 eq recycle h=0.5,0.55,121930.49361658726,4588.820596720553,5818.6428302066015,-3872.257188987023,3872.257188987023,3.347766374270134,3.888556398605087,-0.540790024334953,1863.2277161371344,1270.1093085061173,660.456840423181,2794.2404787134583,0.8837280464735381,61.88607401501757,"ref: upgrading outside boundary, bottoming eta 0.20",H2 engine 0.40,,0.0,,3872.257188987023,774.4514377974047,1863.2277161371344,1088.7762783397297,-2.5013715579599163,
