case,config,y_CH4_biogas,CO2_bio_tpd,CO2_DAC_tpd,CO2_total_tpd,CO2_total_carbon_tpd,H2_electrolysis_tpd,value_type,mode,phi,P1_bar,P2_bar,P3_bar,pressure_order,recycle,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_X_CH4,S1_inlet_CH4_ratio_vs_fresh,S2_inlet_H2_to_CO2_ratio,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi1_RWGS_CO_formed_kmol_d,S2_xi2_CH4_formed_kmol_d,S2_methanation_to_RWGS_ratio,S3_CH4_formed_kmol_d,recycle_to_S2_total_kmol_d,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,H2_permeate_tpd,H2_stoich_available_tpd,H2_stoich_needed_for_all_CO2_tpd,H2_stoich_surplus_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,tracer_iterations,part,dG_kJ_per_mol,P_bar,tear_err,S3_inlet_H2_to_CO2,S3_inlet_CO_kmol_d,S3_inlet_CO2_kmol_d,S3_inlet_H2_kmol_d,S3_out_CH4_tpd,S3_out_CO_tpd,S3_out_CO2_tpd,S3_out_gas_carbon_tpd,recycle_CH4_to_S1_kmol_d,wall_s,error
A dG=0 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9698161069695571,1.0,2.9094386730862065,7888.239738348953,0.6482832236637374,1206.7016708892454,86.40511908653797,0.07160437510860833,294.6368114255863,0.0,34.85150348488499,11.558678137120022,46.41018162200502,34.85164351141037,11.558538110594647,0.0,11.558538110594647,0.4824578170746344,42.35115341846306,28.3691159882375,0.186273062556152,7.5618825566672685,49.40561932372803,4.733213674976126,4.2850143097381865,11.699453349028252,8.042386087390142,3.6570672616381104,47.275737367155585,3030.936066508513,303.3743121064066,-2224.309715508326,1110.0006631065935,-9.119389687839429e-16,-1.0639287969146e-15,-2.279847421959857e-15,4,A,0.0,1.01325,0.0,3.029732391062144,1206.7016708892454,701.5481420407908,2125.50312983045,7.5618825566672685,0.186273062556152,28.3691159882375,13.483853159519583,0.0,0.2968120574951172,
B dG=0 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9698161069695571,1.0,2.9094386730862065,7888.239738348953,0.6482832236637374,1206.7016708892454,86.40511908653797,0.07160437510860833,294.6368114255863,0.0,34.85150348488499,11.558678137120022,46.41018162200502,34.85164351141037,11.558538110594649,0.0,11.558538110594649,0.4824578170746345,42.35115341846306,28.3691159882375,0.186273062556152,7.5618825566672685,49.40561932372803,4.733213674976126,4.2850143097381865,11.699453349028252,8.042386087390142,3.6570672616381104,47.275737367155585,3030.936066508513,303.3743121064066,-2224.309715508326,1110.0006631065935,-9.119389687839429e-16,-1.0639287969146e-15,-2.279847421959857e-15,4,B,0.0,1.01325,0.0,3.029732391062144,1206.7016708892454,701.5481420407908,2125.50312983045,7.5618825566672685,0.186273062556152,28.3691159882375,13.483853159519583,0.0,0.3007690906524658,
B dG=0 kJ/mol 1 atm recycle,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,106,direct,0.9698161069695567,1.0806174835468434,1.641581037752188,10615.314364972011,0.5282812522317399,2078.180069416177,2.8139303875112773,0.0013540358840520468,141.4355734415933,2251.947398846195,37.66114399366045,20.987067198951895,58.648211192612344,35.93348308938369,22.714728103228637,0.0,22.714728103228637,0.948121469278414,83.22808001789937,4.50397989999453,0.020909155594326434,0.010183261079601274,4.564769129556311,4.432782518821553,4.412060797527448,11.699453349028246,8.042386087390142,3.657067261638105,68.08456491896345,3275.2825049817966,842.1915835563433,-3170.825900152088,946.648188386052,-3.152401205784372e-09,9.516540628643118e-10,-9.095867020086243e-09,40,B,0.0,1.01325,9.807252747890807e-09,1.177785431732875,2092.363359537284,1858.1671686801103,2188.522220995758,4.073304391892576,0.4181831144224787,90.07959879730299,27.81357200898775,241.20421431455947,29.876447439193726,
B dG=5 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9515863972032182,1.0,2.8547344303679045,7833.6817796074,0.6483803325031283,1248.831055814255,44.498408293936734,0.03563204813554477,587.4410889137154,0.0,34.19604116468104,5.043195230154098,39.23923639483514,34.19621838188198,5.04301801295316,0.0,5.04301801295316,0.21049750744579848,18.477910226630225,40.933945508986675,0.3565009606475557,12.462058287947887,75.68037816999542,4.665066593060512,4.301615972561678,11.479537802725305,8.042386087390142,3.437151715335163,37.363569122352054,3138.7295970106375,412.37509439722135,-2222.0536374842713,1329.0510539235875,-1.4591023500543087e-15,-2.4318372500905145e-15,-4.901671957213692e-15,4,B,5.0,1.01325,0.0,3.0423106277768515,1248.831055814255,701.3544449230128,2133.7380816278164,12.462058287947887,0.3565009606475557,40.933945508986675,20.65479838668943,0.0,0.396496057510376,
B dG=5 kJ/mol 1 atm recycle,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,106,direct,0.9515863972031906,1.1742893267903616,1.3445168985505247,12304.525683220398,0.4951920797804148,2628.229178020636,-90.91166843443862,-0.034590464634787196,443.6528892102796,3453.1611393203225,40.15604615816777,17.72316437339712,57.87921053156487,35.903411338763945,21.975799192800917,0.0,21.975799192800917,0.9172782929452822,80.5206016714658,7.247929028123432,0.04716132072840233,0.022015493910361537,7.382431762042286,4.683091845849426,4.661614024435615,11.479537802724971,8.042386087390142,3.4371517153348297,65.8424388004339,3685.7766654504976,1272.0277260222372,-3657.5173239179962,1300.2870675547388,-4.750825578958029e-09,1.6902522804211152e-09,-1.4234636269641495e-08,55,B,5.0,1.01325,8.930639393753744e-09,0.8939815700839709,2660.2200774793882,2586.528202868521,2312.3085438668722,8.806197486920226,0.9432264206247497,144.95858180738998,46.559814193317564,521.466539047395,40.482738971710205,
B dG=10 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9236235648394154,1.0,2.7708072394403893,7749.978689672241,0.6490606669868768,1313.5993016009397,-18.83815266592495,-0.014340866840417842,822.3927027503523,0.0,33.19025373430881,0.08402325675094185,33.27427699105975,33.19146638921397,0.082810601845787,0.0,0.082810601845787,0.0034565463049807477,0.3034228437791391,51.114494135639504,0.6366263212728827,16.557494534712525,97.53633507622705,4.58861304089008,4.323186459159716,11.142205961775298,8.042386087390142,3.0998198743851573,29.221273132687834,3206.42152354703,577.592213672645,-2299.7450690797623,1484.2686681399127,-2.5534291125950403e-15,-5.3196439845730005e-15,0.0,4,B,10.0,1.01325,0.0,3.0634937464686223,1313.5993016009397,699.9974229520627,2144.4377277577955,16.557494534712525,0.6366263212728827,51.114494135639504,26.61975779046474,0.0,0.3386199474334717,
B dG=10 kJ/mol 1 atm recycle,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,114,direct,0.9236235648365019,1.2855049909089011,1.1094377062025105,14299.974568645295,0.4662608058499397,3298.168382703649,-235.397084614198,-0.0713720639154369,798.1068913571016,4906.817789290474,42.66623682487904,14.265968806130005,56.93220563100904,35.79983568771879,21.132369943290247,0.0,21.132369943290247,0.8820732323500473,77.43022802716348,10.594102343445366,0.10135550018769357,0.03606378832533489,10.852312658607689,4.990028737075182,4.970655558100998,11.142205961740151,8.042386087390142,3.0998198743500103,63.09136551763485,4121.870871464211,1862.04091782239,-4321.565748107511,1662.3460411790893,-4.454876396459895e-09,1.4822339859771696e-09,-1.3249587723691998e-08,73,B,10.0,1.01325,8.922820878799094e-09,0.7032868206147608,3366.920774833823,3505.8284659052692,2465.602955407241,14.425515260102099,2.0271100126089308,211.88204802475644,69.49660545420014,854.2192584695665,41.99950695037842,
B dG=20 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.8250344090929316,1.0,2.474714401434567,7454.673797880082,0.6560373946929736,1542.4521878504597,-233.14102349768683,-0.15114959499820152,889.5729606416551,0.0,29.63966554538694,0.0,29.63966554538694,29.63966554538694,0.0,0.0,0.0,0.0,0.0,57.57244738541863,0.8607129324704016,18.929485931139965,110.85376202757286,4.600225141764011,4.363177272765831,9.952867879960706,8.042386087390142,1.9104817925705657,23.889592491382253,3149.834012889607,1140.9354662316075,-2531.2974056647986,1759.4720734564157,-2.735816906351829e-15,-4.4077050157890574e-15,-1.1399237109799285e-15,4,B,20.0,1.01325,0.0,3.1545448472208344,1542.4521878504597,686.0813669404006,2164.274440856067,18.929485931139965,0.8607129324704016,57.57244738541863,30.25436923613755,0.0,0.27779293060302734,
B dG=20 kJ/mol 1 atm recycle,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,125,direct,0.8250344085297917,1.4453968165696565,0.8020095222867274,17355.438303247854,0.4330696763033579,4623.832522552955,-712.7124225142323,-0.15413889215016868,1292.177716304399,7468.882571600536,42.841078193360325,12.404573068988007,55.24565126234833,35.3000966557126,19.94555460663571,0.0,19.94555460663571,0.8325351046807525,73.08166786141295,16.292257283267045,0.37246969088194587,0.056260650514061844,17.031944653707924,5.526510566257346,5.515239668604163,9.952867873167225,8.042386087390142,1.9104817857770842,58.27989206865185,4552.760051844362,3449.4809038710982,-5664.303805054242,2337.9371506612188,-8.748416015930615e-09,2.2798673326273426e-09,-2.4916650707332616e-08,98,B,20.0,1.01325,9.625618576966916e-09,0.5344768281129676,4876.489578131569,5118.526788635715,2735.7339626012713,22.504260096215592,7.4493938596416305,325.84514781938685,108.97362788186742,1332.6090628525533,38.75050592422485,
C dG=0 kJ/mol 1 atm once-through,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,False,1.0,0.0,0.5,True,1,once-through,0.9698161069695571,1.0,2.9094386730862065,7888.239738348953,0.6482832236637374,1206.7016708892454,86.40511908653797,0.07160437510860833,294.6368114255863,0.0,34.85150348488499,11.558678137120022,46.41018162200502,34.85164351141037,11.558538110594641,0.0,11.558538110594641,0.4824578170746342,42.35115341846304,28.3691159882375,0.186273062556152,7.5618825566672685,49.40561932372803,4.733213674976126,4.2850143097381865,11.699453349028252,8.042386087390142,3.6570672616381104,47.275737367155585,3030.936066508513,303.3743121064066,-2224.309715508326,1110.0006631065935,-9.119389687839429e-16,-1.0639287969146e-15,-2.279847421959857e-15,4,C,0.0,1.01325,0.0,3.029732391062144,1206.7016708892454,701.5481420407908,2125.50312983045,7.5618825566672685,0.186273062556152,28.3691159882375,13.483853159519583,0.0,0.2894110679626465,
