stream,total_kmol_d,CH4_kmol_d,CO2_kmol_d,CO_kmol_d,H2_kmol_d,H2O_kmol_d,CH4_tpd,CO2_tpd,CO_tpd,H2_tpd,H2O_tpd,other_tpd,C_tpd
S1 inlet (fresh CH4),2991.959109892165,2991.959109892165,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,
S1 outlet gas,5893.600331754176,90.30897372444424,0.0,0.0,5803.281028408566,0.0,1.4488268654612588,0.0,0.0,11.69941455327167,0.0,0.0002550963819144119,
S2 fresh CO2 (biogas),1994.639406594777,0.0,1994.639406594777,0.0,0.0,0.0,0.0,87.78208564482954,0.0,0.0,0.0,0.0,
S2 inlet,7888.239738348953,90.30897372444424,1994.639406594777,0.0,5803.281028408566,0.0,1.4488268654612588,87.78208564482954,0.0,11.69941455327167,0.0,0.0002550963819144119,
S2 outlet gas,7715.452065724159,176.7140928109822,701.5481420407908,1206.7016708892454,4251.0062596609,1379.4804528720765,2.835024190966587,30.874432183073164,33.79971380160776,8.570028619476373,24.851340358490457,4.300633009489216e-05,
S2 condensed water,1310.5064302284727,0.0,0.0,0.0,0.0,1310.5064302284727,0.0,0.0,0.0,0.0,23.60877334056594,0.0,
membrane permeate (H2 export),2125.50312983045,0.0,0.0,0.0,2125.50312983045,0.0,0.0,0.0,0.0,4.2850143097381865,0.0,0.0,
S3 inlet (membrane retentate),4279.442505665236,176.7140928109822,701.5481420407908,1206.7016708892454,2125.50312983045,68.9740226436038,2.835024190966587,30.874432183073164,33.79971380160776,4.2850143097381865,1.2425670179245225,4.300633009489216e-05,
S3 outlet gas,2727.8253364772913,471.3509042365685,644.6207818454748,6.65023429332924,222.32111370929536,1382.88058352482,7.5618825566672685,28.3691159882375,0.186273062556152,0.44819936523793946,24.912593712199634,5.168762170241649e-05,
S3 condensed water,1313.736554348579,0.0,0.0,0.0,0.0,1313.736554348579,0.0,0.0,0.0,0.0,23.66696402658965,0.0,
S3 dry gas (lost without recycle),1414.0887821287124,471.3509042365685,644.6207818454748,6.65023429332924,222.32111370929536,69.14402917624102,7.5618825566672685,28.3691159882375,0.186273062556152,0.44819936523793946,1.245629685609982,5.168762170241649e-05,
S1 solid carbon,2901.632127623428,,,,,,,,,,,,34.85150348488499
S3 solid carbon,962.3410321472004,,,,,,,,,,,,11.558678137120022
