case,config,y_CH4_biogas,CO2_bio_tpd,CO2_DAC_tpd,CO2_total_tpd,CO2_total_carbon_tpd,H2_electrolysis_tpd,value_type,mode,phi,P1_bar,P2_bar,P3_bar,pressure_order,recycle,purge_p,r_CH4,h_H2_to_CFR,converged,iterations,method,S1_X_CH4,S1_inlet_CH4_ratio_vs_fresh,S2_inlet_H2_to_CO2_ratio,S2_inlet_total_kmol_d,S2_X_CO2_per_pass,S2_xi1_RWGS_CO_formed_kmol_d,S2_xi2_CH4_formed_kmol_d,S2_methanation_to_RWGS_ratio,S3_CH4_formed_kmol_d,recycle_to_S2_total_kmol_d,C_stage1_tpd,C_stage3_tpd,C_total_tpd,C_from_wasteCH4_tpd,C_from_biogasCO2_tpd,C_from_DACCO2_tpd,C_from_CO2_total_tpd,CO2_carbon_fixed_fraction,CO2_fixed_as_CO2_tpd,purge_CO2_tpd,purge_CO_tpd,purge_CH4_tpd,purge_carbon_as_CO2_if_oxidised_tpd,H2_net_exportable_tpd,H2_permeate_tpd,H2_stoich_available_tpd,H2_stoich_needed_for_all_CO2_tpd,H2_stoich_surplus_tpd,water_total_tpd,Q1_kW,Q2_kW,Q3_kW,Q_total_kW,closure_C_rel,closure_H_rel,closure_O_rel,tracer_iterations,T3_K,tear_err,wall_s,error,S3_inlet_H2_to_CO2,S3_inlet_CO_kmol_d,S3_inlet_CO2_kmol_d,S3_inlet_H2_kmol_d,S3_inlet_CH4_kmol_d,S3_dCH4_kmol_d,S3_dCO_kmol_d,S3_dCO2_kmol_d,S3_out_gas_carbon_tpd,recycle_CH4_to_S1_kmol_d,purge_H2_tpd
X4 equilibrium recycle T3=650 K,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,106,direct,0.9698161069695567,1.0806174835468434,1.641581037752188,10615.314364972011,0.5282812522317399,2078.180069416177,2.8139303875112773,0.0013540358840520468,141.4355734415933,2251.947398846195,37.66114399366045,20.987067198951895,58.648211192612344,35.93348308938369,22.714728103228655,0.0,22.714728103228655,0.9481214692784147,83.22808001789943,4.50397989999453,0.020909155594326434,0.010183261079601274,4.564769129556311,4.432782518821553,4.412060797527448,11.699453349028246,8.042386087390142,3.657067261638105,68.08456491896345,3275.2825049817966,842.1915835563433,-3170.825900152088,946.648188386052,-3.152401205784372e-09,9.516540628643118e-10,-9.095867020086243e-09,40,650.0,9.807252747890807e-09,31.44413995742798,,1.177785431732875,2092.363359537284,1858.1671686801103,2188.522220995758,112.46359703104753,141.4355734415933,-2077.4335803718973,188.67776752164377,27.81357200898775,241.20421431455947,0.020721721294105065
X4 equilibrium recycle T3=700 K,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,110,direct,0.9698161069695568,1.0752426953762886,1.576281075862513,10995.667510798114,0.5178892035806095,2161.090535410173,1.4033540896938774,0.0006493731135736626,127.20807646895484,2663.97739801739,37.473824545003836,21.003510208298447,58.47733475330228,35.93348187194681,22.54385288135547,0.0,22.54385288135547,0.9409890719329825,82.60198330326973,5.051573288639003,0.07206120633471559,0.009504340468583818,5.1908702718183735,4.486803943836012,4.450525280087977,11.699453349028246,8.042386087390142,3.657067261638105,67.60799388222898,3258.9918656658188,879.1262691214272,-3183.6867457426933,954.4313890445528,-3.3033517274702714e-09,8.937910793254861e-10,-9.24249107531949e-09,43,700.0,8.976391387183847e-09,32.9241099357605,,1.0966290099857128,2209.971753559391,2013.0799070044902,2207.601825440465,109.76357180802911,127.20807646895484,-2158.5178394322593,282.6202129426217,31.03794997363088,225.12306788392752,0.036278663748034706
X4 equilibrium recycle T3=750 K,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,116,direct,0.9698161069695568,1.0651463696737258,1.4992580926153976,11543.432777364822,0.5016224544733897,2248.688866333001,2.1580588375792047,0.0009596965013209724,97.07787291935462,3271.2463730942186,37.121952414596436,21.096797446022777,58.21874986061922,35.933480020678644,22.28526983994056,0.0,22.28526983994056,0.9301957165363166,81.65452005544452,5.77318356591138,0.21803846333343965,0.008229015116681162,6.138340147691075,4.5637432927179065,4.505812991946986,11.699453349028246,8.042386087390142,3.657067261638105,66.92886435273394,3228.390547954705,913.2322229166807,-3167.901104153048,973.7216667183379,-4.010130692120128e-09,9.168673909509076e-10,-1.0736644369600864e-08,48,750.0,9.189189775350596e-09,34.261789083480835,,0.9994449612956142,2396.5907157916,2236.26750070424,2235.026285687989,108.09609806021716,97.07787291935462,-2240.9045575805435,387.37021526851686,35.84682121331027,194.91527422170662,0.05793030077092053
X4 equilibrium recycle T3=800 K,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,127,direct,0.9698161069695567,1.051941866582357,1.405745085743519,12413.57879812809,0.47416368386937435,2325.22385995624,6.97422237443844,0.0029993767458457495,53.8428948573696,4219.214457657428,36.66175562909144,21.120049470994285,57.781805100085734,35.933476905789135,21.848328194296585,0.0,21.848328194296585,0.9119576045424508,80.053540546399,6.772456018183806,0.6039207394184481,0.006561077884087192,7.739330806872079,4.683487101669,4.597599308235097,11.699453349028246,8.042386087390142,3.657067261638105,65.86894594983998,3188.368543294752,933.9268904697701,-3106.125337624294,1016.1700961402285,-5.208553828845197e-09,9.322977022823882e-10,-1.3143827653649962e-08,55,800.0,9.479891438210337e-09,36.973543882369995,,0.8817721309082909,2734.880912757044,2586.3316978152407,2280.5552124182027,109.74440980856292,53.8428948573696,-2303.662959876602,491.4278845915337,44.11119247973434,155.4079409058863,0.08588779343390313
X4 equilibrium recycle T3=850 K,2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,equilibrium,equilibrium,,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,149,direct,0.9698161069695569,1.0379243641696796,1.289004710685139,13967.081765846398,0.42640369740053274,2349.217511641621,20.464773768880235,0.008711315009132362,-0.4319117395065888,5855.330982245456,36.17322459490663,20.77873150324123,56.95195609814786,35.93330959760385,21.01864650054401,0.0,21.01864650054401,0.8773263722010747,77.01353874302235,8.252118870171788,1.6004968353125515,0.004790446000380585,10.779945240497465,4.891223234707512,4.770257700276049,11.699453349028248,8.042386087390142,3.657067261638107,64.02341845688996,3145.882389669797,914.1761997529347,-2951.480254362307,1108.5783350604247,-7.015925853465887e-09,8.698376344019228e-10,-1.6363670530722625e-08,69,850.0,9.123326816926752e-09,44.586262941360474,,0.7422994255174685,3434.881198572663,3187.661440583489,2366.19925608931,119.87206524385807,-0.4319117395065888,-2292.0773107639634,562.5346259154503,60.20443159549358,113.4681468643409,0.12096553443146336
"X4 kinetic recycle T3=650 K (tau1*=8.9 s, phi=1)",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,312,direct,0.8728806831856024,1.1605205486010255,0.8699137815560176,49238.369021304694,0.12989418736835368,1470.0293490507938,24.137848957113135,0.016419977582555804,16.00942982966893,40740.657068433575,36.40344949177478,0.233201933307243,36.63665142508202,35.922689929311204,0.7139614957708127,0.0,0.7139614957708127,0.029801026862488412,2.6159962923468236,22.023764775092243,40.18421926002053,0.020276279823287474,85.21638416090678,8.926093882436904,8.507519715233903,10.530065193605232,8.042386087390142,2.4876791062150923,27.98604030098099,3165.8776692639485,547.2220568931975,-70.88437412355776,3642.2153520335883,-7.3591090790012e-08,1.4895170345615345e-10,-1.1490475098926819e-07,477,650.0,9.661362748497068e-09,93.5913290977478,,0.42162939945740857,28728.15737262773,10008.789387499208,4219.999858746975,489.5389037741429,16.00942982966893,-35.39075480920292,-0.03437174069586035,470.9161173758092,480.2709177117264,0.41857416720300133
"X4 kinetic recycle T3=700 K (tau1*=8.9 s, phi=1)",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,310,direct,0.8728806831856021,1.1700742598727034,0.8704647143687062,46769.684057887986,0.13410289805941156,1482.3632350854095,25.373388973485476,0.017116849887351352,39.79980645223338,38218.43709647196,36.703132290288615,1.3610153077436211,38.064147598032235,35.92268993200839,2.1414576660238493,0.0,2.1414576660238493,0.0893852649030592,7.84642497910612,21.421943344052405,37.23618624694822,0.02148306440497307,79.98595653712019,8.658470488081667,8.268516296226487,10.530065193605228,8.042386087390142,2.4876791062150887,30.36946469529703,3191.940009314768,549.5510724855098,-278.651961212599,3462.8391205876787,-6.87023696428696e-08,2.3250431172527895e-10,-1.0819946882407547e-07,441,700.0,9.622238880508404e-09,93.40703105926514,,0.42129223238912916,26740.7544772138,9735.395671194916,4101.4465755091705,495.8372778643876,39.79980645223338,-152.97396650783776,-0.13991102456202498,442.70952566922233,508.8552311843023,0.3899541918551771
"X4 kinetic recycle T3=750 K (tau1*=8.9 s, phi=1)",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,303,direct,0.8728806831856024,1.1779765328653407,0.8791008542959103,39929.11704943215,0.14863797925140765,1520.563583069812,29.636171639934048,0.019490254777838775,56.23700274152128,31333.589049982318,36.95101243002804,5.058341252510339,42.00935368253837,35.92268993700994,6.086663745528434,0.0,6.086663745528434,0.25405968089020653,22.301888666802174,19.537044391941016,29.23377447797925,0.02248124625667464,65.53049555415078,7.9095615773638075,7.589590351711822,10.530065193605232,8.042386087390142,2.4876791062150923,37.044721001507675,3213.4972575978554,555.8094456959138,-803.6270999036436,2965.6796033901255,-5.629413134014385e-08,4.480348554144105e-10,-9.100021244066167e-08,345,750.0,9.669529855445513e-09,91.59065508842468,,0.4239900490097942,21350.685506725855,8879.16535451129,3764.677753825308,504.28774171885294,56.23700274152128,-476.87275366901304,-0.5066395904032106,364.089397507594,532.4985088534785,0.31997122565198555
"X4 kinetic recycle T3=800 K (tau1*=8.9 s, phi=1)",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,284,direct,0.8728806831856027,1.146113377632198,0.9371973569106714,28461.92225741165,0.18988182682529853,1601.4274137660414,40.9857338339973,0.025593251046959448,-38.57799579616869,20044.9420745293,35.95152236190594,12.644237105349177,48.595759467255114,35.923947206797045,12.67181226045807,0.0,12.67181226045807,0.5289263073810694,46.430254414328466,15.414777861346675,16.50477607285845,0.01845642664827767,41.39752767059176,6.616739924357198,6.3917962154632,10.530065193605237,8.042386087390142,2.487679106215096,48.58189828859661,3126.5751847862184,563.9635590090999,-1551.181087437224,2139.357656358094,-3.545469900431044e-08,7.786207870594807e-10,-6.060499490461522e-08,197,800.0,9.843058981345037e-09,86.43986296653748,,0.4524650164724389,12797.098437839964,7007.246354102263,3170.533837035318,498.75194246247685,-38.57799579616869,-1012.1814543940982,-1.9619806106020405,231.2162577715856,437.16525128376884,0.2249437088939975
"X4 kinetic recycle T3=850 K (tau1*=8.9 s, phi=1)",2b_y0.60,0.6,87.78208564482954,0.0,87.78208564482954,23.957613912609865,0.0,kinetic,kinetic,1.0,1.01325,1.01325,1.01325,native,True,0.05,0.95,0.5,True,236,direct,0.8728806831856023,1.064117919403787,1.0985382208164438,18670.687869911613,0.2684882144301759,1694.9758202498078,54.680755698495375,0.032260493067350335,-267.05986479708747,10713.175995425272,33.37947180599711,20.801046567625473,54.18051837362259,35.93111946636863,18.24939890725395,0.0,18.24939890725395,0.7617369147788359,66.86685509194399,10.47427742397386,6.643476767874043,0.008099105608899416,20.934651507717856,5.456945764603419,5.28710398689972,10.530065193605232,8.042386087390142,2.4876791062150923,58.94825054720852,2902.8931564935556,572.1591252856501,-2026.5578862553066,1448.4943955238991,-1.6820272718371142e-08,1.0073008827191642e-09,-3.10496178725188e-08,90,850.0,9.899207355399746e-09,72.93893694877625,,0.5501465707045204,6201.439889853765,4767.041297221567,2622.571422073274,468.9948033796236,-267.05986479708747,-1457.793453838629,-6.9797150522108495,116.57447755372877,191.83819306749228,0.1698417777036984
