X4 Stage 3 temperature sensitivity (wall 95 s). X4 = 2b, y = 0.60, h = 0.50, r_CH4 = 0.95, p = 0.05, 1 atm.
EQUILIBRIUM rows: Gibbs at every stage. KINETIC rows: tau1* = 8.905 s, phi = 1, Stage 3 reduced model (uncalibrated).
Unconverged / failed: 0

=== equilibrium
 T3_K  converged  iterations  C_stage1_tpd  C_stage3_tpd  C_total_tpd  C_from_biogasCO2_tpd  CO2_carbon_fixed_fraction   Q1_kW  Q2_kW    Q3_kW  purge_CO2_tpd  purge_CO_tpd  purge_CH4_tpd  purge_carbon_as_CO2_if_oxidised_tpd  H2_net_exportable_tpd  water_total_tpd  S1_inlet_CH4_ratio_vs_fresh  S3_inlet_H2_to_CO2  S3_dCH4_kmol_d  S3_dCO_kmol_d  S3_dCO2_kmol_d  recycle_to_S2_total_kmol_d
650.0       True         106          37.7          21.0         58.6                  22.7                      0.948 3,275.3  842.2 -3,170.8          4.504         0.021          0.010                                4.565                  4.433             68.1                        1.081               1.178           141.4       -2,077.4           188.7                     2,251.9
700.0       True         110          37.5          21.0         58.5                  22.5                      0.941 3,259.0  879.1 -3,183.7          5.052         0.072          0.010                                5.191                  4.487             67.6                        1.075               1.097           127.2       -2,158.5           282.6                     2,664.0
750.0       True         116          37.1          21.1         58.2                  22.3                      0.930 3,228.4  913.2 -3,167.9          5.773         0.218          0.008                                6.138                  4.564             66.9                        1.065               0.999            97.1       -2,240.9           387.4                     3,271.2
800.0       True         127          36.7          21.1         57.8                  21.8                      0.912 3,188.4  933.9 -3,106.1          6.772         0.604          0.007                                7.739                  4.683             65.9                        1.052               0.882            53.8       -2,303.7           491.4                     4,219.2
850.0       True         149          36.2          20.8         57.0                  21.0                      0.877 3,145.9  914.2 -2,951.5          8.252         1.600          0.005                                 10.8                  4.891             64.0                        1.038               0.742          -0.432       -2,292.1           562.5                     5,855.3

=== kinetic
 T3_K  converged  iterations  C_stage1_tpd  C_stage3_tpd  C_total_tpd  C_from_biogasCO2_tpd  CO2_carbon_fixed_fraction   Q1_kW  Q2_kW    Q3_kW  purge_CO2_tpd  purge_CO_tpd  purge_CH4_tpd  purge_carbon_as_CO2_if_oxidised_tpd  H2_net_exportable_tpd  water_total_tpd  S1_inlet_CH4_ratio_vs_fresh  S3_inlet_H2_to_CO2  S3_dCH4_kmol_d  S3_dCO_kmol_d  S3_dCO2_kmol_d  recycle_to_S2_total_kmol_d
650.0       True         312          36.4         0.233         36.6                 0.714                      0.030 3,165.9  547.2    -70.9           22.0          40.2          0.020                                 85.2                  8.926             28.0                        1.161               0.422            16.0          -35.4          -0.034                    40,740.7
700.0       True         310          36.7         1.361         38.1                 2.141                      0.089 3,191.9  549.6   -278.7           21.4          37.2          0.021                                 80.0                  8.658             30.4                        1.170               0.421            39.8         -153.0          -0.140                    38,218.4
750.0       True         303          37.0         5.058         42.0                 6.087                      0.254 3,213.5  555.8   -803.6           19.5          29.2          0.022                                 65.5                  7.910             37.0                        1.178               0.424            56.2         -476.9          -0.507                    31,333.6
800.0       True         284          36.0          12.6         48.6                  12.7                      0.529 3,126.6  564.0 -1,551.2           15.4          16.5          0.018                                 41.4                  6.617             48.6                        1.146               0.452           -38.6       -1,012.2          -1.962                    20,044.9
850.0       True         236          33.4          20.8         54.2                  18.2                      0.762 2,902.9  572.2 -2,026.6           10.5         6.643          0.008                                 20.9                  5.457             58.9                        1.064               0.550          -267.1       -1,457.8          -6.980                    10,713.2
