,value
hot_duty_kW,9363.150951633423
hot_Ex_kW,4230.723077003292
hot_Ex_lm_kW,4670.513437826494
cold_duty_kW,8448.530113697369
cold_Ex_kW,5239.253123042831
cold_Ex_lm_kW,5126.921590017905
hot_Ex_excl_S3_exotherm_kW,2514.3306262825045
hot_Ex_below_650K_incl_kW,2088.6411693211703
S3_exotherm_Q_kW,3170.825900152088
S3_exotherm_Ex_kW,1716.3924507207878
S3_carnot_factor,0.5413076923076923
S1_endotherm_Q_kW,3275.2825049817966
S1_endotherm_Ex_kW,2461.5112725981944
S1_carnot_factor,0.7515416666666667
Q_ratio_S3_over_S1,0.9681076045590488
Ex_ratio_S3_over_S1,0.6972921350504673
S3_heat_as_1200K_heat_reversible_kW,2283.8287307921996
S3_heat_needed_for_S1_reversible_kW,4547.342126442593
ORC_eta0.20_power_kW,634.1651800304176
ORC_eta0.20_exergy_efficiency,0.36947562881909907
ORC_eta0.20_over_carnot,0.3694756288190991
ORC_eta0.25_power_kW,792.706475038022
ORC_eta0.25_exergy_efficiency,0.4618445360238738
ORC_eta0.25_over_carnot,0.4618445360238738
