kind,stream,T_in_K,T_out_K,duty_kW,duty_T4_kW,T_lm_K,carnot_factor_lm,Ex_lm_kW,Ex_integral_kW,Ex_over_Q,sensible_kW,latent_kW,Ex_sensible_kW,Ex_latent_kW,T_eff_latent_K
hot,Stage 1 gas 1200->950 K,1200.0,950.0,574.9234884576056,574.9263566582845,1070.1374451822182,0.721390928480937,414.74458914393136,414.85282944965905,0.7215791975426483,574.9234884576056,0.0,414.85282944965905,0.0,
hot,Stage 1 solid C 1200->313 K,1200.0,313.15,584.0641819349065,584.0641819349065,660.1560318318525,0.5483643477850682,320.27997419135437,342.4985830099529,0.5864057300608858,584.0641819349065,0.0,342.4985830099529,0.0,
hot,Stage 2 gas 950->313 K (condensing),950.0,313.15,3463.3004298614396,3463.3008585056596,573.8526429963634,0.4804415320922564,1663.9133646184002,1384.7304952225093,0.3998297356137567,2706.223560251983,757.0768696094565,1321.2827612713381,63.44773395117113,325.42241533703543
hot,Stage 3 exotherm @650 K,650.0,650.0,3170.825900152088,3170.825900152088,650.0,0.5413076923076923,1716.3924507207878,1716.3924507207878,0.5413076923076923,,,,,
hot,Stage 3 gas 650->313 K (condensing),650.0,313.15,1475.472723198929,1475.4728600675044,461.2550837748401,0.3536114603659507,521.7440643804995,336.46095753986583,0.2280360404158436,667.0213952874474,808.4513279114817,240.89666455056448,95.56429298930135,338.11775443934175
hot,Stage 3 solid C 650->313 K,650.0,313.15,94.56422802845415,94.56422802845417,461.2550837748401,0.3536114603659507,33.43899477152044,35.787761060516516,0.3784492487978442,94.56422802845415,0.0,35.787761060516516,0.0,
cold,fresh CH4 298->1200 K,298.15,1200.0,1876.2185194691842,1876.218519469184,647.6573610730973,0.5396485581419193,1012.4986187907117,1091.047371992857,0.5815140191141136,1876.2185194691842,0.0,1091.047371992857,0.0,
cold,recycled CH4 313->1200 K,313.15,1200.0,149.7493158678039,149.7493158678039,660.1560318318525,0.5483643477850682,82.11718592710844,87.92089671924391,0.587120523454404,149.7493158678039,0.0,87.92089671924391,0.0,
cold,Stage 1 endotherm @1200 K,1200.0,1200.0,3275.2825049817966,3275.2825049817966,1200.0,0.7515416666666667,2461.5112725981944,2461.5112725981944,0.7515416666666667,,,,,
cold,fresh CO2 298->950 K,298.15,950.0,708.6802649864694,708.6802649864694,562.4898919855992,0.469946030589945,333.0414774878217,345.71342572065714,0.48782708197364255,708.6802649864694,0.0,345.71342572065714,0.0,
cold,recycle to Stage 2 313->950 K,313.15,950.0,751.9391287644194,751.9394705148407,573.8526429963634,0.4804415320922564,361.2627870636941,372.567759043232,0.49547595648524434,751.9391287644194,0.0,372.567759043232,0.0,
cold,Stage 2 endotherm @950 K,950.0,950.0,842.1915835563433,842.1915835563433,950.0,0.6861578947368421,577.8764039381077,577.8764039381077,0.6861578947368421,,,,,
cold,CFR feed 313->650 K,313.15,650.0,844.4687960713527,844.4690060115572,461.2550837748401,0.3536114603659507,298.6138442122672,302.6159930305386,0.3583507104565286,844.4687960713527,0.0,302.6159930305386,0.0,
