case,value_type,stream,total_kmol_d,CH4_tpd,CO2_tpd,CO_tpd,H2_tpd,H2O_tpd,other_tpd,other_species
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),2991.959109892165,48.0,0.0,0.0,0.0,0.0,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),241.20421431455947,3.8696392102484776,0.0,0.0,0.0,0.0,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,3233.1633242067246,51.86963921024848,0.0,0.0,0.0,0.0,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,6368.727559531039,1.565627641449828,0.0,0.0,12.642591913527745,0.0,0.00027566161028984347,C2H4=0.00773;H=0.00125;C2H6=0.00117;C2H2=0.000644
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),1994.639406594777,0.0,87.78208564482954,0.0,0.0,0.0,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,2251.947398846195,0.19348196051242417,85.57561809989605,0.39727395629220225,0.3937127045879961,1.5476094192488088,1.543875878878882e-05,C2H6=0.000512;CH3OH=7.41e-07;CH2O=5.11e-07;C2H4=3.9e-07
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,10615.314364972011,1.7591096019622519,173.3577037447256,0.39727395629220225,13.036304618115743,1.5476094192488088,0.00029110036907863227,C2H4=0.00773;C2H6=0.00168;H=0.00125;C2H2=0.000644
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,10609.715473746191,1.8042534871690954,81.77607892644298,58.60709770063932,8.824121595054896,39.08671215659523,2.8574812491440787e-05,CH2O=0.000497;C2H6=0.000321;C2H4=0.000116;CH3OH=2e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,2061.1921481412974,0.0,0.0,0.0,0.0,37.13237654876547,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 dry gas to membrane,8548.523325604894,1.8042534871690954,81.77607892644298,58.60709770063932,8.824121595054896,1.954335607829761,2.8574812491440787e-05,CH2O=0.000497;C2H6=0.000321;C2H4=0.000116;CH3OH=2e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,membrane permeate (H2 export),2188.522220995758,0.0,0.0,0.0,4.412060797527448,0.0,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 inlet (membrane retentate),6360.001104609137,1.8042534871690954,81.77607892644298,58.60709770063932,4.412060797527448,1.954335607829761,2.8574812491440787e-05,CH2O=0.000497;C2H6=0.000321;C2H4=0.000116;CH3OH=2e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 outlet gas,4329.809417505269,4.073304391892576,90.07959879730299,0.4181831144224787,0.4144344245287383,32.58125091599788,1.6251324775706072e-05,C2H6=0.000539;CH3OH=7.8e-07;CH2O=5.38e-07;C2H4=4.11e-07
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 condensed water,1718.1342420315282,0.0,0.0,0.0,0.0,30.952188370197984,0.0,
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S3 dry gas,2611.675175473741,4.073304391892576,90.07959879730299,0.4181831144224787,0.4144344245287383,1.6290625457998944,1.6251324775706072e-05,C2H6=0.000539;CH3OH=7.8e-07;CH2O=5.38e-07;C2H4=4.11e-07
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,purge,118.52354730769447,0.010183261079601274,4.50397989999453,0.020909155594326434,0.020721721294105065,0.08145312732888467,8.125662518879747e-07,C2H6=2.69e-05;CH3OH=3.9e-08;CH2O=2.69e-08;C2H4=2.05e-08
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 fresh CH4 (waste),2991.959109892165,48.0,0.0,0.0,0.0,0.0,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 recycled CH4 (from S3 outlet),480.2709177117264,7.704986332849225,0.0,0.0,0.0,0.0,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 inlet,3472.2300276038914,55.70498633284923,0.0,0.0,0.0,0.0,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S1 outlet gas,6503.07254627634,7.081179805787146,0.0,0.0,12.220357035287313,0.0,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 fresh CO2 (biogas),1994.639406594777,0.0,87.78208564482954,0.0,0.0,0.0,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 recycle from S3 outlet,40740.657068433575,0.3852493166424619,418.45153072675265,763.5001659403899,7.952909176857024,0.09553165397330907,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 inlet,49238.369021304694,7.466429122429608,506.23361637158223,763.5001659403899,20.173266212144334,0.09553165397330907,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 outlet gas,49190.09332339047,7.853672633248574,440.47681215445266,804.6756880073027,17.015039430467805,27.44779707504781,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 condensed water,1447.4275448956657,0.0,0.0,0.0,0.0,26.07540722129542,0.0,
"X4 kinetic design case (2b, y=0.60, h=0.50, tau1*=8.9 s, phi=1, 1 atm)",kinetic,S2 dry gas to membrane,47742.665778494804,7.853672633248574,440.47681215445266,804.6756880073027,17.015039430467805,1.3723898537523906,0.0,
