case,value_type,stream,species,kmol_d,t_d
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),CH4,2991.959109892165,48.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 fresh CH4 (waste),total,2991.959109892165,48.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),CH4,241.20421431455947,3.8696392102484776
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 recycled CH4 (from S3 outlet),total,241.20421431455947,3.8696392102484776
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,CH4,3233.1633242067246,51.86963921024848
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 inlet,total,3233.1633242067246,51.86963921024848
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,CH4,97.58945592780826,1.565627641449828
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,H2,6271.126941234001,12.642591913527745
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,other,0.01116236923008292,0.00027566161028984347
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S1 outlet gas,total,6368.727559531039,14.208495216587863
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),CH4,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),CO2,1994.639406594777,87.78208564482954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),H2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),H2O,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),other,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 fresh CO2 (biogas),total,1994.639406594777,87.78208564482954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,CH4,12.060210715727992,0.19348196051242417
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,CO2,1944.5026721783283,85.57561809989605
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,CO,14.183290121106827,0.39727395629220225
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,H2,195.29400029166476,0.3937127045879961
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,H2O,85.90671214259277,1.5476094192488088
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,other,0.000513396774222046,1.543875878878882e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 recycle from S3 outlet,total,2251.947398846195,88.10771157929625
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,CH4,109.64966664353625,1.7591096019622519
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,CO2,3939.1420787731054,173.3577037447256
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,CO,14.183290121106827,0.39727395629220225
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,H2,6466.4209415256655,13.036304618115743
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,H2O,85.90671214259277,1.5476094192488088
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,other,0.011675766004304965,0.00029110036907863227
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 inlet,total,10615.314364972011,190.09829244071366
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CH4,112.46359703104753,1.8042534871690954
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CO2,1858.1671686801103,81.77607892644298
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,CO,2092.363359537284,58.60709770063932
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,H2,4377.044441991516,8.824121595054896
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,H2O,2169.675945411892,39.08671215659523
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,other,0.0009610943421378203,2.8574812491440787e-05
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 outlet gas,total,10609.715473746191,190.09829244071398
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CH4,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CO2,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,CO,0.0,0.0
"X4 equilibrium (2b, y=0.60, h=0.50, eq recycle)",equilibrium,S2 condensed water,H2,0.0,0.0
